leader,follower,lag,corr,trades,win_rate,pf,total_pnl,max_dd,ev_bp
NZDJPY,AUDJPY,12,0.008007446922078639,133115,0.1340344814633963,0.09556915502999157,-5281.943149335416,-5281.922287976881,-3.967954888130876
NZDJPY,AUDJPY,9,0.008976464192627319,133118,0.13468501630132665,0.09550618312304313,-5287.994291499502,-5287.977018364494,-3.97241116265231
CHFJPY,NZDJPY,6,0.007640203000644936,144409,0.13506775893469244,0.09449685016635415,-5763.069297699973,-5763.040715542177,-3.9907964861608156
GBPJPY,NZDJPY,1,-0.011153696845644465,142294,0.1325776209819107,0.09380253232014031,-5708.80836167253,-5708.551089056071,-4.011981082598374
GBPJPY,NZDJPY,3,-0.007345260007426186,142292,0.13326820903494224,0.09375756207420924,-5697.2334811863675,-5697.215686983276,-4.0039028766103275
GBPJPY,AUDJPY,3,-0.0071277518270375885,131370,0.13284615970160615,0.09341527618530528,-5273.60557516185,-5273.551814613246,-4.014314969294245
EURJPY,NZDJPY,3,-0.006895545498169147,144310,0.1339962580555748,0.09333996975333438,-5783.085392447674,-5783.023186650478,-4.007404471240852
EURJPY,NZDJPY,1,-0.008723901535326616,144312,0.13233826708797605,0.09306065271610883,-5799.577304444055,-5799.754577060387,-4.018776889270508
CHFJPY,AUDJPY,1,-0.00825344396556403,133261,0.13038323290385034,0.09208113427719915,-5395.286933353977,-5395.197253429192,-4.048661598932903
CHFJPY,NZDJPY,1,-0.008287454125884294,144414,0.13106070048610247,0.0920289012103069,-5841.393686597835,-5841.57095921415,-4.044894322294123
NZDJPY,AUDJPY,3,-0.01192626379923231,133124,0.13099816712238213,0.09191566644665772,-5369.025880559086,-5368.972120010509,-4.033101379585263
AUDJPY,NZDJPY,9,0.00943544500691661,133158,0.13068685321197374,0.08922709164666213,-5306.557049039566,-5306.542442156871,-3.985158269904599
AUDJPY,NZDJPY,8,-0.00717882444681326,133159,0.1301977335365991,0.08686623155900502,-5340.675217261974,-5340.648546067695,-4.01075046918494
AUDJPY,NZDJPY,3,-0.010868835426059814,133164,0.1277447358144844,0.08565887854998569,-5372.792377293728,-5372.748568374421,-4.034718375306936
EURJPY,GBPJPY,1,-0.009075262248276816,141939,0.10683462614221602,0.07816948157561128,-5696.031028129705,-5695.921688236333,-4.013013356533232
CHFJPY,GBPJPY,9,0.00934944532252544,142058,0.10759689704205325,0.07812421654904719,-5667.768067258538,-5667.721967534484,-3.9897563440697024
