pair,trades,win_rate,avg_pnl,total_pnl
USDJPY,46,0.30434782608695654,-0.031068930834583352,-1.4291708183908343
EURJPY,43,0.27906976744186046,-0.09858379106039769,-4.239103015597101
AUDNZD,46,0.34782608695652173,-0.1825361936910246,-8.396664909787132
AUDUSD,112,0.4107142857142857,-0.15366150219838245,-17.210088246218834
NZDJPY,97,0.3402061855670103,-0.22863468998737038,-22.177564928774927
NZDUSD,130,0.4307692307692308,-0.17237491180354242,-22.408738534460515
GBPUSD,147,0.38095238095238093,-0.15408595820136176,-22.65063585560018
EURGBP,125,0.216,-0.2061204723553107,-25.76505904441384
AUDJPY,66,0.25757575757575757,-0.39687634118599835,-26.193838518275893
EURAUD,89,0.33707865168539325,-0.29828143502957116,-26.547047717631834
GBPJPY,119,0.31092436974789917,-0.22563971689494974,-26.85112631049902
CHFJPY,156,0.26282051282051283,-0.2157476561837371,-33.656634364662985
