entry_threshold,exit_threshold,sort_mode,trades,win_rate,avg_pnl,total_pnl,pf,max_dd,case_a,case_b,stop_cnt,reduced_cnt,time_cnt,day_end_cnt
0.1,0.05,strength,1175,0.32851063829787236,-0.20124477390152085,-236.462609334287,0.54715185197757,-247.63145973310304,30,1145,0,315,592,268
0.1,0.05,spread,1176,0.3273809523809524,-0.201977612469654,-237.52567226431313,0.543680351079265,-245.97504902901818,28,1148,0,312,595,269
0.1,0.03,strength,1138,0.3409490333919156,-0.23572657255584503,-268.25683956855164,0.5073505796945423,-282.4272408857473,28,1110,1,206,656,275
0.1,0.03,spread,1140,0.34035087719298246,-0.2348644031412478,-267.7454195810225,0.5065738370620082,-281.9158208982181,26,1114,1,203,658,278
0.3,0.1,strength,144,0.2569444444444444,-0.1230374616374285,-17.717394475789703,0.4585994665803144,-17.402861329075712,0,144,1,15,79,49
0.3,0.1,spread,144,0.2569444444444444,-0.1230374616374285,-17.717394475789703,0.4585994665803144,-17.402861329075712,0,144,1,15,79,49
0.3,0.03,spread,144,0.2569444444444444,-0.12483265262851065,-17.975901978505533,0.45500521599593613,-17.66136883179155,0,144,1,5,89,49
0.3,0.03,strength,144,0.2569444444444444,-0.12483265262851068,-17.975901978505537,0.455005215995936,-17.66136883179155,0,144,1,5,89,49
0.3,0.05,spread,144,0.2569444444444444,-0.12680021865437377,-18.259231486229822,0.45113000658246905,-17.944698339515828,0,144,1,10,84,49
0.3,0.05,strength,144,0.2569444444444444,-0.12680021865437377,-18.259231486229822,0.45113000658246905,-17.944698339515828,0,144,1,10,84,49
0.2,0.1,spread,454,0.2753303964757709,-0.17357044179561315,-78.80098057520837,0.4029951291224686,-80.83309008014929,2,452,0,86,245,123
0.2,0.1,strength,452,0.2676991150442478,-0.17905938689941872,-80.93484287853727,0.39082160732318066,-82.96695238347819,2,450,0,86,243,123
0.2,0.05,spread,450,0.2822222222222222,-0.18110401642447818,-81.49680739101518,0.3885283684200006,-83.95902513788717,2,448,0,45,279,126
0.2,0.05,strength,448,0.27455357142857145,-0.1866756019963038,-83.6306696943441,0.3765648442437861,-86.09288744121609,2,446,0,45,277,126
0.1,0.1,spread,2418,0.17245657568238212,-0.20154410738863035,-487.3336516657082,0.36453221630004523,-492.3058118237818,56,2362,0,1791,393,234
0.2,0.03,spread,448,0.28125,-0.2021150540955436,-90.54754423480352,0.3626062184946741,-93.00976198167558,2,446,1,31,291,125
0.1,0.1,strength,2422,0.17052023121387283,-0.2034909420173592,-492.855061566044,0.36005329558845706,-498.7505029637255,57,2365,0,1800,390,232
0.2,0.03,strength,446,0.273542600896861,-0.2078058442559023,-92.68140653813242,0.3515344773123008,-95.14362428500448,2,444,1,31,289,125
