signal_dt,entry_dt,exit_dt,session,direction,filter,entry_price,exit_price,sl_price,lot_size,held_bars,exit_reason,pnl_pips,pnl_yen,r_mult,atr_val,eur_jpy_diff,ac_val,period
2022-01-10 12:10:00,2022-01-10 12:15:00,2022-01-10 12:20:00,NY   21-03JST,LONG,Q10+ac<0,130.5315,130.46068,130.46318,7.32,1,stop,-7.08,-5183.0,-1.037,0.06832,-0.004842,-0.5585,IS
2022-01-10 12:20:00,2022-01-10 12:25:00,2022-01-10 12:30:00,NY   21-03JST,LONG,Q10+ac<0,130.5005,130.42832,130.43082,7.18,1,stop,-7.22,-5179.0,-1.036,0.06968,-0.004999,-0.3867,IS
2022-01-10 12:25:00,2022-01-10 12:30:00,2022-01-10 12:50:00,NY   21-03JST,LONG,Q10+ac<0,130.4475,130.43168,130.37868,7.27,4,stop,-1.58,-1149.0,-0.23,0.06882,-0.005377,-0.4294,IS
2022-01-10 12:30:00,2022-01-10 12:35:00,2022-01-10 12:45:00,NY   21-03JST,LONG,Q10+ac<0,130.395,130.42482,130.33082,7.79,2,stop,2.98,2323.0,0.465,0.06418,-0.00546,-0.3671,IS
2022-01-10 12:55:00,2022-01-10 13:00:00,2022-01-10 13:20:00,NY   21-03JST,LONG,Q10+ac<0,130.414,130.43307,130.34807,7.58,4,stop,1.91,1446.0,0.289,0.06593,-0.005166,-0.3558,IS
2022-01-10 13:00:00,2022-01-10 13:05:00,2022-01-10 13:20:00,NY   21-03JST,LONG,Q10+ac<0,130.392,130.43111,130.32411,7.36,3,stop,3.91,2880.0,0.576,0.06789,-0.004905,-0.2753,IS
2022-02-11 18:55:00,2022-02-11 19:00:00,2022-02-11 19:05:00,NY   21-03JST,LONG,Q10+ac<0,130.9625,130.78496,130.78746,2.86,1,stop,-17.75,-5071.0,-1.014,0.17504,-0.011232,-0.1257,IS
2022-02-11 19:00:00,2022-02-11 19:05:00,2022-02-11 19:25:00,NY   21-03JST,LONG,Q10+ac<0,130.6635,130.87468,130.45568,2.41,4,stop,21.12,5081.0,1.016,0.20782,-0.013853,-0.1105,IS
2022-02-11 19:05:00,2022-02-11 19:10:00,2022-02-11 19:25:00,NY   21-03JST,LONG,Q10+ac<0,130.5735,130.85443,130.34543,2.19,3,stop,28.09,6159.0,1.232,0.22807,-0.014817,-0.1506,IS
2022-02-11 19:10:00,2022-02-11 19:15:00,2022-02-11 19:25:00,NY   21-03JST,LONG,Q10+ac<0,130.732,130.84214,130.49164,2.08,2,stop,11.01,2291.0,0.458,0.24036,-0.013473,-0.1592,IS
2022-02-11 19:35:00,2022-02-11 19:40:00,2022-02-11 19:50:00,NY   21-03JST,LONG,Q10+ac<0,130.814,130.51629,130.51879,1.69,2,stop,-29.77,-5042.0,-1.008,0.29521,-0.011826,-0.1222,IS
2022-02-11 19:40:00,2022-02-11 19:45:00,2022-02-13 23:55:00,NY   21-03JST,LONG,Q10+ac<0,130.7125,131.3545,130.42064,1.71,48,time,64.2,10999.0,2.2,0.29186,-0.012798,-0.2034,IS
2022-02-14 09:55:00,2022-02-14 10:00:00,2022-02-14 10:10:00,欧州 15-21JST,SHORT,Q10+ac>0,130.142,130.19189,130.22989,5.69,2,stop,-4.99,-2838.0,-0.568,0.08789,-0.006341,0.213,IS
2022-02-14 10:00:00,2022-02-14 10:05:00,2022-02-14 10:20:00,欧州 15-21JST,SHORT,Q10+ac>0,130.1355,130.13054,130.21854,6.02,3,stop,0.5,299.0,0.06,0.08304,-0.005049,0.1702,IS
2022-02-14 10:05:00,2022-02-14 10:10:00,2022-02-14 10:20:00,欧州 15-21JST,SHORT,Q10+ac>0,130.12,130.12861,130.20111,6.16,2,stop,-0.86,-531.0,-0.106,0.08111,-0.005263,0.1685,IS
2022-02-14 10:10:00,2022-02-14 10:15:00,2022-02-14 10:25:00,欧州 15-21JST,SHORT,Q10+ac>0,130.1675,130.14614,130.24514,6.44,2,stop,2.14,1375.0,0.275,0.07764,-0.005246,0.1659,IS
2022-02-17 05:10:00,2022-02-17 05:15:00,2022-02-17 05:50:00,NY   21-03JST,LONG,Q10+ac<0,130.8385,130.84536,130.70886,3.86,7,stop,0.69,264.0,0.053,0.12964,-0.005246,-0.1076,IS
2022-02-27 23:30:00,2022-02-27 23:35:00,2022-02-28 00:15:00,NY   21-03JST,LONG,Q10+ac<0,129.235,129.28071,129.09671,3.62,8,stop,4.57,1653.0,0.331,0.13829,-0.008148,-0.1466,IS
2022-02-27 23:35:00,2022-02-27 23:40:00,2022-02-28 00:15:00,NY   21-03JST,LONG,Q10+ac<0,129.2885,129.27271,129.14221,3.42,7,stop,-1.58,-540.0,-0.108,0.14629,-0.008023,-0.2702,IS
2022-02-27 23:40:00,2022-02-27 23:45:00,2022-02-28 00:15:00,NY   21-03JST,LONG,Q10+ac<0,129.273,129.2725,129.1265,3.41,6,stop,-0.05,-17.0,-0.003,0.1465,-0.008572,-0.2957,IS
2022-02-27 23:45:00,2022-02-27 23:50:00,2022-02-28 00:15:00,NY   21-03JST,LONG,Q10+ac<0,129.2495,129.275,129.1055,3.47,5,stop,2.55,885.0,0.177,0.144,-0.00862,-0.2073,IS
