pair,threshold,direction,n,max_bars,fib,reach_rate,sl_rate,cut_pips
GBPUSD,0.01,down,701,1,0.236,56.78,33.95,13.7
GBPUSD,0.01,down,701,1,0.382,46.65,33.95,13.7
GBPUSD,0.01,down,701,1,0.5,38.8,33.95,13.7
GBPUSD,0.01,down,701,1,0.618,30.81,33.95,13.7
GBPUSD,0.01,down,701,1,0.786,21.54,33.95,13.7
GBPUSD,0.01,down,701,2,0.236,64.48,43.65,13.7
GBPUSD,0.01,down,701,2,0.382,55.63,43.65,13.7
GBPUSD,0.01,down,701,2,0.5,48.36,43.65,13.7
GBPUSD,0.01,down,701,2,0.618,40.37,43.65,13.7
GBPUSD,0.01,down,701,2,0.786,30.24,43.65,13.7
GBPUSD,0.01,down,701,3,0.236,69.76,48.79,13.7
GBPUSD,0.01,down,701,3,0.382,60.49,48.79,13.7
GBPUSD,0.01,down,701,3,0.5,52.92,48.79,13.7
GBPUSD,0.01,down,701,3,0.618,46.36,48.79,13.7
GBPUSD,0.01,down,701,3,0.786,36.66,48.79,13.7
GBPUSD,0.01,down,701,5,0.236,74.47,55.63,13.7
GBPUSD,0.01,down,701,5,0.382,66.48,55.63,13.7
GBPUSD,0.01,down,701,5,0.5,60.06,55.63,13.7
GBPUSD,0.01,down,701,5,0.618,53.5,55.63,13.7
GBPUSD,0.01,down,701,5,0.786,44.51,55.63,13.7
GBPUSD,0.01,up,762,1,0.236,58.27,36.61,13.7
GBPUSD,0.01,up,762,1,0.382,44.62,36.61,13.7
GBPUSD,0.01,up,762,1,0.5,37.53,36.61,13.7
GBPUSD,0.01,up,762,1,0.618,29.92,36.61,13.7
GBPUSD,0.01,up,762,1,0.786,20.21,36.61,13.7
GBPUSD,0.01,up,762,2,0.236,65.35,46.46,13.7
GBPUSD,0.01,up,762,2,0.382,53.81,46.46,13.7
GBPUSD,0.01,up,762,2,0.5,45.93,46.46,13.7
GBPUSD,0.01,up,762,2,0.618,38.71,46.46,13.7
GBPUSD,0.01,up,762,2,0.786,27.56,46.46,13.7
GBPUSD,0.01,up,762,3,0.236,69.29,51.84,13.7
GBPUSD,0.01,up,762,3,0.382,58.27,51.84,13.7
GBPUSD,0.01,up,762,3,0.5,50.79,51.84,13.7
GBPUSD,0.01,up,762,3,0.618,44.36,51.84,13.7
GBPUSD,0.01,up,762,3,0.786,33.33,51.84,13.7
GBPUSD,0.01,up,762,5,0.236,74.93,58.4,13.7
GBPUSD,0.01,up,762,5,0.382,65.09,58.4,13.7
GBPUSD,0.01,up,762,5,0.5,58.27,58.4,13.7
GBPUSD,0.01,up,762,5,0.618,52.1,58.4,13.7
GBPUSD,0.01,up,762,5,0.786,42.52,58.4,13.7
GBPUSD,0.02,down,1425,1,0.236,57.26,38.32,10.8
GBPUSD,0.02,down,1425,1,0.382,48.0,38.32,10.8
GBPUSD,0.02,down,1425,1,0.5,40.21,38.32,10.8
GBPUSD,0.02,down,1425,1,0.618,32.84,38.32,10.8
GBPUSD,0.02,down,1425,1,0.786,24.35,38.32,10.8
GBPUSD,0.02,down,1425,2,0.236,65.96,47.86,10.8
GBPUSD,0.02,down,1425,2,0.382,56.77,47.86,10.8
GBPUSD,0.02,down,1425,2,0.5,49.4,47.86,10.8
GBPUSD,0.02,down,1425,2,0.618,41.75,47.86,10.8
GBPUSD,0.02,down,1425,2,0.786,32.56,47.86,10.8
GBPUSD,0.02,down,1425,3,0.236,71.44,53.05,10.8
GBPUSD,0.02,down,1425,3,0.382,62.53,53.05,10.8
GBPUSD,0.02,down,1425,3,0.5,55.58,53.05,10.8
GBPUSD,0.02,down,1425,3,0.618,48.0,53.05,10.8
GBPUSD,0.02,down,1425,3,0.786,38.81,53.05,10.8
GBPUSD,0.02,down,1425,5,0.236,76.42,59.51,10.8
GBPUSD,0.02,down,1425,5,0.382,68.98,59.51,10.8
GBPUSD,0.02,down,1425,5,0.5,62.6,59.51,10.8
GBPUSD,0.02,down,1425,5,0.618,55.79,59.51,10.8
GBPUSD,0.02,down,1425,5,0.786,46.6,59.51,10.8
GBPUSD,0.02,up,1501,1,0.236,60.63,36.64,10.8
GBPUSD,0.02,up,1501,1,0.382,48.17,36.64,10.8
GBPUSD,0.02,up,1501,1,0.5,40.51,36.64,10.8
GBPUSD,0.02,up,1501,1,0.618,32.45,36.64,10.8
GBPUSD,0.02,up,1501,1,0.786,23.58,36.64,10.8
GBPUSD,0.02,up,1501,2,0.236,68.09,45.7,10.8
GBPUSD,0.02,up,1501,2,0.382,57.3,45.7,10.8
GBPUSD,0.02,up,1501,2,0.5,49.57,45.7,10.8
GBPUSD,0.02,up,1501,2,0.618,41.64,45.7,10.8
GBPUSD,0.02,up,1501,2,0.786,31.58,45.7,10.8
GBPUSD,0.02,up,1501,3,0.236,72.02,51.57,10.8
GBPUSD,0.02,up,1501,3,0.382,61.76,51.57,10.8
GBPUSD,0.02,up,1501,3,0.5,54.63,51.57,10.8
GBPUSD,0.02,up,1501,3,0.618,47.37,51.57,10.8
GBPUSD,0.02,up,1501,3,0.786,38.04,51.57,10.8
GBPUSD,0.02,up,1501,5,0.236,77.22,58.63,10.8
GBPUSD,0.02,up,1501,5,0.382,68.62,58.63,10.8
GBPUSD,0.02,up,1501,5,0.5,61.76,58.63,10.8
GBPUSD,0.02,up,1501,5,0.618,54.96,58.63,10.8
GBPUSD,0.02,up,1501,5,0.786,46.57,58.63,10.8
GBPUSD,0.03,down,2152,1,0.236,58.69,38.66,9.3
GBPUSD,0.03,down,2152,1,0.382,48.47,38.66,9.3
GBPUSD,0.03,down,2152,1,0.5,41.54,38.66,9.3
GBPUSD,0.03,down,2152,1,0.618,35.13,38.66,9.3
GBPUSD,0.03,down,2152,1,0.786,26.39,38.66,9.3
GBPUSD,0.03,down,2152,2,0.236,66.64,48.0,9.3
GBPUSD,0.03,down,2152,2,0.382,57.48,48.0,9.3
GBPUSD,0.03,down,2152,2,0.5,50.65,48.0,9.3
GBPUSD,0.03,down,2152,2,0.618,44.05,48.0,9.3
GBPUSD,0.03,down,2152,2,0.786,34.99,48.0,9.3
GBPUSD,0.03,down,2152,3,0.236,71.89,53.11,9.3
GBPUSD,0.03,down,2152,3,0.382,62.78,53.11,9.3
GBPUSD,0.03,down,2152,3,0.5,56.41,53.11,9.3
GBPUSD,0.03,down,2152,3,0.618,49.81,53.11,9.3
GBPUSD,0.03,down,2152,3,0.786,40.8,53.11,9.3
GBPUSD,0.03,down,2152,5,0.236,77.14,59.99,9.3
GBPUSD,0.03,down,2152,5,0.382,69.56,59.99,9.3
GBPUSD,0.03,down,2152,5,0.5,63.57,59.99,9.3
GBPUSD,0.03,down,2152,5,0.618,57.67,59.99,9.3
GBPUSD,0.03,down,2152,5,0.786,48.75,59.99,9.3
GBPUSD,0.03,up,2237,1,0.236,60.71,37.73,9.3
GBPUSD,0.03,up,2237,1,0.382,49.62,37.73,9.3
GBPUSD,0.03,up,2237,1,0.5,42.07,37.73,9.3
GBPUSD,0.03,up,2237,1,0.618,33.97,37.73,9.3
GBPUSD,0.03,up,2237,1,0.786,24.85,37.73,9.3
GBPUSD,0.03,up,2237,2,0.236,68.66,46.67,9.3
GBPUSD,0.03,up,2237,2,0.382,59.01,46.67,9.3
GBPUSD,0.03,up,2237,2,0.5,51.41,46.67,9.3
GBPUSD,0.03,up,2237,2,0.618,43.67,46.67,9.3
GBPUSD,0.03,up,2237,2,0.786,33.75,46.67,9.3
GBPUSD,0.03,up,2237,3,0.236,72.42,52.35,9.3
GBPUSD,0.03,up,2237,3,0.382,63.34,52.35,9.3
GBPUSD,0.03,up,2237,3,0.5,56.68,52.35,9.3
GBPUSD,0.03,up,2237,3,0.618,49.53,52.35,9.3
GBPUSD,0.03,up,2237,3,0.786,40.32,52.35,9.3
GBPUSD,0.03,up,2237,5,0.236,77.74,60.13,9.3
GBPUSD,0.03,up,2237,5,0.382,69.69,60.13,9.3
GBPUSD,0.03,up,2237,5,0.5,63.16,60.13,9.3
GBPUSD,0.03,up,2237,5,0.618,56.77,60.13,9.3
GBPUSD,0.03,up,2237,5,0.786,48.9,60.13,9.3
GBPUSD,0.05,down,3622,1,0.236,60.16,39.78,7.6
GBPUSD,0.05,down,3622,1,0.382,50.44,39.78,7.6
GBPUSD,0.05,down,3622,1,0.5,43.95,39.78,7.6
GBPUSD,0.05,down,3622,1,0.618,37.55,39.78,7.6
GBPUSD,0.05,down,3622,1,0.786,28.74,39.78,7.6
GBPUSD,0.05,down,3622,2,0.236,67.59,49.53,7.6
GBPUSD,0.05,down,3622,2,0.382,59.53,49.53,7.6
GBPUSD,0.05,down,3622,2,0.5,53.2,49.53,7.6
GBPUSD,0.05,down,3622,2,0.618,46.6,49.53,7.6
GBPUSD,0.05,down,3622,2,0.786,37.49,49.53,7.6
GBPUSD,0.05,down,3622,3,0.236,72.31,54.91,7.6
GBPUSD,0.05,down,3622,3,0.382,64.72,54.91,7.6
GBPUSD,0.05,down,3622,3,0.5,58.67,54.91,7.6
GBPUSD,0.05,down,3622,3,0.618,52.48,54.91,7.6
GBPUSD,0.05,down,3622,3,0.786,43.62,54.91,7.6
GBPUSD,0.05,down,3622,5,0.236,77.75,61.26,7.6
GBPUSD,0.05,down,3622,5,0.382,71.23,61.26,7.6
GBPUSD,0.05,down,3622,5,0.5,65.57,61.26,7.6
GBPUSD,0.05,down,3622,5,0.618,59.88,61.26,7.6
GBPUSD,0.05,down,3622,5,0.786,51.38,61.26,7.6
GBPUSD,0.05,up,3693,1,0.236,61.79,39.21,7.6
GBPUSD,0.05,up,3693,1,0.382,51.5,39.21,7.6
GBPUSD,0.05,up,3693,1,0.5,44.08,39.21,7.6
GBPUSD,0.05,up,3693,1,0.618,36.5,39.21,7.6
GBPUSD,0.05,up,3693,1,0.786,27.67,39.21,7.6
GBPUSD,0.05,up,3693,2,0.236,69.48,48.04,7.6
GBPUSD,0.05,up,3693,2,0.382,60.84,48.04,7.6
GBPUSD,0.05,up,3693,2,0.5,53.48,48.04,7.6
GBPUSD,0.05,up,3693,2,0.618,46.3,48.04,7.6
GBPUSD,0.05,up,3693,2,0.786,36.66,48.04,7.6
GBPUSD,0.05,up,3693,3,0.236,73.63,53.99,7.6
GBPUSD,0.05,up,3693,3,0.382,65.66,53.99,7.6
GBPUSD,0.05,up,3693,3,0.5,59.38,53.99,7.6
GBPUSD,0.05,up,3693,3,0.618,52.42,53.99,7.6
GBPUSD,0.05,up,3693,3,0.786,43.22,53.99,7.6
GBPUSD,0.05,up,3693,5,0.236,78.55,61.22,7.6
GBPUSD,0.05,up,3693,5,0.382,71.46,61.22,7.6
GBPUSD,0.05,up,3693,5,0.5,65.69,61.22,7.6
GBPUSD,0.05,up,3693,5,0.618,59.71,61.22,7.6
GBPUSD,0.05,up,3693,5,0.786,52.29,61.22,7.6
AUDUSD,0.01,down,725,1,0.236,55.59,33.38,14.9
AUDUSD,0.01,down,725,1,0.382,43.03,33.38,14.9
AUDUSD,0.01,down,725,1,0.5,32.97,33.38,14.9
AUDUSD,0.01,down,725,1,0.618,25.52,33.38,14.9
AUDUSD,0.01,down,725,1,0.786,17.52,33.38,14.9
AUDUSD,0.01,down,725,2,0.236,63.45,42.34,14.9
AUDUSD,0.01,down,725,2,0.382,51.03,42.34,14.9
AUDUSD,0.01,down,725,2,0.5,42.62,42.34,14.9
AUDUSD,0.01,down,725,2,0.618,34.21,42.34,14.9
