n,win_rate,pf,total_pnl,avg_r,skew_r,max_dd,dd_pct,tail_ratio,omega,pair,session,direction,judge,filter,base,quote
556,39.38848920863309,0.9526460100992353,-59095.6248549593,-0.021257419012575277,1.8901440379169767,229251.40646542193,22.925140646542193,2.2461170844864533,0.9526460100992353,USDJPY,"東京
09-15JST",short,▼SHORT,Q10+ac>0,USD,JPY
691,39.94211287988423,1.166618556221886,259465.31424752314,0.07509849905861742,2.6603840806836248,161180.58513323666,16.118058513323668,2.49657724797225,1.166618556221886,USDJPY,"欧州
15-21JST",short,▼SHORT,Q10+ac>0,USD,JPY
911,44.34687156970362,1.3644284253646235,664005.6944320307,0.1457751250125205,2.2465993743511965,187643.57625131955,18.764357625131957,2.465195432438756,1.3644284253646235,EURJPY,"欧州
15-21JST",short,▼SHORT,Q10+ac>0,EUR,JPY
1695,42.00589970501475,1.2682559605701862,928196.7944615963,0.10952174565918538,2.227706979453309,125480.878790465,12.548087879046498,2.5164857016745126,1.268255960570186,EURJPY,"NY
21-03JST",long,▲LONG,Q10+ac<0,EUR,JPY
1066,40.52532833020638,1.1579029701718446,370700.1445037275,0.06954974568550233,1.6260591496608618,222020.28201011935,22.202028201011935,2.5544036611558982,1.1579029701718446,GBPJPY,"欧州
15-21JST",short,▼SHORT,Q10+ac>0,GBP,JPY
722,39.335180055401665,1.3472440535880927,561731.9112329432,0.15560440754375157,2.9509375947401804,147280.50073937082,14.728050073937082,3.135269806898535,1.3472440535880927,AUDJPY,"東京
09-15JST",short,▼SHORT,Q10+ac>0,AUD,JPY
779,46.34146341463415,1.4137878680204812,617810.3764918097,0.15861627124308336,1.9490038669963226,106214.43675154669,10.621443675154667,2.544975874704171,1.4137878680204812,AUDJPY,"欧州
15-21JST",short,▼SHORT,Q10+ac>0,AUD,JPY
805,45.46583850931677,1.3310061694957835,555803.1531460923,0.13808773991207263,1.414366711047137,283609.10875986965,28.360910875986967,2.5448988377096073,1.331006169495783,NZDJPY,"欧州
15-21JST",short,▼SHORT,Q10+ac>0,NZD,JPY
504,41.269841269841265,1.1945400975802811,222485.242606553,0.08828779468514009,1.6085648361919345,103556.04523183865,10.355604523183866,2.6581605806587376,1.1945400975802811,CHFJPY,"東京
09-15JST",short,▼SHORT,Q10+ac>0,CHF,JPY
1595,41.56739811912226,1.1816009730730839,586958.2070073135,0.07359977517333086,2.6726217174856477,244333.0474790516,24.43330474790516,2.40888640952898,1.1816009730730839,CHFJPY,"NY
21-03JST",long,▲LONG,Q10+ac<0,CHF,JPY
