label,n,μ(%),Skew,Kurt,VaR95(%),CVaR95(%),P(r>σ)%,P(r<-σ)%,TailRatio,OmegaRatio,Strategy,score_short,score_long,pair,base,quote,session,group
全BreakDown,19467,0.00033,-2.4097,80.932,-0.13299,-0.25503,6.73,6.97,0.9849,1.0107,▽short（中）,2,2,USDJPY,USD,JPY,"東京
09-15JST",全BreakDown
Q25,6043,-2e-05,-1.9625,50.744,-0.17427,-0.3182,6.69,7.69,0.8597,0.9994,▼SHORT（強）,4,0,USDJPY,USD,JPY,"東京
09-15JST",Q25
Q10,2354,0.00419,-1.2531,22.658,-0.20973,-0.37539,7.52,8.03,0.8981,1.0894,▽short（中）,2,2,USDJPY,USD,JPY,"東京
09-15JST",Q10
Q10+ac>0,880,-0.00516,-3.1257,28.156,-0.22554,-0.44661,6.14,8.64,0.8005,0.9006,▼SHORT（強）,4,0,USDJPY,USD,JPY,"東京
09-15JST",Q10+ac>0
Q10+ac<0,1474,0.00977,0.2096,17.264,-0.20806,-0.33267,8.68,7.6,0.9452,1.2228,▲LONG（強）,1,3,USDJPY,USD,JPY,"東京
09-15JST",Q10+ac<0
全BreakDown,19782,0.00313,14.2356,571.047,-0.14795,-0.23977,6.18,6.19,0.9591,1.0963,▲LONG（強）,1,3,USDJPY,USD,JPY,"欧州
15-21JST",全BreakDown
Q25,6540,0.00103,1.8182,56.81,-0.18291,-0.2974,8.69,9.88,0.8747,1.0258,▲LONG（強）,1,3,USDJPY,USD,JPY,"欧州
15-21JST",Q25
Q10,2639,-0.00021,0.0958,16.731,-0.22352,-0.3608,8.83,10.84,0.8574,0.9958,▼SHORT（強）,3,0,USDJPY,USD,JPY,"欧州
15-21JST",Q10
Q10+ac>0,1044,-0.0032,-1.4039,9.661,-0.24762,-0.39199,9.1,12.07,0.7581,0.9393,▼SHORT（強）,4,0,USDJPY,USD,JPY,"欧州
15-21JST",Q10+ac>0
Q10+ac<0,1595,0.00175,1.0379,21.001,-0.21012,-0.33692,8.53,9.97,0.9258,1.0362,▲LONG（強）,1,3,USDJPY,USD,JPY,"欧州
15-21JST",Q10+ac<0
全BreakDown,19649,0.00146,-0.4613,26.572,-0.1797,-0.32458,8.46,8.44,0.9866,1.0366,▽short（中）,2,2,USDJPY,USD,JPY,"NY
21-03JST",全BreakDown
Q25,6803,0.00022,-0.8357,23.339,-0.22413,-0.39785,8.36,8.83,0.9154,1.0046,▽short（中）,2,2,USDJPY,USD,JPY,"NY
21-03JST",Q25
Q10,3521,-0.00173,-1.449,19.399,-0.25705,-0.46278,9.03,9.09,0.8866,0.9701,▼SHORT（強）,4,0,USDJPY,USD,JPY,"NY
21-03JST",Q10
Q10+ac>0,1353,-0.00125,0.5673,11.079,-0.28859,-0.40363,9.83,11.31,0.7897,0.9787,▼SHORT（強）,3,1,USDJPY,USD,JPY,"NY
21-03JST",Q10+ac>0
Q10+ac<0,2168,-0.00204,-2.4139,22.839,-0.23974,-0.49598,8.63,7.75,0.949,0.9647,▼SHORT（強）,4,0,USDJPY,USD,JPY,"NY
21-03JST",Q10+ac<0
全BreakDown,18583,0.00022,-3.825,152.119,-0.09845,-0.19042,6.6,6.39,1.0055,1.0096,▲LONG（強）,1,3,USDJPY,USD,JPY,"深夜
03-09JST",全BreakDown
Q25,3901,0.00148,-2.3663,54.862,-0.13185,-0.25022,8.0,7.64,0.9866,1.0491,▽short（中）,2,2,USDJPY,USD,JPY,"深夜
03-09JST",Q25
Q10,1150,0.00326,-2.5692,43.087,-0.19202,-0.3609,6.35,7.48,0.8788,1.08,▽short（中）,2,2,USDJPY,USD,JPY,"深夜
03-09JST",Q10
Q10+ac>0,430,0.00934,0.4049,4.568,-0.22475,-0.31022,8.37,10.0,0.8762,1.2333,▲LONG（強）,1,3,USDJPY,USD,JPY,"深夜
03-09JST",Q10+ac>0
Q10+ac<0,720,-0.00037,-3.6583,54.221,-0.18113,-0.38969,5.69,5.97,0.8814,0.9909,▼SHORT（強）,4,0,USDJPY,USD,JPY,"深夜
03-09JST",Q10+ac<0
全BreakDown,19921,0.00084,-1.6819,79.751,-0.12406,-0.23056,6.83,7.19,0.9618,1.029,▽short（中）,2,2,EURJPY,EUR,JPY,"東京
09-15JST",全BreakDown
Q25,5890,0.00312,-0.5572,19.692,-0.16009,-0.27345,8.0,8.71,0.9318,1.089,▽short（中）,2,2,EURJPY,EUR,JPY,"東京
09-15JST",Q25
Q10,2158,0.00264,-0.952,14.34,-0.20458,-0.35141,8.43,8.85,0.9165,1.0579,▽short（中）,2,2,EURJPY,EUR,JPY,"東京
09-15JST",Q10
Q10+ac>0,799,0.00661,-1.3425,13.666,-0.18814,-0.38338,8.26,7.88,1.037,1.1451,▲LONG（強）,1,3,EURJPY,EUR,JPY,"東京
09-15JST",Q10+ac>0
Q10+ac<0,1359,0.00031,-0.633,14.643,-0.21611,-0.33133,8.17,9.86,0.8205,1.0067,▽short（中）,2,2,EURJPY,EUR,JPY,"東京
09-15JST",Q10+ac<0
全BreakDown,20410,0.00099,7.2554,299.856,-0.16709,-0.27417,8.05,8.54,0.9652,1.0261,▲LONG（強）,1,3,EURJPY,EUR,JPY,"欧州
15-21JST",全BreakDown
Q25,6970,-0.00253,-0.2939,10.952,-0.19492,-0.31745,10.07,11.33,0.9034,0.9435,▼SHORT（強）,4,0,EURJPY,EUR,JPY,"欧州
15-21JST",Q25
Q10,3167,-0.00715,-0.2972,9.612,-0.2509,-0.40342,9.41,11.59,0.8101,0.8734,▼SHORT（強）,4,0,EURJPY,EUR,JPY,"欧州
15-21JST",Q10
Q10+ac>0,1344,-0.01285,-1.0,4.661,-0.27871,-0.44755,9.15,11.68,0.7463,0.7907,▼SHORT（強）,4,0,EURJPY,EUR,JPY,"欧州
15-21JST",Q10+ac>0
Q10+ac<0,1823,-0.00295,0.3022,13.803,-0.2342,-0.36576,9.33,11.74,0.856,0.9442,▼SHORT（強）,3,1,EURJPY,EUR,JPY,"欧州
15-21JST",Q10+ac<0
全BreakDown,20088,0.00035,-0.6243,17.319,-0.1696,-0.26679,9.95,10.59,0.9204,1.0094,▽short（中）,2,2,EURJPY,EUR,JPY,"NY
21-03JST",全BreakDown
Q25,7309,0.00116,0.4067,8.572,-0.1882,-0.28344,10.78,11.59,0.9492,1.0278,▲LONG（強）,1,3,EURJPY,EUR,JPY,"NY
21-03JST",Q25
