method,window,entry_threshold,exit_threshold,sort_mode,trades,win_rate,pf,total_pnl,max_dd,case_a,case_b,stop_cnt,reduced_cnt
log_daily,daily,0.003,0.0005,spread,9040,0.3950221238938053,0.713042273940427,-556.9010183357425,-576.2963856566379,1216,7824,26,791
log_daily,daily,0.003,0.0005,strength,9030,0.3954595791805094,0.7111659659001297,-560.0937643602663,-579.4891316811613,1211,7819,26,790
log_daily,daily,0.003,0.001,strength,9142,0.3911616714066944,0.710187718263716,-559.3247326302942,-578.7996297558916,1237,7905,20,1086
log_daily,daily,0.003,0.001,spread,9147,0.39051054990707335,0.7100180896313505,-561.1052954714672,-580.5801925970644,1243,7904,20,1087
log_daily,daily,0.003,0.0002,spread,9040,0.3954646017699115,0.7054562984053856,-576.271332302297,-595.4834675982428,1227,7813,33,626
log_daily,daily,0.003,0.0002,strength,9030,0.3959025470653378,0.7035891094246699,-579.4640783268208,-598.6762136227667,1222,7808,33,625
log_daily,daily,0.002,0.0005,strength,14520,0.390702479338843,0.6990070603931662,-1308.2379731872138,-1332.445825874088,1932,12588,31,2166
log_daily,daily,0.002,0.0005,spread,14529,0.390116319085966,0.6939141635577197,-1334.85091515761,-1357.8155227830312,1953,12576,31,2178
log_daily,daily,0.002,0.0002,strength,14363,0.39441620831302654,0.6861037008607284,-1381.7104170583016,-1404.2744339898081,1945,12418,43,1663
log_daily,daily,0.002,0.001,spread,14990,0.37645096731154104,0.6842501277647515,-1381.0866141103602,-1402.2969292526927,2091,12899,27,3398
log_daily,daily,0.002,0.001,strength,14993,0.376442339758554,0.6836298295270223,-1383.1055338773708,-1405.5590940811583,2084,12909,27,3391
log_daily,daily,0.002,0.0002,spread,14367,0.3937495649752906,0.6829824415962098,-1397.110264047405,-1418.2378102768478,1959,12408,42,1670
log_daily,daily,0.0015,0.0005,spread,18776,0.3778227524499361,0.6811339926864485,-2304.087648562687,-2341.5685000221088,2611,16165,38,4054
log_daily,daily,0.0015,0.0005,strength,18803,0.3769611232250173,0.6746055151101606,-2363.754159569886,-2402.762392065036,2580,16223,37,4072
log_daily,daily,0.0015,0.0002,spread,18248,0.3861245067952652,0.6724536853007347,-2372.073477395207,-2409.085426132448,2502,15746,45,2885
log_daily,daily,0.0015,0.0002,strength,18232,0.3861342694164107,0.6694797111362305,-2393.8802782177004,-2432.419607990673,2457,15775,43,2877
log_daily,daily,0.001,0.0002,spread,24155,0.3725522666114676,0.658493616208511,-4644.17570273193,-4684.426422020671,3459,20696,52,5792
log_daily,daily,0.001,0.0002,strength,24190,0.37201322860686237,0.6526433665208557,-4754.012760613736,-4791.248254680293,3476,20714,55,5807
log_daily,daily,0.0015,0.001,spread,20860,0.3439117929050815,0.6452335625439735,-2677.956663255254,-2717.8958909109915,3082,17778,31,7458
log_daily,daily,0.0015,0.001,strength,20900,0.34401913875598084,0.6438554246260455,-2694.396791845908,-2734.2326408816375,3067,17833,31,7488
log_daily,daily,0.001,0.0005,spread,26117,0.3510357238580235,0.6334775278741391,-5193.228751741354,-5228.0076139861985,3879,22238,46,9006
log_daily,daily,0.001,0.0005,strength,26138,0.35197796311883084,0.6317804196607142,-5233.078993558085,-5268.01700099956,3902,22236,47,9069
log_daily,daily,0.0005,0.0002,spread,34076,0.3398579645498298,0.6101430299732684,-13841.93238337224,-13880.873447190226,5073,29003,63,13008
log_daily,daily,0.0005,0.0002,strength,34158,0.33951050998302007,0.6058659902948264,-14037.715387210952,-14076.656451028948,5112,29046,66,13091
log_daily,daily,0.001,0.001,spread,39988,0.25057517255176553,0.5252438219310644,-7974.473683963506,-8002.267451144313,7153,32835,36,25060
log_daily,daily,0.0005,0.0005,spread,49865,0.2565928005615161,0.5241146097012104,-19875.6751794257,-19909.394396778727,9022,40843,49,30655
log_daily,daily,0.001,0.001,strength,40147,0.2500809524995641,0.5216745434314187,-8082.619790047382,-8110.413557228174,7225,32922,37,25241
log_daily,daily,0.0005,0.0005,strength,50176,0.2551219706632653,0.520130109375721,-20145.811109592578,-20179.530326945613,9119,41057,50,31006
log_daily,daily,0.0005,0.001,spread,168833,0.1092736609549081,0.22593682776043367,-68452.44819726775,-68462.77174988938,35828,133005,45,153633
log_daily,daily,0.0005,0.001,strength,172760,0.10915721231766613,0.2242203090264658,-69893.12061642142,-69903.41180128204,37327,135433,46,157590
