method,window,entry_threshold,exit_ratio,exit_threshold,trades,win_rate,pf,total_pnl,max_dd,case_a,case_b,stop_cnt,reduced_cnt
rolling,24,0.003,0.8,0.0006,4041,0.3546151942588468,0.7687265539625708,-170.5733076196023,-180.74175948118085,280,3761,418,3623
rolling,6,0.003,0.8,0.0006,1710,0.3298245614035088,0.74773264702187,-68.09645523437382,-77.11652149640193,48,1662,96,1614
rolling,24,0.003,0.5,0.0015,4382,0.3329529895025103,0.7427074592677415,-183.79270510202406,-190.93915822141767,339,4043,294,4088
rolling,6,0.003,0.5,0.0015,1751,0.32552826956025127,0.7139182043971983,-76.89949909369965,-85.55520177240354,53,1698,81,1670
rolling,12,0.003,0.8,0.0006,2812,0.34210526315789475,0.7027672249424746,-141.93772800951626,-147.18972038445676,120,2692,243,2569
rolling,6,0.003,0.2,0.0024,1892,0.29915433403805497,0.6775132283486642,-85.68335143438085,-90.90435076016543,75,1817,65,1827
rolling,24,0.003,0.2,0.0024,5435,0.2844526218951242,0.6448699798218295,-273.5189979848135,-278.77280854504596,470,4965,213,5222
rolling,12,0.003,0.5,0.0015,3004,0.32822902796271636,0.6442483004449758,-167.28400456237316,-171.14341636658764,145,2859,168,2836
rolling,24,0.002,0.8,0.0004,9750,0.31261538461538463,0.6205055802940491,-924.7960160756529,-942.4307036542237,809,8941,1845,7905
rolling,12,0.003,0.2,0.0024,3447,0.285175514940528,0.6025650793586315,-193.00880198134251,-194.16962003615126,189,3258,116,3331
rolling,24,0.002,0.5,0.001,10846,0.30370643555227733,0.5981444476249863,-973.8104213314668,-983.0711413782369,1009,9837,1404,9442
rolling,12,0.002,0.8,0.0004,8003,0.31788079470198677,0.596968748893696,-722.9940859739576,-732.6996853304319,428,7575,1021,6982
rolling,24,0.0015,0.8,0.0003,16542,0.29500664974005564,0.5783239358449677,-2127.345169333632,-2141.845272571086,1738,14804,4388,12154
rolling,12,0.002,0.5,0.001,8699,0.29417174387860673,0.5405757093815505,-827.5096006784162,-837.3060980389548,531,8168,794,7905
rolling,6,0.002,0.8,0.0004,5638,0.296204327775807,0.5395577694248119,-548.6772812036751,-560.3411487118551,187,5451,582,5056
rolling,24,0.0015,0.5,0.00075,18706,0.2764353683310168,0.538049881374175,-2383.626593003718,-2394.4623606385285,2177,16529,3584,15122
rolling,24,0.002,0.2,0.0016,13433,0.2599568227499442,0.5327582812240939,-1199.4864875848418,-1205.5014017449964,1409,12024,985,12448
rolling,12,0.0015,0.8,0.0003,14771,0.2902308577618306,0.5230431898372349,-1989.2934556255152,-1995.7305463239386,922,13849,2967,11804
rolling,6,0.002,0.5,0.001,5873,0.2843521198705942,0.5143183016312446,-560.7801010974528,-571.9193213345429,214,5659,455,5418
rolling,24,0.001,0.8,0.0002,31812,0.2599962278385515,0.511503071289912,-6248.047981426479,-6266.116538558537,4438,27374,12367,19445
rolling,12,0.0015,0.5,0.00075,16068,0.27526761264625343,0.4842481431566466,-2128.9254173931085,-2132.9509845898024,1109,14959,2298,13770
rolling,12,0.002,0.2,0.0016,10175,0.2575921375921376,0.4728143045666184,-979.9468762916329,-982.6065018939305,705,9470,581,9594
rolling,24,0.0015,0.2,0.0012,23383,0.24150023521361674,0.4719100887102827,-2938.454553218501,-2945.2402141781354,3023,20360,2729,20654
rolling,6,0.0015,0.8,0.0003,11719,0.26384503797252323,0.471741742168513,-1607.8754495505352,-1614.180566915595,425,11294,1656,10063
rolling,24,0.001,0.5,0.0005,36001,0.24557651176356213,0.46768990053801335,-7126.58288717645,-7144.5185358273175,5317,30684,11149,24852
rolling,12,0.001,0.8,0.0002,30906,0.25674626286158025,0.45856688754461356,-6330.606952031456,-6340.451344266388,2887,28019,9994,20909
rolling,6,0.002,0.2,0.0016,6440,0.25838509316770186,0.4504800287342557,-640.7548916857546,-647.1165931326765,315,6125,371,6069
rolling,6,0.0015,0.5,0.00075,12335,0.2526955816781516,0.4297224379249911,-1698.9088139907942,-1700.799847289267,500,11835,1309,11026
rolling,12,0.001,0.5,0.0005,33914,0.24234829274046116,0.41907066285258093,-6912.091873372061,-6917.830044090506,3437,30477,8601,25310
rolling,6,0.001,0.8,0.0002,27773,0.2470384906203867,0.4183420072880072,-5587.4860759926305,-5586.84795607259,1525,26248,6704,21069
rolling,12,0.0015,0.2,0.0012,19034,0.2369969528212672,0.4176972532832559,-2551.1695390598393,-2552.4734207368065,1603,17431,1763,17271
rolling,24,0.001,0.2,0.0008,44208,0.21643141512848355,0.40464699074022736,-8795.245066216872,-8807.422494301672,7084,37124,9627,34581
