pair,source_pair,case_type,direction,entry_time,exit_time,exit_reason,propagation,pnl_pct,entry_spread
CHFJPY,CHFJPY,B,LONG,2026-03-23 01:10:00+00:00,2026-03-23 01:30:00+00:00,spread_reduced,Pseudo,-0.1384076989980147,-0.0015409836893402347
CHFJPY,CHFJPY,B,SHORT,2026-03-23 09:10:00+00:00,2026-03-23 11:05:00+00:00,spread_reduced,Both,0.7712849258346699,0.0016006949491280246
GBPUSD,GBPUSD,B,LONG,2026-03-23 11:05:00+00:00,2026-03-23 11:10:00+00:00,stop,Pseudo,-0.9257526463252546,-0.006206329669825631
EURGBP,EURGBP,B,SHORT,2026-03-23 11:05:00+00:00,2026-03-23 11:10:00+00:00,stop,Pseudo,-0.6329945061948432,0.0062967403446742036
AUDUSD,AUDUSD,B,LONG,2026-03-23 11:05:00+00:00,2026-03-23 11:15:00+00:00,stop,Pseudo,-0.5840247703251904,-0.004876305352249691
NZDUSD,NZDUSD,B,LONG,2026-03-23 11:05:00+00:00,2026-03-23 11:15:00+00:00,stop,Pseudo,-1.0288070042682915,-0.003940045381503136
USDJPY,USDJPY,B,SHORT,2026-03-23 11:05:00+00:00,2026-03-23 11:20:00+00:00,stop,Pseudo,-0.5529983605760957,0.0027954657028476503
EURAUD,EURAUD,B,SHORT,2026-03-23 11:05:00+00:00,2026-03-23 11:20:00+00:00,stop,Pseudo,-1.0114548107369448,0.0038749638386917007
EURJPY,EURJPY,B,SHORT,2026-03-23 11:05:00+00:00,2026-03-23 11:35:00+00:00,spread_reduced,Real,-0.4051422964593451,0.0022522788570299708
USDJPY,USDJPY,B,SHORT,2026-03-23 11:25:00+00:00,2026-03-23 11:35:00+00:00,spread_reduced,Pseudo,0.2288650217349512,0.001707244937200857
GBPUSD,GBPUSD,B,LONG,2026-03-23 11:25:00+00:00,2026-03-23 11:35:00+00:00,spread_reduced,Pseudo,0.4844485820215313,-0.004903690943729674
AUDUSD,AUDUSD,B,LONG,2026-03-23 11:25:00+00:00,2026-03-23 11:35:00+00:00,spread_reduced,Pseudo,0.48181563534980637,-0.0033666225338928536
NZDUSD,NZDUSD,B,LONG,2026-03-23 11:25:00+00:00,2026-03-23 11:35:00+00:00,spread_reduced,Pseudo,0.6227242565059281,-0.003040005732113603
EURGBP,EURGBP,B,SHORT,2026-03-23 11:25:00+00:00,2026-03-23 11:35:00+00:00,spread_reduced,Real,-0.10405093010505222,0.004433632144297732
EURAUD,EURAUD,B,SHORT,2026-03-23 11:25:00+00:00,2026-03-23 11:35:00+00:00,spread_reduced,Pseudo,-0.12528821589293435,0.0027547561705546083
GBPJPY,GBPJPY,B,LONG,2026-03-23 12:40:00+00:00,2026-03-23 13:10:00+00:00,spread_reduced,Pseudo,-0.23653146775592937,-0.001812046126175136
CHFJPY,CHFJPY,B,LONG,2026-03-23 12:40:00+00:00,2026-03-23 13:10:00+00:00,spread_reduced,Pseudo,-0.06615435782934369,-0.0017465301776561416
GBPUSD,GBPUSD,B,LONG,2026-03-23 12:40:00+00:00,2026-03-23 13:10:00+00:00,spread_reduced,Pseudo,-0.1238116488337937,-0.002142794592479267
AUDUSD,AUDUSD,B,LONG,2026-03-23 12:40:00+00:00,2026-03-23 13:10:00+00:00,spread_reduced,Pseudo,-0.30856220203031215,-0.001890806691747572
NZDUSD,NZDUSD,B,LONG,2026-03-23 12:40:00+00:00,2026-03-23 13:10:00+00:00,spread_reduced,Pseudo,-0.07789509302395341,-0.001929658761921017
EURGBP,EURGBP,B,SHORT,2026-03-23 12:40:00+00:00,2026-03-23 13:10:00+00:00,spread_reduced,Pseudo,0.0771021150523336,0.0020805650796887794
CHFJPY,CHFJPY,B,SHORT,2026-03-23 13:25:00+00:00,2026-03-23 13:45:00+00:00,spread_reduced,Pseudo,0.03144251913522744,0.0015289812904329425
GBPUSD,GBPUSD,B,LONG,2026-03-23 13:55:00+00:00,2026-03-23 14:50:00+00:00,spread_reduced,Pseudo,0.7753594820904357,-0.0018008213877403726
AUDUSD,AUDUSD,B,LONG,2026-03-23 14:20:00+00:00,2026-03-23 14:50:00+00:00,spread_reduced,Pseudo,-0.24913695360750943,-0.0017394678584135331
EURGBP,EURGBP,B,SHORT,2026-03-23 14:20:00+00:00,2026-03-23 14:50:00+00:00,spread_reduced,Real,-0.06175824978083,0.001891917075620522
GBPJPY,GBPJPY,B,LONG,2026-03-23 14:20:00+00:00,2026-03-23 14:55:00+00:00,spread_reduced,Pseudo,-0.014066019639306464,-0.0015910923570758265
NZDUSD,NZDUSD,B,LONG,2026-03-23 14:20:00+00:00,2026-03-23 14:55:00+00:00,spread_reduced,Pseudo,-0.039198555790043166,-0.001548061766683244
CHFJPY,CHFJPY,B,LONG,2026-03-23 14:25:00+00:00,2026-03-23 14:55:00+00:00,spread_reduced,Pseudo,-0.0627706511661108,-0.0017001443180408395
AUDUSD,AUDUSD,B,SHORT,2026-03-23 15:30:00+00:00,2026-03-23 16:20:00+00:00,spread_reduced,Real,1.493192245657212,0.0018753553024275715
EURAUD,EURAUD,B,LONG,2026-03-23 15:35:00+00:00,2026-03-23 16:25:00+00:00,spread_reduced,Real,0.5296589951099644,-0.0015080612038893843
GBPUSD,GBPUSD,B,SHORT,2026-03-23 15:25:00+00:00,2026-03-23 16:30:00+00:00,spread_reduced,Pseudo,0.705594467334351,0.0015751435154240604
GBPJPY,GBPJPY,B,SHORT,2026-03-23 15:30:00+00:00,2026-03-23 16:30:00+00:00,spread_reduced,Both,0.33672783187928734,0.001559635057818176
EURGBP,EURGBP,B,LONG,2026-03-23 15:30:00+00:00,2026-03-23 16:30:00+00:00,spread_reduced,Both,0.10409665850411957,-0.00220244932479317
GBPUSD,GBPUSD,B,LONG,2026-03-24 07:10:00+00:00,2026-03-24 07:30:00+00:00,stop,Pseudo,-0.5143915204813831,-0.0016370298105485306
GBPUSD,GBPUSD,B,SHORT,2026-03-24 08:25:00+00:00,2026-03-24 09:35:00+00:00,spread_reduced,Pseudo,0.39274090077375445,0.001558023420179359
GBPUSD,GBPUSD,B,LONG,2026-03-24 18:35:00+00:00,2026-03-24 19:35:00+00:00,spread_reduced,Both,-0.29887474282352944,-0.0015274449500259427
GBPUSD,GBPUSD,B,LONG,2026-03-24 20:20:00+00:00,2026-03-24 20:50:00+00:00,spread_reduced,Neither,-0.41392646812047723,-0.0016436846352905353
AUDUSD,AUDUSD,B,LONG,2026-03-24 20:20:00+00:00,2026-03-24 20:50:00+00:00,spread_reduced,Real,-0.3264249186931689,-0.0015510614482553958
EURGBP,EURGBP,B,SHORT,2026-03-24 20:20:00+00:00,2026-03-24 20:50:00+00:00,spread_reduced,Real,0.023096969826793178,0.0019041616632224094
CHFJPY,CHFJPY,B,SHORT,2026-03-30 00:05:00+00:00,2026-03-30 00:30:00+00:00,spread_reduced,Real,-0.1598867274195855,0.0019574945355905647
CHFJPY,CHFJPY,B,SHORT,2026-03-30 07:15:00+00:00,2026-03-30 07:50:00+00:00,spread_reduced,Pseudo,0.09844495172709837,0.0016411231585918287
GBPUSD,GBPUSD,B,LONG,2026-03-31 00:45:00+00:00,2026-03-31 01:15:00+00:00,spread_reduced,Real,0.20164192157830682,-0.0017854107006567942
CHFJPY,CHFJPY,B,LONG,2026-03-31 00:50:00+00:00,2026-03-31 01:45:00+00:00,spread_reduced,Pseudo,0.011671456286480957,-0.001565995935132981
AUDUSD,AUDUSD,B,SHORT,2026-03-31 14:55:00+00:00,2026-03-31 15:00:00+00:00,stop,Pseudo,-0.7202057959758701,0.0016286054342003597
NZDUSD,NZDUSD,B,SHORT,2026-03-31 14:55:00+00:00,2026-03-31 15:00:00+00:00,stop,Pseudo,-0.5331050687659526,0.0021256612064385672
AUDJPY,AUDJPY,B,SHORT,2026-03-31 14:55:00+00:00,2026-03-31 15:10:00+00:00,stop,Pseudo,-0.5261917086890981,0.002121667315506855
EURAUD,EURAUD,B,LONG,2026-03-31 14:55:00+00:00,2026-03-31 15:10:00+00:00,stop,Pseudo,-0.541053896726836,-0.0017548389802295192
GBPUSD,GBPUSD,B,SHORT,2026-03-31 14:50:00+00:00,2026-03-31 15:25:00+00:00,spread_reduced,Real,0.40143623829869135,0.001915395149405605
GBPJPY,GBPJPY,B,SHORT,2026-03-31 14:55:00+00:00,2026-03-31 15:25:00+00:00,spread_reduced,Real,-0.24151379742720636,0.0029277387127073207
NZDJPY,NZDJPY,B,SHORT,2026-03-31 14:55:00+00:00,2026-03-31 15:25:00+00:00,spread_reduced,Real,-0.2424712685140662,0.0021639227593281104
CHFJPY,CHFJPY,B,SHORT,2026-03-31 14:55:00+00:00,2026-03-31 15:25:00+00:00,stop,Pseudo,-0.5019059705762737,0.003558689870424051
EURGBP,EURGBP,B,LONG,2026-03-31 14:55:00+00:00,2026-03-31 15:25:00+00:00,spread_reduced,Real,-0.30525719949026087,-0.0026143181100825915
AUDUSD,AUDUSD,B,SHORT,2026-03-31 15:05:00+00:00,2026-03-31 15:25:00+00:00,spread_reduced,Real,-0.1349162658723646,0.001555082547529212
GBPUSD,GBPUSD,B,LONG,2026-03-31 16:40:00+00:00,2026-03-31 17:45:00+00:00,spread_reduced,Neither,0.6175805415806757,-0.0018005817223741422
EURGBP,EURGBP,B,SHORT,2026-03-31 16:40:00+00:00,2026-03-31 17:50:00+00:00,spread_reduced,Pseudo,0.5074855136697847,0.0016361282402953033
CHFJPY,CHFJPY,B,LONG,2026-04-01 00:50:00+00:00,2026-04-01 01:15:00+00:00,spread_reduced,Pseudo,-0.3714637602365567,-0.0020918299408125706
GBPUSD,GBPUSD,B,LONG,2026-04-01 06:45:00+00:00,2026-04-01 07:20:00+00:00,spread_reduced,Pseudo,-0.12798898002919223,-0.0015842710980630923
CHFJPY,CHFJPY,B,LONG,2026-04-01 08:00:00+00:00,2026-04-01 08:45:00+00:00,spread_reduced,Pseudo,-0.18355185909083954,-0.00175110425384151
AUDUSD,AUDUSD,B,SHORT,2026-04-02 01:15:00+00:00,2026-04-02 01:45:00+00:00,spread_reduced,Real,0.9908023086111125,0.0017816748674766793
GBPUSD,GBPUSD,B,SHORT,2026-04-02 01:15:00+00:00,2026-04-02 02:00:00+00:00,spread_reduced,Pseudo,0.49135235126736754,0.0022514003102169786
EURGBP,EURGBP,B,LONG,2026-04-02 01:15:00+00:00,2026-04-02 02:00:00+00:00,spread_reduced,Both,-0.0802924202997953,-0.0018058829384816435
GBPJPY,GBPJPY,B,SHORT,2026-04-02 01:30:00+00:00,2026-04-02 02:00:00+00:00,spread_reduced,Pseudo,-0.3571824677162846,0.0016198567520836957
NZDUSD,NZDUSD,B,SHORT,2026-04-02 01:30:00+00:00,2026-04-02 02:00:00+00:00,spread_reduced,Pseudo,-0.13355491086201415,0.0016167682577871644
CHFJPY,CHFJPY,B,LONG,2026-04-02 07:10:00+00:00,2026-04-02 07:55:00+00:00,spread_reduced,Real,0.0935105988530971,-0.0017164486502120298
AUDNZD,AUDNZD,B,LONG,2026-04-03 20:25:00+00:00,2026-04-03 20:50:00+00:00,spread_reduced,Pseudo,0.17375770718993286,-0.001641974196982715
AUDUSD,AUDUSD,B,LONG,2026-04-07 22:40:00+00:00,2026-04-07 23:30:00+00:00,spread_reduced,Real,1.6391442245147214,-0.001730799082713991
CHFJPY,CHFJPY,B,LONG,2026-04-07 23:00:00+00:00,2026-04-07 23:30:00+00:00,spread_reduced,Pseudo,0.27624876873266757,-0.0021771278406294368
NZDUSD,NZDUSD,B,LONG,2026-04-07 22:45:00+00:00,2026-04-07 23:45:00+00:00,spread_reduced,Real,2.2671902731041067,-0.0016419901236066955
GBPUSD,GBPUSD,B,LONG,2026-04-07 22:35:00+00:00,2026-04-07 23:50:00+00:00,spread_reduced,Real,1.1545877005190164,-0.001985832793306013
EURGBP,EURGBP,B,SHORT,2026-04-07 22:35:00+00:00,2026-04-07 23:50:00+00:00,spread_reduced,Real,-0.045873391081382074,0.0016875554699805504
GBPJPY,GBPJPY,B,LONG,2026-04-07 22:40:00+00:00,2026-04-08 00:05:00+00:00,spread_reduced,Pseudo,0.079991957720571,-0.0017041149467127785
CHFJPY,CHFJPY,B,SHORT,2026-04-08 00:20:00+00:00,2026-04-08 01:00:00+00:00,spread_reduced,Pseudo,0.056501636746938054,0.0015905965965893674
GBPUSD,GBPUSD,B,LONG,2026-04-08 04:00:00+00:00,2026-04-08 05:55:00+00:00,spread_reduced,Pseudo,0.7276323822379787,-0.0015329391130334926
NZDUSD,NZDUSD,B,SHORT,2026-04-12 23:00:00+00:00,2026-04-12 23:35:00+00:00,spread_reduced,Pseudo,0.05800741912835121,0.002030043955321693
GBPUSD,GBPUSD,B,SHORT,2026-04-12 23:00:00+00:00,2026-04-12 23:45:00+00:00,spread_reduced,Pseudo,0.11604587905866826,0.002622386371168934
AUDUSD,AUDUSD,B,SHORT,2026-04-12 23:00:00+00:00,2026-04-12 23:45:00+00:00,spread_reduced,Pseudo,-0.009368907556502512,0.0016744169601075045
EURGBP,EURGBP,B,LONG,2026-04-12 23:00:00+00:00,2026-04-12 23:45:00+00:00,spread_reduced,Both,0.0956191321708951,-0.0022649882105326984
GBPJPY,GBPJPY,B,SHORT,2026-04-12 23:00:00+00:00,2026-04-12 23:50:00+00:00,spread_reduced,Pseudo,0.3129891123177705,0.0018853391853265646
NZDJPY,NZDJPY,B,SHORT,2026-04-12 23:10:00+00:00,2026-04-12 23:50:00+00:00,spread_reduced,Pseudo,0.1366213089407653,0.0015018460883230154
CHFJPY,CHFJPY,B,SHORT,2026-04-12 23:20:00+00:00,2026-04-13 00:00:00+00:00,spread_reduced,Pseudo,-0.03640926477925059,0.001605026378572805
CHFJPY,CHFJPY,B,SHORT,2026-04-16 03:00:00+00:00,2026-04-16 03:30:00+00:00,spread_reduced,Pseudo,-0.22988745937727967,0.0015475391478807989
GBPUSD,GBPUSD,B,LONG,2026-04-17 12:50:00+00:00,2026-04-17 13:20:00+00:00,spread_reduced,Pseudo,0.12813820428266473,-0.0019314548262205958
EURGBP,EURGBP,B,SHORT,2026-04-17 12:50:00+00:00,2026-04-17 13:25:00+00:00,spread_reduced,Both,-0.25258988463394694,0.0016111040969781147
NZDUSD,NZDUSD,B,LONG,2026-04-17 13:05:00+00:00,2026-04-17 13:25:00+00:00,stop,Pseudo,-0.5523027262555418,-0.001569102257174233
CHFJPY,CHFJPY,B,SHORT,2026-04-17 13:55:00+00:00,2026-04-17 15:05:00+00:00,spread_reduced,Pseudo,0.7728948374515765,0.0015324301887230296
CHFJPY,CHFJPY,B,LONG,2026-04-20 09:55:00+00:00,2026-04-20 10:20:00+00:00,spread_reduced,Pseudo,-0.08687925876238456,-0.001515758721620296
GBPUSD,GBPUSD,B,SHORT,2026-04-21 19:50:00+00:00,2026-04-21 20:10:00+00:00,stop,Pseudo,-0.5991188201427041,0.0018003837494646093
GBPUSD,GBPUSD,B,LONG,2026-04-21 20:20:00+00:00,2026-04-21 20:40:00+00:00,spread_reduced,Pseudo,-0.18728902967080074,-0.001965168951733528
GBPUSD,GBPUSD,B,SHORT,2026-04-23 17:15:00+00:00,2026-04-23 17:55:00+00:00,spread_reduced,Pseudo,-0.4142245880727943,0.001504746134395176
GBPUSD,GBPUSD,B,LONG,2026-04-23 18:10:00+00:00,2026-04-23 18:35:00+00:00,spread_reduced,Pseudo,0.0,-0.0017484620776959227
CHFJPY,CHFJPY,B,SHORT,2026-04-28 03:00:00+00:00,2026-04-28 04:30:00+00:00,spread_reduced,Pseudo,0.32274391575581873,0.001762317193094873
GBPUSD,GBPUSD,B,SHORT,2026-04-29 13:45:00+00:00,2026-04-29 14:15:00+00:00,spread_reduced,Pseudo,-0.30122405779679323,0.0015417205886793875
EURGBP,EURGBP,B,LONG,2026-04-29 13:45:00+00:00,2026-04-29 14:15:00+00:00,spread_reduced,Pseudo,-0.18832333474102145,-0.0016292928555843899
CHFJPY,CHFJPY,B,SHORT,2026-04-30 07:55:00+00:00,2026-04-30 08:05:00+00:00,stop,Pseudo,-0.5347842384504364,0.0021426831333226063
CHFJPY,CHFJPY,B,SHORT,2026-04-30 08:10:00+00:00,2026-04-30 09:20:00+00:00,spread_reduced,Pseudo,0.8910140849507735,0.0024508850581561586
USDJPY,USDJPY,B,SHORT,2026-04-30 10:30:00+00:00,2026-04-30 11:55:00+00:00,spread_reduced,Pseudo,4.0431377705220095,0.0016090706348256204
EURJPY,EURJPY,B,SHORT,2026-04-30 10:25:00+00:00,2026-04-30 12:00:00+00:00,spread_reduced,Pseudo,4.264428632044607,0.0019236875320934785
CHFJPY,CHFJPY,B,SHORT,2026-04-30 10:25:00+00:00,2026-04-30 12:05:00+00:00,spread_reduced,Pseudo,3.4337337091886466,0.005081326128487597
NZDJPY,NZDJPY,B,SHORT,2026-04-30 10:35:00+00:00,2026-04-30 12:05:00+00:00,spread_reduced,Pseudo,2.8908898516032773,0.002043880414262364
GBPJPY,GBPJPY,B,SHORT,2026-04-30 10:25:00+00:00,2026-04-30 12:10:00+00:00,spread_reduced,Real,4.392499272379539,0.0017368408414533262
AUDJPY,AUDJPY,B,SHORT,2026-04-30 10:35:00+00:00,2026-04-30 12:10:00+00:00,spread_reduced,Real,3.5253848936995054,0.0015537524879070056
CHFJPY,CHFJPY,B,LONG,2026-04-30 12:15:00+00:00,2026-04-30 13:05:00+00:00,spread_reduced,Pseudo,0.5814751294321112,-0.0022343882299255256
CHFJPY,CHFJPY,B,LONG,2026-04-30 13:55:00+00:00,2026-04-30 14:35:00+00:00,stop,Pseudo,-0.6329299716855141,-0.0024071101563592798
CHFJPY,CHFJPY,B,LONG,2026-04-30 15:15:00+00:00,2026-04-30 15:30:00+00:00,spread_reduced,Real,-0.0016740389057190441,-0.0017931890289523452
CHFJPY,CHFJPY,B,LONG,2026-04-30 23:50:00+00:00,2026-05-01 00:50:00+00:00,spread_reduced,Pseudo,0.19743850438673033,-0.0018220759163301871
NZDJPY,NZDJPY,B,SHORT,2026-05-01 06:45:00+00:00,2026-05-01 06:55:00+00:00,stop,Pseudo,-0.5335843093257076,0.002159230000487494
USDJPY,USDJPY,B,SHORT,2026-05-01 06:45:00+00:00,2026-05-01 07:00:00+00:00,stop,Pseudo,-0.686786729966767,0.0021353450711865353
EURJPY,EURJPY,B,SHORT,2026-05-01 06:45:00+00:00,2026-05-01 07:00:00+00:00,stop,Pseudo,-0.6343955780622561,0.002807668196918992
GBPJPY,GBPJPY,B,SHORT,2026-05-01 06:45:00+00:00,2026-05-01 07:00:00+00:00,stop,Pseudo,-0.685314226754441,0.0023651109715065203
AUDJPY,AUDJPY,B,SHORT,2026-05-01 06:45:00+00:00,2026-05-01 07:00:00+00:00,stop,Pseudo,-0.7613307509712897,0.0015732772555403889
CHFJPY,CHFJPY,B,SHORT,2026-05-01 06:40:00+00:00,2026-05-01 07:15:00+00:00,spread_reduced,Pseudo,0.8801977700541401,0.001511508195779883
CHFJPY,CHFJPY,B,LONG,2026-05-01 07:15:00+00:00,2026-05-01 08:05:00+00:00,spread_reduced,Pseudo,0.011636952293410848,-0.003718355407807143
GBPUSD,GBPUSD,B,SHORT,2026-05-04 10:05:00+00:00,2026-05-04 10:30:00+00:00,stop,Pseudo,-0.505980417218943,0.0017017718790817964
CHFJPY,CHFJPY,B,SHORT,2026-05-04 18:55:00+00:00,2026-05-04 19:00:00+00:00,stop,Pseudo,-0.7613176993502465,0.002910577538240755
CHFJPY,CHFJPY,B,LONG,2026-05-05 09:10:00+00:00,2026-05-05 09:50:00+00:00,spread_reduced,Real,0.1790868236856517,-0.0015143623394860413
GBPUSD,GBPUSD,B,LONG,2026-05-05 23:15:00+00:00,2026-05-05 23:40:00+00:00,spread_reduced,Pseudo,-0.16737384236871952,-0.0015037544958497633
EURJPY,EURJPY,B,SHORT,2026-05-06 04:25:00+00:00,2026-05-06 05:05:00+00:00,spread_reduced,Pseudo,1.3969342754159102,0.0017055885846480854
CHFJPY,CHFJPY,B,SHORT,2026-05-06 04:25:00+00:00,2026-05-06 05:05:00+00:00,spread_reduced,Pseudo,1.1978473935281657,0.004756697724085811
USDJPY,USDJPY,B,SHORT,2026-05-06 04:30:00+00:00,2026-05-06 05:05:00+00:00,spread_reduced,Pseudo,0.422274223305541,0.0024333547263777205
GBPJPY,GBPJPY,B,SHORT,2026-05-06 04:30:00+00:00,2026-05-06 05:05:00+00:00,spread_reduced,Pseudo,0.37199325708333253,0.002228490600392579
AUDJPY,AUDJPY,B,SHORT,2026-05-06 04:30:00+00:00,2026-05-06 05:05:00+00:00,spread_reduced,Pseudo,0.3031557818561718,0.0017303759765052958
NZDJPY,NZDJPY,B,SHORT,2026-05-06 04:30:00+00:00,2026-05-06 05:05:00+00:00,spread_reduced,Pseudo,0.08972504489675645,0.00229843277039164
USDJPY,USDJPY,B,LONG,2026-05-06 05:20:00+00:00,2026-05-06 05:45:00+00:00,spread_reduced,Pseudo,-0.025607508863452942,-0.0019598111684841525
AUDJPY,AUDJPY,B,LONG,2026-05-06 05:20:00+00:00,2026-05-06 06:25:00+00:00,spread_reduced,Pseudo,0.17954131740882673,-0.001685616337198773
CHFJPY,CHFJPY,B,LONG,2026-05-06 05:10:00+00:00,2026-05-06 06:30:00+00:00,spread_reduced,Pseudo,0.046610529300809375,-0.002102359418495704
