window,entry_thr,exit_ratio,trades,win_rate,pf,total_pnl,propagation_rate,cost_model
6,0.0015,1.0,132,0.4696969696969697,2.0723604609495325,25.082872060799776,0.9848484848484849,No cost
6,0.0015,0.2,149,0.5234899328859061,1.8826778074490222,18.710042401280827,0.9463087248322147,No cost
6,0.0015,0.5,141,0.48226950354609927,1.848318576805856,19.718146800421607,0.950354609929078,No cost
6,0.0015,0.8,135,0.48148148148148145,1.808513983152526,19.7144779669789,0.9777777777777777,No cost
3,0.001,0.5,273,0.4908424908424908,1.7836461250019418,38.775173400918234,0.9633699633699634,No cost
6,0.0015,0.1,159,0.5157232704402516,1.7728597100036845,17.238948573951845,0.949685534591195,No cost
3,0.001,0.2,282,0.4929078014184397,1.7450860996249515,36.46050661382044,0.9645390070921985,No cost
3,0.001,0.1,284,0.5105633802816901,1.7153326769140267,34.22081794100407,0.9647887323943662,No cost
3,0.001,1.0,261,0.46360153256704983,1.7121911144617978,39.36131928085234,0.9655172413793104,No cost
3,0.001,0.8,267,0.47191011235955055,1.6907805580153306,35.50768110999975,0.9662921348314607,No cost
3,0.0015,1.0,94,0.48936170212765956,1.637608294079157,12.298517235734867,0.9680851063829787,No cost
3,0.0015,0.8,97,0.5154639175257731,1.5878326300747976,10.861457790936429,0.9587628865979382,No cost
3,0.0015,0.5,98,0.5408163265306123,1.5786251938405504,10.297871668207284,0.9693877551020408,No cost
6,0.002,1.0,72,0.4861111111111111,1.576395981541246,8.31306474151508,0.9722222222222222,No cost
3,0.0005,0.2,2043,0.4654919236417034,1.5735370292081143,222.3464457515687,0.9779735682819384,No cost
3,0.0005,0.1,2067,0.4668601838413159,1.5541327048707936,211.8285021967714,0.9733913884857281,No cost
12,0.0015,0.1,282,0.42907801418439717,1.517371797518162,19.560693965897357,0.9822695035460993,No cost
6,0.001,0.5,471,0.445859872611465,1.4967660056524204,41.133947354677176,0.9681528662420382,No cost
3,0.0005,0.5,1976,0.458502024291498,1.4803627564032862,198.93099774960632,0.9691295546558705,No cost
6,0.001,0.1,522,0.446360153256705,1.472546053366204,36.68696593203153,0.9655172413793104,No cost
6,0.001,0.2,509,0.44793713163064836,1.4496840132609126,35.83758873302218,0.962671905697446,No cost
3,0.0015,0.2,101,0.5445544554455446,1.4261191366523418,7.479887279544591,0.9900990099009901,No cost
6,0.001,0.8,459,0.4444444444444444,1.4032434418943736,36.11896799552516,0.9738562091503268,No cost
6,0.0005,0.2,2975,0.4534453781512605,1.395507862425885,227.05725984491437,0.9757983193277311,No cost
12,0.0015,0.2,269,0.39776951672862454,1.3907219649185465,15.878406321952765,0.9814126394052045,No cost
3,0.0005,1.0,1879,0.44278871740287384,1.383952388420506,180.05001338923245,0.9675359233634913,No cost
6,0.0005,0.5,2741,0.45311929952572055,1.3822269648715522,229.59931119512834,0.9755563662896753,No cost
6,0.0005,0.1,3081,0.45407335280753003,1.3818706171115807,214.74412313206003,0.9746835443037974,No cost
3,0.0005,0.8,1913,0.4438055410350235,1.3749987869741445,169.6316295065088,0.967067433350758,No cost
6,0.001,1.0,452,0.4269911504424779,1.3678357683025602,35.01494063684635,0.9823008849557522,No cost
3,0.0015,0.1,104,0.5,1.3655571091168532,6.617376406995001,1.0,No cost
6,0.002,0.8,73,0.4657534246575342,1.359008776748356,5.388717016562322,0.9726027397260274,No cost
6,0.0005,0.8,2550,0.44901960784313727,1.318063505751915,206.36561760622996,0.9737254901960785,No cost
6,0.002,0.1,82,0.5365853658536586,1.3086180119368016,3.756691079906477,0.9878048780487805,No cost
12,0.002,0.1,135,0.4222222222222222,1.3047485057324404,6.069892134832055,1.0,No cost
6,0.0005,1.0,2472,0.4372977346278317,1.3025972906891379,202.86032208259508,0.9773462783171522,No cost
6,0.002,0.5,76,0.4605263157894737,1.2760883636126301,3.8484464449783378,0.9605263157894737,No cost
12,0.001,0.1,907,0.4432194046306505,1.2500795118676684,32.18393722749585,0.9823594266813671,No cost
12,0.002,0.2,128,0.40625,1.2468351519088074,5.05034123281592,1.0,No cost
