pair,trades,win_rate,avg_pnl,total_pnl
EURJPY,5,0.6,0.6268146168131168,3.134073084065584
CHFJPY,22,0.5,0.12068869080785884,2.6551511977728945
AUDJPY,5,0.8,0.38008778600774706,1.9004389300387354
GBPJPY,10,0.4,0.045430218748384245,0.45430218748384243
NZDJPY,9,0.4444444444444444,0.022960591813133324,0.2066453263181999
USDJPY,7,0.42857142857142855,-0.029229655872259595,-0.20460759110581717
NZDUSD,5,0.2,-0.05929309193636695,-0.29646545968183474
AUDUSD,5,0.6,-0.06557059130376525,-0.32785295651882623
EURAUD,2,0.0,-0.687598101056249,-1.375196202112498
EURGBP,9,0.1111111111111111,-0.28137115016977526,-2.5323403515279774
GBPUSD,20,0.3,-0.16074742576059894,-3.214948515211979
