window,entry_thr,exit_ratio,trades,win_rate,avg_pnl,total_pnl,pf,max_dd,stop_cnt,reduced_cnt,prop_Real,prop_Pseudo,prop_Both,prop_Neither,propagation_rate
6,0.0015,1.0,132,0.4696969696969697,0.19002175803636193,25.082872060799776,2.0723604609495325,-5.141174394885964,24,108,25,98,7,2,0.9848484848484849
6,0.0015,0.2,149,0.5234899328859061,0.12557075437101226,18.710042401280827,1.8826778074490222,-4.723307292481975,20,129,39,97,5,8,0.9463087248322147
6,0.0015,0.5,141,0.48226950354609927,0.13984501276894756,19.718146800421607,1.848318576805856,-5.939362263613578,23,118,33,97,4,7,0.950354609929078
6,0.0015,0.8,135,0.48148148148148145,0.14603317012576963,19.7144779669789,1.808513983152526,-5.319795378516384,25,110,30,97,5,3,0.9777777777777777
3,0.001,0.5,273,0.4908424908424908,0.1420336022011657,38.775173400918234,1.7836461250019418,-14.551691936820376,41,232,75,164,24,10,0.9633699633699634
6,0.0015,0.1,159,0.5157232704402516,0.10842106021353362,17.238948573951845,1.7728597100036845,-4.78630244634922,20,139,40,103,8,8,0.949685534591195
3,0.001,0.2,282,0.4929078014184397,0.12929257664475335,36.46050661382044,1.7450860996249515,-14.270183630207267,39,243,86,165,21,10,0.9645390070921985
3,0.001,0.1,284,0.5105633802816901,0.12049583782043687,34.22081794100407,1.7153326769140267,-14.269900411671806,38,246,88,166,20,10,0.9647887323943662
3,0.001,1.0,261,0.46360153256704983,0.1508096524170588,39.36131928085234,1.7121911144617978,-16.823220250122393,48,213,41,192,19,9,0.9655172413793104
3,0.001,0.8,267,0.47191011235955055,0.1329875697003736,35.50768110999975,1.6907805580153306,-15.595983889052757,44,223,58,178,22,9,0.9662921348314607
3,0.0015,1.0,94,0.48936170212765956,0.1308352897418603,12.298517235734867,1.637608294079157,-8.830801793120129,21,73,14,72,5,3,0.9680851063829787
3,0.0015,0.8,97,0.5154639175257731,0.11197379165913844,10.861457790936429,1.5878326300747976,-9.013705971790372,21,76,20,67,6,4,0.9587628865979382
3,0.0015,0.5,98,0.5408163265306123,0.10508032314497229,10.297871668207284,1.5786251938405504,-7.763436559773225,19,79,32,60,3,3,0.9693877551020408
6,0.002,1.0,72,0.4861111111111111,0.11545923252104277,8.31306474151508,1.576395981541246,-5.877751726864695,13,59,12,56,2,2,0.9722222222222222
3,0.0005,0.2,2043,0.4654919236417034,0.10883330678001404,222.3464457515687,1.5735370292081143,-22.569356373073777,265,1778,552,1261,185,45,0.9779735682819384
3,0.0005,0.1,2067,0.4668601838413159,0.10248113313825419,211.8285021967714,1.5541327048707936,-22.541506474657798,254,1813,574,1255,183,55,0.9733913884857281
12,0.0015,0.1,282,0.42907801418439717,0.06936416299963602,19.560693965897357,1.517371797518162,-10.119844754227007,28,254,46,207,24,5,0.9822695035460993
