window,entry_thr,exit_ratio,trades,win_rate,avg_pnl,total_pnl,pf,max_dd,stop_cnt,reduced_cnt,case_a,case_b,prop_Real,prop_Pseudo,prop_Both,prop_Neither,propagation_rate
3,0.0015,1.0,99,0.40404040404040403,0.004032319692124478,0.3991996495203233,1.0154373133089287,-12.61081650364619,24,75,5,94,15,76,5,3,0.9696969696969697
24,0.003,0.1,91,0.4065934065934066,-0.002905326180996675,-0.2643846824706974,0.9764660833476531,-4.537699744448695,6,85,21,70,16,65,9,1,0.989010989010989
6,0.0015,1.0,158,0.2911392405063291,-0.00993086460645395,-1.5690766078197242,0.9630996024732025,-15.441856141137169,35,123,24,134,35,111,10,2,0.9873417721518988
3,0.0015,0.8,102,0.38235294117647056,-0.013374130188237751,-1.3641612792002507,0.9458014393644751,-12.926782544367006,23,79,5,97,21,71,6,4,0.9607843137254902
24,0.003,0.2,85,0.4,-0.00861060151873065,-0.7319011290921051,0.9368260693948772,-5.502846379983755,7,78,17,68,15,60,9,1,0.9882352941176471
3,0.0015,0.5,106,0.3584905660377358,-0.027078133720568952,-2.870282174380309,0.887672376502258,-14.092294757805307,21,85,8,98,34,66,3,3,0.9716981132075472
6,0.0015,0.8,161,0.2919254658385093,-0.039969554630364716,-6.435098295488719,0.8486219882375726,-15.05866961859381,35,126,24,137,41,108,8,4,0.9751552795031055
3,0.001,1.0,287,0.2961672473867596,-0.052712826803544194,-15.128581292617184,0.8351823478943919,-39.75761457589723,59,228,28,259,52,204,22,9,0.9686411149825784
6,0.0015,0.5,168,0.30952380952380953,-0.04598123295736751,-7.724847136837742,0.8177992613131209,-16.086822810603508,33,135,24,144,49,104,7,8,0.9523809523809523
6,0.0015,0.2,181,0.35359116022099446,-0.04618464153301268,-8.359420117475295,0.7882815446123095,-14.197605265757682,30,151,32,149,49,116,6,10,0.9447513812154696
3,0.002,0.2,51,0.4117647058823529,-0.04906153094264989,-2.502138078075144,0.7818664167137327,-6.113429138009132,7,44,7,44,16,33,2,0,1.0
3,0.001,0.5,303,0.2871287128712871,-0.06513357214596442,-19.73547236022722,0.7763216715640588,-45.045265055454756,51,252,33,270,85,183,25,10,0.966996699669967
3,0.0015,0.2,110,0.32727272727272727,-0.05541671498364271,-6.095838648200698,0.7655687374459144,-15.91869599656153,20,90,9,101,39,65,5,1,0.990909090909091
3,0.001,0.8,293,0.2901023890784983,-0.07113766633648984,-20.843336236591522,0.7644670582554859,-45.01355862591724,54,239,28,265,67,193,24,9,0.9692832764505119
6,0.0015,0.1,196,0.33163265306122447,-0.05442888607279808,-10.668061670268424,0.7439336244301757,-15.001675408385966,30,166,39,157,53,124,9,10,0.9489795918367347
3,0.002,0.1,52,0.40384615384615385,-0.054408848933940684,-2.8292601445649157,0.7405413179716338,-6.950416850508484,6,46,7,45,18,31,3,0,1.0
3,0.003,0.5,20,0.35,-0.06971403578835134,-1.3942807157670267,0.7153941229407307,-3.131681924184782,4,16,2,18,3,16,0,1,0.95
3,0.001,0.2,327,0.26605504587155965,-0.08186080986785528,-26.768484826788676,0.7112180844242477,-54.22927287384794,51,276,48,279,97,194,23,13,0.9602446483180428
3,0.0015,0.1,114,0.32456140350877194,-0.07011101187898519,-7.992655354204311,0.7096796531536845,-17.600194085130067,20,94,11,103,42,67,5,0,1.0
12,0.002,0.1,177,0.2824858757062147,-0.057902373599195964,-10.248720127057686,0.7032532318787669,-15.940372557919165,23,154,49,128,39,128,10,0,1.0
3,0.003,0.1,21,0.42857142857142855,-0.06414187343116859,-1.3469793420545404,0.6953207873121491,-3.058582037363367,3,18,3,18,5,15,1,0,1.0
3,0.002,0.5,48,0.375,-0.08373997183060607,-4.019518647869091,0.6770921803368621,-6.799844286378864,10,38,4,44,9,36,2,1,0.9791666666666666
3,0.001,0.1,332,0.25903614457831325,-0.08986358661896401,-29.834710757496055,0.6755309557197203,-55.58752823418238,50,282,51,281,100,197,22,13,0.9608433734939759
12,0.0015,0.1,371,0.2668463611859838,-0.064069204115429,-23.76967472682416,0.6754740540147972,-29.117898093232498,34,337,110,261,59,265,38,9,0.9757412398921833
6,0.002,1.0,99,0.23232323232323232,-0.0978569228236037,-9.687835359536766,0.6626757943262487,-13.873222462310766,27,72,27,72,30,63,4,2,0.9797979797979798
3,0.002,1.0,48,0.375,-0.09229689630348553,-4.4302510225673055,0.6621250255869143,-6.2726146311783975,12,36,4,44,4,40,3,1,0.9791666666666666
6,0.003,1.0,33,0.2727272727272727,-0.10218620789686601,-3.3721448605965785,0.6500900959231503,-4.340339564611977,8,25,4,29,7,25,1,0,1.0
12,0.002,0.2,160,0.26875,-0.07651693782060875,-12.2427100512974,0.6500541559704119,-16.311280917672367,25,135,38,122,40,105,10,5,0.96875
12,0.0015,0.2,345,0.2579710144927536,-0.07627591218103376,-26.315189702456646,0.6488741160487329,-30.766512165075603,37,308,92,253,59,252,25,9,0.9739130434782609
12,0.002,0.5,141,0.24113475177304963,-0.08837879444576001,-12.461410016852161,0.6291478147838934,-15.178838365935446,25,116,28,113,30,95,9,7,0.950354609929078
12,0.003,0.2,57,0.2982456140350877,-0.08653368171474031,-4.932419857740197,0.6069014950216529,-6.354782536733401,12,45,11,46,22,34,1,0,1.0
3,0.002,0.8,48,0.375,-0.11020759448385557,-5.289964535225067,0.5980363542943125,-7.245483670206832,12,36,4,44,6,40,2,0,1.0
3,0.003,0.2,20,0.35,-0.09427392630349993,-1.8854785260699987,0.596560129253262,-3.131681924184782,4,16,2,18,6,13,1,0,1.0
12,0.0015,0.8,293,0.2832764505119454,-0.11186277100466353,-32.775791904366415,0.589094952539355,-37.85427376349857,59,234,60,233,68,206,15,4,0.9863481228668942
6,0.001,1.0,526,0.2376425855513308,-0.13969376259513658,-73.47891912504184,0.585144325222213,-81.29230542499282,123,403,79,447,97,380,35,14,0.973384030418251
12,0.003,0.5,56,0.32142857142857145,-0.09658774352691447,-5.408913637507211,0.5842453052886374,-6.377223996199554,12,44,10,46,17,36,2,1,0.9821428571428571
6,0.002,0.8,100,0.25,-0.12152247618300055,-12.152247618300056,0.5770644350250068,-13.483162688961496,27,73,27,73,33,63,2,2,0.98
12,0.0015,0.5,306,0.2777777777777778,-0.10995311345802908,-33.645652718156896,0.5730978809725032,-34.96051645872855,52,254,70,236,70,207,19,10,0.9673202614379085
6,0.001,0.8,538,0.25464684014869887,-0.13681313911298548,-73.6054688427862,0.5677520092525827,-75.41104687564095,111,427,85,453,126,362,32,18,0.966542750929368
6,0.001,0.5,558,0.23118279569892472,-0.1303230514767245,-72.72026272401227,0.5658661959433762,-77.10871876753784,94,464,94,464,140,362,37,19,0.9659498207885304
24,0.002,0.2,230,0.24782608695652175,-0.1017263439735795,-23.397059113923287,0.5453218919616099,-25.695330652189767,30,200,51,179,49,158,22,1,0.9956521739130435
24,0.002,0.1,278,0.2302158273381295,-0.087498856656648,-24.324682150548146,0.5441980231641627,-25.914075067762273,23,255,78,200,66,188,22,2,0.9928057553956835
12,0.002,0.8,145,0.2206896551724138,-0.11574169496947072,-16.782545770573254,0.5439930829483309,-19.07089764543105,29,116,28,117,34,101,9,1,0.993103448275862
12,0.0015,1.0,284,0.2640845070422535,-0.13742943562860044,-39.02995971852253,0.534083134087115,-44.7914820560794,67,217,54,230,61,194,22,7,0.9753521126760564
12,0.002,1.0,139,0.2158273381294964,-0.1299679613340927,-18.065546625438884,0.5227412792102024,-19.60260531050173,31,108,23,116,33,88,15,3,0.9784172661870504
12,0.003,0.8,56,0.30357142857142855,-0.11764507697238767,-6.5881243104537095,0.5032888501039062,-6.219666437892197,12,44,10,46,20,34,2,0,1.0
24,0.002,0.5,194,0.27319587628865977,-0.14506082209614085,-28.141799486651323,0.5009435753562035,-31.745996550108508,39,155,31,163,35,135,20,4,0.979381443298969
6,0.002,0.5,101,0.27722772277227725,-0.13744283523016448,-13.881726358246611,0.49706998588418155,-14.372501015666646,25,76,27,74,29,66,2,4,0.9603960396039604
3,0.003,0.8,20,0.3,-0.12613806043876202,-2.5227612087752407,0.4943663653104376,-3.131681924184782,4,16,2,18,1,19,0,0,1.0
6,0.003,0.8,33,0.30303030303030304,-0.14110321170171328,-4.656405986156538,0.4834328981743956,-4.464910624338497,8,25,4,29,8,24,1,0,1.0
12,0.003,0.1,66,0.25757575757575757,-0.10975376849226089,-7.243748720489219,0.4750618455952451,-7.672574684256306,12,54,15,51,29,34,2,1,0.9848484848484849
