pair,source_pair,case_type,direction,entry_time,exit_time,exit_reason,propagation,pnl_pct,entry_spread
EURJPY,EURJPY,B,SHORT,2022-01-06 02:15:00,2022-01-06 02:50:00,spread_reduced,Pseudo,-0.09311809323834612,0.003117860735533875
GBPJPY,GBPJPY,B,SHORT,2022-01-06 02:15:00,2022-01-06 02:50:00,spread_reduced,Pseudo,-0.10341148024502664,0.0031178607355338743
AUDJPY,AUDJPY,B,SHORT,2022-01-06 02:15:00,2022-01-06 02:50:00,spread_reduced,Pseudo,-0.04329496829043785,0.003117860735533875
NZDJPY,NZDJPY,B,SHORT,2022-01-06 02:15:00,2022-01-06 02:50:00,spread_reduced,Pseudo,0.010923375013201694,0.0031178607355338748
CHFJPY,CHFJPY,B,SHORT,2022-01-06 02:15:00,2022-01-06 02:50:00,spread_reduced,Pseudo,-0.044573308110399765,0.003117860735533875
USDJPY,USDJPY,B,SHORT,2022-01-06 02:25:00,2022-01-06 02:50:00,spread_reduced,Pseudo,-0.06563748837388565,0.0031606593257186024
USDJPY,USDJPY,B,LONG,2022-01-06 10:35:00,2022-01-06 12:00:00,spread_reduced,Real,-0.08145060591741027,-0.0032446350058260073
EURJPY,EURJPY,B,LONG,2022-01-06 10:35:00,2022-01-06 12:00:00,spread_reduced,Real,-0.14138320609226782,-0.0032446350058260064
GBPJPY,GBPJPY,B,LONG,2022-01-06 10:35:00,2022-01-06 12:00:00,spread_reduced,Neither,-0.08114972316116317,-0.0032446350058260073
AUDJPY,AUDJPY,B,LONG,2022-01-06 10:35:00,2022-01-06 12:00:00,spread_reduced,Real,-0.2217546275708841,-0.003244635005826007
NZDJPY,NZDJPY,B,LONG,2022-01-06 10:35:00,2022-01-06 12:00:00,spread_reduced,Real,-0.2685026442858322,-0.0032446350058260073
CHFJPY,CHFJPY,B,LONG,2022-01-06 10:45:00,2022-01-06 12:00:00,spread_reduced,Real,-0.0327123547268308,-0.0036632616723247242
USDJPY,USDJPY,B,SHORT,2022-01-10 11:40:00,2022-01-10 14:10:00,spread_reduced,Pseudo,-0.09770608088773466,0.003182610983438512
EURJPY,EURJPY,B,SHORT,2022-01-10 11:40:00,2022-01-10 14:10:00,spread_reduced,Both,0.45385052576278156,0.0031826109834385123
GBPJPY,GBPJPY,B,SHORT,2022-01-10 11:40:00,2022-01-10 14:10:00,spread_reduced,Pseudo,0.4169919986234209,0.0031826109834385114
AUDJPY,AUDJPY,B,SHORT,2022-01-10 11:40:00,2022-01-10 14:10:00,spread_reduced,Both,0.47678905192296195,0.0031826109834385127
NZDJPY,NZDJPY,B,SHORT,2022-01-10 11:40:00,2022-01-10 14:10:00,spread_reduced,Real,0.5617053209342656,0.0031826109834385127
CHFJPY,CHFJPY,B,SHORT,2022-01-10 11:40:00,2022-01-10 14:10:00,spread_reduced,Pseudo,0.7498649555646719,0.0031826109834385136
USDJPY,USDJPY,B,LONG,2022-01-11 09:10:00,2022-01-11 09:25:00,spread_reduced,Pseudo,-0.09261316813282314,-0.0030768735117480185
EURJPY,EURJPY,B,LONG,2022-01-11 09:10:00,2022-01-11 09:25:00,spread_reduced,Pseudo,-0.17652867386737844,-0.003076873511748018
GBPJPY,GBPJPY,B,LONG,2022-01-11 09:10:00,2022-01-11 09:25:00,spread_reduced,Pseudo,-0.21785816201045732,-0.003076873511748019
AUDJPY,AUDJPY,B,LONG,2022-01-11 09:10:00,2022-01-11 09:25:00,spread_reduced,Pseudo,-0.050491525172261895,-0.003076873511748018
NZDJPY,NZDJPY,B,LONG,2022-01-11 09:10:00,2022-01-11 09:25:00,spread_reduced,Pseudo,-0.08161630789693675,-0.0030768735117480185
CHFJPY,CHFJPY,B,LONG,2022-01-11 09:10:00,2022-01-11 09:25:00,spread_reduced,Pseudo,-0.17980205693640672,-0.0030768735117480185
USDJPY,USDJPY,B,SHORT,2022-01-13 16:45:00,2022-01-13 17:35:00,spread_reduced,Pseudo,-0.08121945902817007,0.0030008138453833672
EURJPY,EURJPY,B,SHORT,2022-01-13 16:45:00,2022-01-13 17:35:00,spread_reduced,Pseudo,-0.054468670838099996,0.0030008138453833677
GBPJPY,GBPJPY,B,SHORT,2022-01-13 16:45:00,2022-01-13 17:35:00,spread_reduced,Pseudo,0.08801989992152093,0.003000813845383366
AUDJPY,AUDJPY,B,SHORT,2022-01-13 16:45:00,2022-01-13 17:35:00,spread_reduced,Pseudo,0.18191147747370628,0.0030008138453833664
NZDJPY,NZDJPY,B,SHORT,2022-01-13 16:45:00,2022-01-13 17:35:00,spread_reduced,Pseudo,0.10339026836989988,0.0030008138453833672
CHFJPY,CHFJPY,B,SHORT,2022-01-13 16:45:00,2022-01-13 17:35:00,spread_reduced,Both,0.017729340372751867,0.0030008138453833664
USDJPY,USDJPY,B,SHORT,2022-01-14 02:10:00,2022-01-14 02:55:00,spread_reduced,Pseudo,-0.024240772830660028,0.0032241044012121622
EURJPY,EURJPY,B,SHORT,2022-01-14 02:10:00,2022-01-14 02:55:00,spread_reduced,Pseudo,-0.10052078033906398,0.0032241044012121627
GBPJPY,GBPJPY,B,SHORT,2022-01-14 02:10:00,2022-01-14 02:55:00,spread_reduced,Pseudo,-0.1289686994439358,0.003224104401212162
AUDJPY,AUDJPY,B,SHORT,2022-01-14 02:10:00,2022-01-14 02:55:00,spread_reduced,Pseudo,-0.20271752002798404,0.0032241044012121627
NZDJPY,NZDJPY,B,SHORT,2022-01-14 02:10:00,2022-01-14 02:55:00,spread_reduced,Pseudo,-0.21216944959797276,0.0032241044012121627
CHFJPY,CHFJPY,B,SHORT,2022-01-14 02:10:00,2022-01-14 02:55:00,spread_reduced,Pseudo,-0.1155608010632303,0.0032241044012121627
USDJPY,USDJPY,B,SHORT,2022-01-18 09:15:00,2022-01-18 10:15:00,spread_reduced,Real,-0.0837788954990056,0.003168879247330667
EURJPY,EURJPY,B,SHORT,2022-01-18 09:15:00,2022-01-18 10:15:00,spread_reduced,Pseudo,-0.13689415255217313,0.003168879247330668
GBPJPY,GBPJPY,B,SHORT,2022-01-18 09:15:00,2022-01-18 10:15:00,spread_reduced,Pseudo,-0.053688541815459054,0.0031688792473306662
AUDJPY,AUDJPY,B,SHORT,2022-01-18 09:15:00,2022-01-18 10:15:00,spread_reduced,Real,-0.1427968201893985,0.003168879247330667
NZDJPY,NZDJPY,B,SHORT,2022-01-18 09:15:00,2022-01-18 10:15:00,spread_reduced,Real,-0.25730235000898105,0.003168879247330667
CHFJPY,CHFJPY,B,SHORT,2022-01-18 09:15:00,2022-01-18 10:15:00,spread_reduced,Pseudo,-0.13932210559234698,0.0031688792473306675
USDJPY,USDJPY,B,SHORT,2022-01-21 00:35:00,2022-01-21 02:00:00,spread_reduced,Pseudo,-0.0030067188933798525,0.003572362678339705
EURJPY,EURJPY,B,SHORT,2022-01-21 00:35:00,2022-01-21 02:00:00,spread_reduced,Pseudo,-0.159379599058281,0.003572362678339705
GBPJPY,GBPJPY,B,SHORT,2022-01-21 00:35:00,2022-01-21 02:00:00,spread_reduced,Pseudo,-0.08420909899409246,0.0035723626783397034
AUDJPY,AUDJPY,B,SHORT,2022-01-21 00:35:00,2022-01-21 02:00:00,spread_reduced,Pseudo,-0.03866670242110478,0.0035723626783397047
NZDJPY,NZDJPY,B,SHORT,2022-01-21 00:35:00,2022-01-21 02:00:00,spread_reduced,Pseudo,0.11826024336251499,0.0035723626783397047
CHFJPY,CHFJPY,B,SHORT,2022-01-21 00:35:00,2022-01-21 02:00:00,spread_reduced,Pseudo,-0.13231306836895368,0.0035723626783397055
USDJPY,USDJPY,B,SHORT,2022-01-24 10:10:00,2022-01-24 10:50:00,spread_reduced,Pseudo,-0.25841818599229666,0.0030166228810189462
EURJPY,EURJPY,B,SHORT,2022-01-24 10:10:00,2022-01-24 10:50:00,spread_reduced,Pseudo,-0.19841408333150698,0.0030166228810189462
GBPJPY,GBPJPY,B,SHORT,2022-01-24 10:10:00,2022-01-24 10:50:00,spread_reduced,Pseudo,-0.017419907106612047,0.003016622881018945
AUDJPY,AUDJPY,B,SHORT,2022-01-24 10:10:00,2022-01-24 10:50:00,spread_reduced,Pseudo,-0.04813925329172353,0.003016622881018946
NZDJPY,NZDJPY,B,SHORT,2022-01-24 10:10:00,2022-01-24 10:50:00,spread_reduced,Pseudo,-0.20063037011208706,0.003016622881018947
CHFJPY,CHFJPY,B,SHORT,2022-01-24 10:10:00,2022-01-24 10:50:00,spread_reduced,Pseudo,-0.1801110744934868,0.003016622881018947
USDJPY,USDJPY,B,LONG,2022-01-24 21:15:00,2022-01-24 22:30:00,spread_reduced,Pseudo,-0.032983996027709704,-0.00322663649256871
EURJPY,EURJPY,B,LONG,2022-01-24 21:15:00,2022-01-24 22:30:00,spread_reduced,Real,-0.05822250464408245,-0.0032266364925687095
GBPJPY,GBPJPY,B,LONG,2022-01-24 21:15:00,2022-01-24 22:30:00,spread_reduced,Pseudo,-0.04071244298862557,-0.003226636492568712
AUDJPY,AUDJPY,B,LONG,2022-01-24 21:15:00,2022-01-24 22:30:00,spread_reduced,Pseudo,-0.0561927672414105,-0.003226636492568711
NZDJPY,NZDJPY,B,LONG,2022-01-24 21:15:00,2022-01-24 22:30:00,spread_reduced,Both,-0.09280484215416311,-0.0032266364925687104
CHFJPY,CHFJPY,B,LONG,2022-01-24 21:15:00,2022-01-24 22:35:00,spread_reduced,Pseudo,-0.1110830276080573,-0.003226636492568709
USDJPY,USDJPY,B,SHORT,2022-01-25 02:35:00,2022-01-25 03:35:00,spread_reduced,Pseudo,-0.04402588567461082,0.0033006828153563433
EURJPY,EURJPY,B,SHORT,2022-01-25 02:35:00,2022-01-25 03:35:00,spread_reduced,Pseudo,-0.06745299626220724,0.003300682815356343
GBPJPY,GBPJPY,B,SHORT,2022-01-25 02:35:00,2022-01-25 03:35:00,spread_reduced,Pseudo,-0.0837563829836722,0.0033006828153563407
AUDJPY,AUDJPY,B,SHORT,2022-01-25 02:35:00,2022-01-25 03:35:00,spread_reduced,Pseudo,0.05238955344834725,0.0033006828153563424
NZDJPY,NZDJPY,B,SHORT,2022-01-25 02:35:00,2022-01-25 03:35:00,spread_reduced,Pseudo,0.13807484512338525,0.0033006828153563424
CHFJPY,CHFJPY,B,SHORT,2022-01-25 02:35:00,2022-01-25 03:35:00,spread_reduced,Pseudo,-0.08527441065216598,0.0033006828153563433
AUDJPY,AUDJPY,B,SHORT,2022-01-26 20:05:00,2022-01-26 20:25:00,stop,Pseudo,-0.5599028411148085,0.0035982247660080987
USDJPY,USDJPY,B,SHORT,2022-01-26 20:05:00,2022-01-26 20:55:00,spread_reduced,Pseudo,-0.1872123322770684,0.0035982247660080995
EURJPY,EURJPY,B,SHORT,2022-01-26 20:05:00,2022-01-26 20:55:00,spread_reduced,Real,-0.09655755741836784,0.0035982247660080995
GBPJPY,GBPJPY,B,SHORT,2022-01-26 20:05:00,2022-01-26 20:55:00,spread_reduced,Neither,-0.3264684909785043,0.003598224766008098
NZDJPY,NZDJPY,B,SHORT,2022-01-26 20:05:00,2022-01-26 20:55:00,spread_reduced,Real,-0.4021224137339778,0.0035982247660080987
CHFJPY,CHFJPY,B,SHORT,2022-01-26 20:05:00,2022-01-26 20:55:00,spread_reduced,Pseudo,-0.23349752312303482,0.0035982247660080995
AUDJPY,AUDJPY,B,SHORT,2022-01-27 01:55:00,2022-01-27 03:15:00,spread_reduced,Pseudo,-0.03476445416820499,0.0031700389276030526
NZDJPY,NZDJPY,B,SHORT,2022-01-27 01:55:00,2022-01-27 03:15:00,spread_reduced,Pseudo,0.20314797900411463,0.003170038927603053
EURJPY,EURJPY,B,SHORT,2022-01-27 02:00:00,2022-01-27 03:15:00,spread_reduced,Pseudo,0.07241176778131446,0.003518588985903661
GBPJPY,GBPJPY,B,SHORT,2022-01-27 02:00:00,2022-01-27 03:15:00,spread_reduced,Pseudo,0.047484934264041545,0.003518588985903659
CHFJPY,CHFJPY,B,SHORT,2022-01-27 02:00:00,2022-01-27 03:15:00,spread_reduced,Pseudo,0.010019357235731738,0.003518588985903661
USDJPY,USDJPY,B,SHORT,2022-01-27 02:05:00,2022-01-27 03:15:00,spread_reduced,Pseudo,-0.04521664447576512,0.0038520494591360315
USDJPY,USDJPY,B,LONG,2022-01-27 09:05:00,2022-01-27 10:50:00,spread_reduced,Pseudo,0.2861518118449184,-0.0030842289108982146
EURJPY,EURJPY,B,LONG,2022-01-27 09:05:00,2022-01-27 10:50:00,spread_reduced,Pseudo,0.1357863737354211,-0.0030842289108982146
AUDJPY,AUDJPY,B,LONG,2022-01-27 09:05:00,2022-01-27 10:50:00,spread_reduced,Pseudo,0.05323973274721598,-0.003084228910898216
NZDJPY,NZDJPY,B,LONG,2022-01-27 09:05:00,2022-01-27 10:50:00,spread_reduced,Pseudo,0.26394959440930366,-0.003084228910898215
GBPJPY,GBPJPY,B,LONG,2022-01-27 10:00:00,2022-01-27 10:50:00,spread_reduced,Pseudo,-0.08860165934822714,-0.003901973038823881
CHFJPY,CHFJPY,B,LONG,2022-01-27 10:00:00,2022-01-27 10:50:00,spread_reduced,Pseudo,0.09330192486093718,-0.003901973038823879
USDJPY,USDJPY,B,SHORT,2022-01-27 18:25:00,2022-01-27 19:40:00,spread_reduced,Pseudo,-0.06235552685133576,0.003396800971366102
EURJPY,EURJPY,B,SHORT,2022-01-27 18:25:00,2022-01-27 19:40:00,spread_reduced,Pseudo,-0.07149085813832705,0.003396800971366102
GBPJPY,GBPJPY,B,SHORT,2022-01-27 18:25:00,2022-01-27 19:40:00,spread_reduced,Pseudo,-0.173772718322233,0.0033968009713661
AUDJPY,AUDJPY,B,SHORT,2022-01-27 18:25:00,2022-01-27 19:40:00,spread_reduced,Pseudo,-0.10171950792503548,0.0033968009713661006
NZDJPY,NZDJPY,B,SHORT,2022-01-27 18:25:00,2022-01-27 19:40:00,spread_reduced,Pseudo,-0.03507718768798925,0.0033968009713661014
CHFJPY,CHFJPY,B,SHORT,2022-01-27 18:25:00,2022-01-27 19:40:00,spread_reduced,Pseudo,-0.13070009264966784,0.003396800971366102
USDJPY,USDJPY,B,LONG,2022-02-03 13:55:00,2022-02-03 15:30:00,spread_reduced,Real,0.11812083466200551,-0.003226935467195071
EURJPY,EURJPY,B,LONG,2022-02-03 13:55:00,2022-02-03 15:30:00,spread_reduced,Neither,0.5939371919258345,-0.003226935467195071
AUDJPY,AUDJPY,B,LONG,2022-02-03 13:55:00,2022-02-03 15:30:00,spread_reduced,Neither,0.32236868342931196,-0.0032269354671950728
NZDJPY,NZDJPY,B,LONG,2022-02-03 13:55:00,2022-02-03 15:30:00,spread_reduced,Neither,0.2592880378854412,-0.0032269354671950706
CHFJPY,CHFJPY,B,LONG,2022-02-03 13:55:00,2022-02-03 15:30:00,spread_reduced,Neither,0.23334813079437894,-0.003226935467195072
GBPJPY,GBPJPY,B,LONG,2022-02-03 13:55:00,2022-02-03 18:55:00,spread_reduced,Real,0.35062879266289926,-0.0032269354671950728
USDJPY,USDJPY,B,SHORT,2022-02-07 09:30:00,2022-02-07 10:25:00,spread_reduced,Pseudo,-0.13132739732816628,0.0030690901835880267
EURJPY,EURJPY,B,SHORT,2022-02-07 09:30:00,2022-02-07 10:25:00,spread_reduced,Pseudo,-0.2853132821350283,0.0030690901835880254
GBPJPY,GBPJPY,B,SHORT,2022-02-07 09:30:00,2022-02-07 10:25:00,spread_reduced,Both,0.046904978711792555,0.0030690901835880233
AUDJPY,AUDJPY,B,SHORT,2022-02-07 09:30:00,2022-02-07 10:25:00,spread_reduced,Pseudo,-0.20330417786388705,0.003069090183588024
NZDJPY,NZDJPY,B,SHORT,2022-02-07 09:30:00,2022-02-07 10:25:00,spread_reduced,Pseudo,-0.05692394191221991,0.003069090183588026
CHFJPY,CHFJPY,B,SHORT,2022-02-07 09:30:00,2022-02-07 10:25:00,spread_reduced,Pseudo,-0.34620889849841985,0.0030690901835880254
USDJPY,USDJPY,B,LONG,2022-02-10 09:30:00,2022-02-10 11:05:00,spread_reduced,Pseudo,-0.05845016262961966,-0.0030627343081729226
GBPJPY,GBPJPY,B,LONG,2022-02-10 09:30:00,2022-02-10 11:05:00,spread_reduced,Pseudo,-0.02268077896957118,-0.0030627343081729257
NZDJPY,NZDJPY,B,LONG,2022-02-10 09:30:00,2022-02-10 11:05:00,spread_reduced,Pseudo,0.20268100015811513,-0.0030627343081729226
AUDJPY,AUDJPY,B,LONG,2022-02-10 10:55:00,2022-02-10 11:05:00,spread_reduced,Both,-0.015332922502127774,-0.003133622172988651
EURJPY,EURJPY,B,LONG,2022-02-10 15:30:00,2022-02-10 17:25:00,spread_reduced,Pseudo,0.24169343974126772,-0.003745060316837005
GBPJPY,GBPJPY,B,LONG,2022-02-10 15:30:00,2022-02-10 17:25:00,spread_reduced,Pseudo,0.27429384686831576,-0.0037450603168370073
AUDJPY,AUDJPY,B,LONG,2022-02-10 15:30:00,2022-02-10 17:25:00,spread_reduced,Pseudo,0.28124141097644423,-0.003745060316837006
NZDJPY,NZDJPY,B,LONG,2022-02-10 15:30:00,2022-02-10 17:25:00,spread_reduced,Pseudo,0.13219349435108127,-0.0037450603168370034
CHFJPY,CHFJPY,B,LONG,2022-02-10 15:30:00,2022-02-10 17:25:00,spread_reduced,Both,0.0774609134126895,-0.0037450603168370047
USDJPY,USDJPY,B,LONG,2022-02-10 15:35:00,2022-02-10 17:25:00,spread_reduced,Both,0.07818252424833065,-0.0035030781647537408
USDJPY,USDJPY,B,SHORT,2022-02-10 18:50:00,2022-02-10 20:35:00,spread_reduced,Pseudo,-0.19082196611123575,0.0030727060766953
EURJPY,EURJPY,B,SHORT,2022-02-10 18:50:00,2022-02-10 20:35:00,spread_reduced,Real,0.1532698073390774,0.0030727060766952983
GBPJPY,GBPJPY,B,SHORT,2022-02-10 18:50:00,2022-02-10 20:35:00,spread_reduced,Pseudo,0.30570332438055,0.003072706076695296
AUDJPY,AUDJPY,B,SHORT,2022-02-10 18:50:00,2022-02-10 20:35:00,spread_reduced,Both,0.5164887322368269,0.0030727060766952974
NZDJPY,NZDJPY,B,SHORT,2022-02-10 18:50:00,2022-02-10 20:35:00,spread_reduced,Both,0.1942174532025461,0.003072706076695299
CHFJPY,CHFJPY,B,SHORT,2022-02-10 18:50:00,2022-02-10 20:35:00,spread_reduced,Real,0.12942948866140336,0.0030727060766952983
USDJPY,USDJPY,B,SHORT,2022-02-11 18:35:00,2022-02-11 20:45:00,spread_reduced,Pseudo,0.44456725354957705,0.004832988591127168
EURJPY,EURJPY,B,SHORT,2022-02-11 18:35:00,2022-02-11 20:45:00,spread_reduced,Pseudo,0.6462291840310849,0.004832988591127166
GBPJPY,GBPJPY,B,SHORT,2022-02-11 18:35:00,2022-02-11 20:45:00,spread_reduced,Pseudo,0.6226054527375495,0.0048329885911271644
AUDJPY,AUDJPY,B,SHORT,2022-02-11 18:35:00,2022-02-11 20:45:00,spread_reduced,Pseudo,0.6685040676543038,0.0048329885911271644
NZDJPY,NZDJPY,B,SHORT,2022-02-11 18:35:00,2022-02-11 20:45:00,spread_reduced,Pseudo,0.6764956081479756,0.004832988591127166
CHFJPY,CHFJPY,B,SHORT,2022-02-11 18:35:00,2022-02-11 20:45:00,spread_reduced,Pseudo,0.03525437741839592,0.004832988591127166
GBPJPY,GBPJPY,B,LONG,2022-02-13 23:00:00,2022-02-14 00:05:00,spread_reduced,Pseudo,0.006022125231745316,-0.0030014965597542583
CHFJPY,CHFJPY,B,LONG,2022-02-13 23:00:00,2022-02-14 00:05:00,spread_reduced,Pseudo,-0.10359348413372753,-0.003001496559754256
USDJPY,USDJPY,B,LONG,2022-02-13 23:30:00,2022-02-14 00:05:00,spread_reduced,Pseudo,-0.06148719642719754,-0.0031300211903470556
EURJPY,EURJPY,B,LONG,2022-02-13 23:30:00,2022-02-14 00:05:00,spread_reduced,Pseudo,-0.07777076330569196,-0.003130021190347057
AUDJPY,AUDJPY,B,LONG,2022-02-13 23:30:00,2022-02-14 00:05:00,spread_reduced,Pseudo,-0.18688576905390164,-0.0031300211903470595
NZDJPY,NZDJPY,B,LONG,2022-02-13 23:30:00,2022-02-14 00:05:00,spread_reduced,Pseudo,-0.04578378973698246,-0.003130021190347057
GBPJPY,GBPJPY,B,SHORT,2022-02-14 01:45:00,2022-02-14 02:30:00,spread_reduced,Pseudo,-0.01738965796749259,0.0032684094666793548
AUDJPY,AUDJPY,B,SHORT,2022-02-14 01:45:00,2022-02-14 02:30:00,spread_reduced,Pseudo,-0.11158231545553103,0.003268409466679355
NZDJPY,NZDJPY,B,SHORT,2022-02-14 01:45:00,2022-02-14 02:30:00,spread_reduced,Pseudo,-0.025166922407060532,0.003268409466679358
CHFJPY,CHFJPY,B,SHORT,2022-02-14 01:45:00,2022-02-14 02:30:00,spread_reduced,Pseudo,-0.08903619719828153,0.0032684094666793574
USDJPY,USDJPY,B,SHORT,2022-02-14 01:50:00,2022-02-14 02:30:00,spread_reduced,Pseudo,-0.1974512842024545,0.0037568157565165848
EURJPY,EURJPY,B,SHORT,2022-02-14 01:50:00,2022-02-14 02:30:00,spread_reduced,Pseudo,-0.0862204020205167,0.003756815756516584
USDJPY,USDJPY,B,SHORT,2022-02-14 08:25:00,2022-02-14 10:20:00,spread_reduced,Pseudo,0.10692161149505885,0.003707513530579087
EURJPY,EURJPY,B,SHORT,2022-02-14 08:25:00,2022-02-14 10:20:00,spread_reduced,Pseudo,0.32244327293604974,0.003707513530579086
GBPJPY,GBPJPY,B,SHORT,2022-02-14 08:25:00,2022-02-14 10:20:00,spread_reduced,Pseudo,0.016875292338254987,0.003707513530579084
AUDJPY,AUDJPY,B,SHORT,2022-02-14 08:25:00,2022-02-14 10:20:00,spread_reduced,Pseudo,0.1986817360222215,0.0037075135305790837
NZDJPY,NZDJPY,B,SHORT,2022-02-14 08:25:00,2022-02-14 10:20:00,spread_reduced,Pseudo,0.11829568688065395,0.003707513530579087
CHFJPY,CHFJPY,B,SHORT,2022-02-14 08:25:00,2022-02-14 10:20:00,spread_reduced,Pseudo,0.0125850133779933,0.003707513530579085
USDJPY,USDJPY,B,LONG,2022-02-14 12:40:00,2022-02-14 14:35:00,spread_reduced,Both,0.2179485159395552,-0.0032226449400278166
EURJPY,EURJPY,B,LONG,2022-02-14 12:40:00,2022-02-14 14:35:00,spread_reduced,Pseudo,-0.2156045155760252,-0.0032226449400278184
GBPJPY,GBPJPY,B,LONG,2022-02-14 12:40:00,2022-02-14 14:35:00,spread_reduced,Pseudo,-0.0707269880673711,-0.003222644940027821
AUDJPY,AUDJPY,B,LONG,2022-02-14 12:40:00,2022-02-14 14:35:00,spread_reduced,Pseudo,-0.07811329654742553,-0.0032226449400278214
NZDJPY,NZDJPY,B,LONG,2022-02-14 12:40:00,2022-02-14 14:35:00,spread_reduced,Pseudo,-0.19528664129523737,-0.003222644940027818
CHFJPY,CHFJPY,B,LONG,2022-02-14 12:45:00,2022-02-14 14:35:00,spread_reduced,Pseudo,-0.09762694810303933,-0.00305856151263698
USDJPY,USDJPY,B,SHORT,2022-02-14 19:15:00,2022-02-14 19:30:00,spread_reduced,Pseudo,-0.2211477566403201,0.0031025670644705783
EURJPY,EURJPY,B,SHORT,2022-02-14 19:15:00,2022-02-14 19:30:00,spread_reduced,Pseudo,-0.24323380905958797,0.0031025670644705774
GBPJPY,GBPJPY,B,SHORT,2022-02-14 19:15:00,2022-02-14 19:30:00,spread_reduced,Pseudo,-0.3106355584430176,0.0031025670644705752
AUDJPY,AUDJPY,B,SHORT,2022-02-14 19:15:00,2022-02-14 19:30:00,stop,Pseudo,-0.5503751785671529,0.0031025670644705744
NZDJPY,NZDJPY,B,SHORT,2022-02-14 19:15:00,2022-02-14 19:30:00,spread_reduced,Pseudo,-0.455912388922286,0.003102567064470578
CHFJPY,CHFJPY,B,SHORT,2022-02-14 19:15:00,2022-02-14 19:30:00,spread_reduced,Pseudo,-0.1524803015282202,0.0031025670644705774
USDJPY,USDJPY,B,LONG,2022-02-15 08:05:00,2022-02-15 10:05:00,spread_reduced,Pseudo,-0.0030619695067605575,-0.004364768226336114
EURJPY,EURJPY,B,LONG,2022-02-15 08:05:00,2022-02-15 10:05:00,spread_reduced,Real,0.27449270652624147,-0.004364768226336114
GBPJPY,GBPJPY,B,LONG,2022-02-15 08:05:00,2022-02-15 10:05:00,spread_reduced,Real,0.057586354544447715,-0.004364768226336116
AUDJPY,AUDJPY,B,LONG,2022-02-15 08:05:00,2022-02-15 10:05:00,spread_reduced,Real,0.17961415843133674,-0.004364768226336117
NZDJPY,NZDJPY,B,LONG,2022-02-15 08:05:00,2022-02-15 10:05:00,spread_reduced,Real,-0.2910503144435787,-0.004364768226336114
CHFJPY,CHFJPY,B,LONG,2022-02-15 08:05:00,2022-02-15 10:05:00,spread_reduced,Real,-0.13145420981443742,-0.0043647682263361146
USDJPY,USDJPY,B,SHORT,2022-02-16 14:00:00,2022-02-16 14:45:00,spread_reduced,Pseudo,0.050355221546727336,0.003029869844992931
EURJPY,EURJPY,B,SHORT,2022-02-16 14:00:00,2022-02-16 14:45:00,spread_reduced,Both,-0.09181189516838106,0.0030298698449929304
GBPJPY,GBPJPY,B,SHORT,2022-02-16 14:00:00,2022-02-16 14:45:00,spread_reduced,Pseudo,-0.3796726238395702,0.0030298698449929278
AUDJPY,AUDJPY,B,SHORT,2022-02-16 14:00:00,2022-02-16 14:45:00,spread_reduced,Pseudo,-0.2179285824898125,0.003029869844992928
NZDJPY,NZDJPY,B,SHORT,2022-02-16 14:00:00,2022-02-16 14:45:00,spread_reduced,Pseudo,-0.48846301567625117,0.0030298698449929317
CHFJPY,CHFJPY,B,SHORT,2022-02-16 14:00:00,2022-02-16 14:45:00,spread_reduced,Pseudo,-0.06488142120849213,0.00302986984499293
USDJPY,USDJPY,B,SHORT,2022-02-17 03:50:00,2022-02-17 05:50:00,spread_reduced,Real,-0.03849668318463747,0.0036232948920236433
EURJPY,EURJPY,B,SHORT,2022-02-17 03:50:00,2022-02-17 05:50:00,spread_reduced,Real,0.1187234963748729,0.003623294892023643
GBPJPY,GBPJPY,B,SHORT,2022-02-17 03:50:00,2022-02-17 05:50:00,spread_reduced,Real,-0.03816033235641096,0.00362329489202364
AUDJPY,AUDJPY,B,SHORT,2022-02-17 03:50:00,2022-02-17 05:50:00,spread_reduced,Real,0.030985947172064897,0.0036232948920236394
NZDJPY,NZDJPY,B,SHORT,2022-02-17 03:50:00,2022-02-17 05:50:00,spread_reduced,Real,-0.05005823910453344,0.003623294892023643
CHFJPY,CHFJPY,B,SHORT,2022-02-17 03:50:00,2022-02-17 05:50:00,spread_reduced,Real,-0.0788738989472663,0.0036232948920236424
USDJPY,USDJPY,B,SHORT,2022-02-17 09:10:00,2022-02-17 09:35:00,spread_reduced,Pseudo,-0.12408224364035547,0.0031952090201014098
