pair,total_pnl,trades,win_rate
CHFJPY,-3.6894742473247053,164,0.3902439024390244
EURGBP,-2.2336689496144464,34,0.47058823529411764
GBPUSD,-0.7753338256271669,43,0.5581395348837209
EURAUD,-0.4503365442790249,7,0.2857142857142857
NZDUSD,-0.37005127791017733,18,0.5
AUDNZD,-0.017783593180720203,1,0.0
AUDUSD,0.9436996090339915,6,0.8333333333333334
NZDJPY,1.6576976654442133,6,0.3333333333333333
AUDJPY,2.2558496732150712,7,0.8571428571428571
EURJPY,2.411163837580092,8,0.75
GBPJPY,2.4783254994423984,7,0.7142857142857143
USDJPY,4.5706765831973195,11,0.7272727272727273
