date,score_EURJPY,score_AUDJPY,score_NZDJPY,score_GBPJPY,score_USDJPY,score_CHFJPY,selected
2022-03-01,6.4688,0.0438,-0.1972,-2.1695,-3.0481,-4.946,"['AUDJPY', 'EURJPY', 'NZDJPY']"
2022-04-01,6.6387,-0.2262,-0.2205,0.0,0.0,0.0,"['EURJPY', 'GBPJPY', 'USDJPY']"
2022-05-01,0.6864,0.0,0.0,0.7524,-3.5775,0.0,"['AUDJPY', 'EURJPY', 'GBPJPY']"
2022-06-01,-0.8518,-5.1931,0.0,-5.5388,0.0,0.0,"['CHFJPY', 'NZDJPY', 'USDJPY']"
2022-07-01,0.0,0.0,-19.5986,0.0,-14.6774,-14.572,"['AUDJPY', 'EURJPY', 'GBPJPY']"
2022-08-01,-1.7161,-10.9558,0.0,-4.5096,0.0,0.0,"['CHFJPY', 'NZDJPY', 'USDJPY']"
2022-09-01,0.0,0.0,-7.6068,0.0,10.694,-0.5934,"['EURJPY', 'GBPJPY', 'USDJPY']"
2022-10-02,5.3863,0.0,0.0,-0.5123,0.849,0.0,"['AUDJPY', 'EURJPY', 'USDJPY']"
2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,"['EURJPY', 'GBPJPY', 'USDJPY']"
2022-12-01,3.5531,0.0,0.0,-0.7657,14.1682,0.0,"['AUDJPY', 'EURJPY', 'USDJPY']"
2023-01-01,3.4644,4.9364,0.0,-0.0557,6.9561,0.0,"['AUDJPY', 'EURJPY', 'USDJPY']"
2023-02-01,-4.4953,0.281,0.0,0.0,-0.0268,0.0,"['AUDJPY', 'GBPJPY', 'NZDJPY']"
2023-03-01,0.0,-1.8291,-1.4231,0.132,0.0,0.0,"['EURJPY', 'GBPJPY', 'USDJPY']"
2023-04-02,7.7367,0.0,0.0,4.2872,-1.8441,0.0,"['AUDJPY', 'EURJPY', 'GBPJPY']"
2023-05-01,-7.915,-10.7502,0.0,-6.5521,0.0,0.0,"['CHFJPY', 'NZDJPY', 'USDJPY']"
2023-06-01,0.0,0.0,-9.3529,0.0,-6.7213,-8.4716,"['AUDJPY', 'EURJPY', 'GBPJPY']"
2023-07-02,-2.5472,-1.1137,0.0,-1.387,0.0,0.0,"['CHFJPY', 'NZDJPY', 'USDJPY']"
2023-08-01,0.0,0.0,3.2443,0.0,4.377,6.5886,"['CHFJPY', 'NZDJPY', 'USDJPY']"
2023-09-01,0.0,0.0,-2.8317,0.0,2.5627,-1.038,"['EURJPY', 'GBPJPY', 'USDJPY']"
2023-10-01,-3.0593,0.0,0.0,-2.3209,2.4024,0.0,"['AUDJPY', 'NZDJPY', 'USDJPY']"
2023-11-01,0.0,-2.4252,-2.277,0.0,0.1794,0.0,"['EURJPY', 'GBPJPY', 'USDJPY']"
2023-12-01,-0.5922,0.0,0.0,-0.6379,1.1495,0.0,"['AUDJPY', 'NZDJPY', 'USDJPY']"
