pair,case_type,direction,entry_time,exit_time,exit_reason,propagation,pnl_pct
USDJPY,B,SHORT,2022-02-02 14:45:00,2022-02-02 15:15:00,spread_reduced,Neither,-0.2817055128147376
EURJPY,B,SHORT,2022-02-02 14:45:00,2022-02-02 15:15:00,spread_reduced,Real,0.051845236628304356
GBPJPY,B,SHORT,2022-02-02 14:45:00,2022-02-02 15:15:00,spread_reduced,Pseudo,-0.3113360722045341
AUDJPY,B,SHORT,2022-02-02 14:45:00,2022-02-02 15:15:00,spread_reduced,Real,-0.05761556421638818
NZDJPY,B,SHORT,2022-02-02 14:45:00,2022-02-02 15:15:00,spread_reduced,Real,-0.20190348100057598
CHFJPY,B,SHORT,2022-02-02 14:45:00,2022-02-02 15:15:00,spread_reduced,Pseudo,-0.33188837686037864
GBPJPY,B,LONG,2022-02-03 12:10:00,2022-02-03 12:20:00,stop,Pseudo,-0.5245502837358067
USDJPY,B,LONG,2022-02-03 12:10:00,2022-02-03 12:40:00,spread_reduced,Pseudo,0.08553232699844612
EURJPY,B,LONG,2022-02-03 12:10:00,2022-02-03 12:40:00,spread_reduced,Pseudo,0.14668229805810581
AUDJPY,B,LONG,2022-02-03 12:10:00,2022-02-03 12:40:00,spread_reduced,Pseudo,0.06080368205944413
NZDJPY,B,LONG,2022-02-03 12:10:00,2022-02-03 12:40:00,spread_reduced,Real,0.15764670100500608
CHFJPY,B,LONG,2022-02-03 12:10:00,2022-02-03 12:40:00,spread_reduced,Pseudo,-0.18642436419909666
GBPJPY,B,LONG,2022-02-03 12:25:00,2022-02-03 12:40:00,spread_reduced,Pseudo,-0.4214897294606927
GBPJPY,B,LONG,2022-02-03 13:40:00,2022-02-03 13:45:00,stop,Pseudo,-0.5535422917559337
EURJPY,B,LONG,2022-02-03 13:40:00,2022-02-03 17:00:00,spread_reduced,Pseudo,2.6630297177031212
AUDJPY,B,LONG,2022-02-03 13:40:00,2022-02-03 17:00:00,spread_reduced,Pseudo,0.1826667763141406
CHFJPY,B,LONG,2022-02-03 13:40:00,2022-02-03 17:00:00,spread_reduced,Pseudo,-0.2396496395700165
USDJPY,B,LONG,2022-02-03 13:45:00,2022-02-03 17:00:00,spread_reduced,Real,0.1348665101118159
NZDJPY,B,LONG,2022-02-03 13:55:00,2022-02-03 17:00:00,spread_reduced,Pseudo,0.20949808585083812
GBPJPY,B,LONG,2022-02-03 13:55:00,2022-02-03 18:00:00,spread_reduced,Pseudo,0.5230251706274114
USDJPY,B,SHORT,2022-02-07 08:25:00,2022-02-07 10:00:00,spread_reduced,Real,0.3024830286373718
GBPJPY,B,SHORT,2022-02-07 08:25:00,2022-02-07 10:00:00,spread_reduced,Real,0.8209204201457728
AUDJPY,B,SHORT,2022-02-07 08:25:00,2022-02-07 10:00:00,spread_reduced,Pseudo,0.13638576021235416
NZDJPY,B,SHORT,2022-02-07 08:25:00,2022-02-07 10:00:00,spread_reduced,Pseudo,0.6314690833093181
CHFJPY,B,SHORT,2022-02-07 08:25:00,2022-02-07 10:00:00,spread_reduced,Real,0.28878070133035266
EURJPY,B,SHORT,2022-02-07 08:35:00,2022-02-07 10:00:00,spread_reduced,Real,0.6975293951891522
USDJPY,B,LONG,2022-02-10 09:10:00,2022-02-10 09:45:00,spread_reduced,Pseudo,-0.1411471754713493
EURJPY,B,LONG,2022-02-10 09:10:00,2022-02-10 09:45:00,spread_reduced,Pseudo,0.0893123712516856
GBPJPY,B,LONG,2022-02-10 09:10:00,2022-02-10 09:45:00,spread_reduced,Pseudo,0.13743829104536273
AUDJPY,B,LONG,2022-02-10 09:10:00,2022-02-10 09:45:00,spread_reduced,Pseudo,0.11554386201662048
NZDJPY,B,LONG,2022-02-10 09:10:00,2022-02-10 09:45:00,spread_reduced,Pseudo,0.04077113493046921
CHFJPY,B,LONG,2022-02-10 09:10:00,2022-02-10 09:45:00,spread_reduced,Pseudo,-0.26495926067908
USDJPY,B,LONG,2022-02-10 14:15:00,2022-02-10 15:00:00,stop,Pseudo,-0.7194503198937701
EURJPY,B,LONG,2022-02-10 14:15:00,2022-02-10 16:10:00,spread_reduced,Both,1.5001366715436948
GBPJPY,B,LONG,2022-02-10 14:15:00,2022-02-10 16:10:00,spread_reduced,Pseudo,0.8262516231139679
AUDJPY,B,LONG,2022-02-10 14:15:00,2022-02-10 16:10:00,spread_reduced,Pseudo,2.2241588369367924
NZDJPY,B,LONG,2022-02-10 14:15:00,2022-02-10 16:10:00,spread_reduced,Pseudo,1.6187486667751383
CHFJPY,B,LONG,2022-02-10 14:15:00,2022-02-10 16:10:00,spread_reduced,Pseudo,0.5771099638663587
USDJPY,B,SHORT,2022-02-10 18:30:00,2022-02-10 19:35:00,spread_reduced,Pseudo,-0.1497292100098117
EURJPY,B,SHORT,2022-02-10 18:30:00,2022-02-10 19:35:00,spread_reduced,Pseudo,0.2695376442007162
GBPJPY,B,SHORT,2022-02-10 18:30:00,2022-02-10 19:35:00,spread_reduced,Pseudo,0.46759749583402677
AUDJPY,B,SHORT,2022-02-10 18:30:00,2022-02-10 19:35:00,spread_reduced,Pseudo,0.408934157788791
NZDJPY,B,SHORT,2022-02-10 18:30:00,2022-02-10 19:35:00,spread_reduced,Pseudo,0.14818704284051226
CHFJPY,B,SHORT,2022-02-10 18:30:00,2022-02-10 19:35:00,spread_reduced,Pseudo,0.1722166252304813
USDJPY,B,LONG,2022-02-11 08:30:00,2022-02-11 09:00:00,spread_reduced,Real,0.05300704497697891
EURJPY,B,LONG,2022-02-11 08:30:00,2022-02-11 09:00:00,spread_reduced,Real,0.12103558675469195
GBPJPY,B,LONG,2022-02-11 08:30:00,2022-02-11 09:00:00,spread_reduced,Real,-0.055662187426364085
AUDJPY,B,LONG,2022-02-11 08:30:00,2022-02-11 09:00:00,spread_reduced,Real,-0.14947895629964977
NZDJPY,B,LONG,2022-02-11 08:30:00,2022-02-11 09:00:00,spread_reduced,Real,-0.0927980945593839
USDJPY,B,SHORT,2022-02-11 18:30:00,2022-02-11 19:15:00,spread_reduced,Pseudo,1.3905452897883253
EURJPY,B,SHORT,2022-02-11 18:30:00,2022-02-11 19:15:00,spread_reduced,Pseudo,2.3538392765909784
GBPJPY,B,SHORT,2022-02-11 18:30:00,2022-02-11 19:15:00,spread_reduced,Pseudo,1.9873073145361873
AUDJPY,B,SHORT,2022-02-11 18:30:00,2022-02-11 19:15:00,spread_reduced,Pseudo,2.175287868931027
NZDJPY,B,SHORT,2022-02-11 18:30:00,2022-02-11 19:15:00,spread_reduced,Pseudo,2.0310858165512777
CHFJPY,B,SHORT,2022-02-11 18:30:00,2022-02-11 19:15:00,spread_reduced,Pseudo,1.037961971222412
AUDJPY,B,SHORT,2022-02-11 19:20:00,2022-02-11 19:30:00,spread_reduced,Pseudo,0.07234127519821036
NZDJPY,B,SHORT,2022-02-11 19:20:00,2022-02-11 19:30:00,spread_reduced,Pseudo,-0.017238452239665136
USDJPY,B,SHORT,2022-02-11 19:25:00,2022-02-11 19:30:00,spread_reduced,Pseudo,-0.19397002592710008
EURJPY,B,SHORT,2022-02-11 19:25:00,2022-02-11 19:30:00,spread_reduced,Pseudo,-0.1960676807157835
GBPJPY,B,SHORT,2022-02-11 19:25:00,2022-02-11 19:30:00,spread_reduced,Pseudo,-0.17965137578005813
CHFJPY,B,SHORT,2022-02-11 19:25:00,2022-02-11 19:30:00,spread_reduced,Pseudo,-0.16901472539188056
AUDJPY,B,SHORT,2022-02-11 19:45:00,2022-02-11 20:00:00,stop,Pseudo,-0.7129313096475206
CHFJPY,B,SHORT,2022-02-11 19:45:00,2022-02-11 20:00:00,stop,Pseudo,-0.5174281751734918
USDJPY,B,SHORT,2022-02-11 19:45:00,2022-02-11 20:10:00,spread_reduced,Real,-0.21581453486319013
EURJPY,B,SHORT,2022-02-11 19:45:00,2022-02-11 20:10:00,spread_reduced,Real,-0.3215119946649766
GBPJPY,B,SHORT,2022-02-11 19:45:00,2022-02-11 20:10:00,spread_reduced,Real,-0.2204773249182927
NZDJPY,B,SHORT,2022-02-11 19:45:00,2022-02-11 20:10:00,spread_reduced,Real,-0.26998115897739855
USDJPY,B,SHORT,2022-02-14 00:20:00,2022-02-14 01:00:00,spread_reduced,Pseudo,0.005661015762270516
EURJPY,B,SHORT,2022-02-14 00:20:00,2022-02-14 01:00:00,spread_reduced,Pseudo,0.03308561828489302
GBPJPY,B,SHORT,2022-02-14 00:20:00,2022-02-14 01:00:00,spread_reduced,Pseudo,0.1112069007398094
AUDJPY,B,SHORT,2022-02-14 00:20:00,2022-02-14 01:00:00,spread_reduced,Pseudo,0.03994558920043338
NZDJPY,B,SHORT,2022-02-14 00:20:00,2022-02-14 01:00:00,spread_reduced,Pseudo,0.0327425573191098
CHFJPY,B,SHORT,2022-02-14 00:20:00,2022-02-14 01:00:00,spread_reduced,Pseudo,0.014182447980089682
USDJPY,B,LONG,2022-02-14 01:05:00,2022-02-14 01:30:00,spread_reduced,Pseudo,-0.2698485574232172
EURJPY,B,LONG,2022-02-14 01:05:00,2022-02-14 01:30:00,spread_reduced,Pseudo,-0.3681114431487442
GBPJPY,B,LONG,2022-02-14 01:05:00,2022-02-14 01:30:00,spread_reduced,Pseudo,-0.2738955135677864
AUDJPY,B,LONG,2022-02-14 01:05:00,2022-02-14 01:30:00,spread_reduced,Pseudo,-0.3016987358069878
NZDJPY,B,LONG,2022-02-14 01:05:00,2022-02-14 01:30:00,spread_reduced,Pseudo,-0.454088178750404
CHFJPY,B,LONG,2022-02-14 01:05:00,2022-02-14 01:30:00,spread_reduced,Pseudo,-0.18199906905576788
USDJPY,B,SHORT,2022-02-14 01:35:00,2022-02-14 02:20:00,spread_reduced,Pseudo,-0.05354950951671119
EURJPY,B,SHORT,2022-02-14 01:35:00,2022-02-14 02:20:00,spread_reduced,Real,0.31804894970499653
GBPJPY,B,SHORT,2022-02-14 01:35:00,2022-02-14 02:20:00,spread_reduced,Real,0.32867813032670207
AUDJPY,B,SHORT,2022-02-14 01:35:00,2022-02-14 02:20:00,spread_reduced,Pseudo,0.3701645654725638
NZDJPY,B,SHORT,2022-02-14 01:35:00,2022-02-14 02:20:00,spread_reduced,Real,0.6015103298313192
