window,entry_thr,exit_ratio,trades,win_rate,avg_pnl,total_pnl,pf,max_dd,stop_cnt,reduced_cnt,prop_Real,prop_Pseudo,prop_Both,prop_Neither,propagation_rate
24,0.003,0.5,4755,0.4031545741324921,0.009229115994998118,43.88444655621605,1.0747706377290238,-48.768145849666766,216,4539,892,3477,238,148,0.9688748685594112
24,0.003,0.8,4452,0.40902964959568733,0.0033415814574277577,14.876720648468378,1.022755756458959,-59.10281531712973,364,4088,919,3199,184,150,0.9663072776280324
24,0.003,1.0,4344,0.40239410681399634,0.0031285672888990168,13.590496302977328,1.0194449027291186,-64.86304878665841,460,3884,786,3210,210,138,0.9682320441988951
24,0.003,0.2,5898,0.3624957612750085,-0.0016975902990722627,-10.012387583928206,0.9831939959616482,-51.249066541147485,112,5786,1045,4436,288,129,0.9781281790437436
12,0.003,0.8,3120,0.40576923076923077,-0.0031909182768468888,-9.955665023762293,0.9760290540114692,-46.312519630004566,195,2925,657,2262,132,69,0.9778846153846154
12,0.003,0.2,3715,0.37200538358008073,-0.0026841965430329786,-9.971790157367515,0.9729064511614627,-43.691251741560286,71,3644,835,2649,135,96,0.9741588156123823
12,0.003,1.0,3072,0.4016927083333333,-0.0040625445755713445,-12.48013693615517,0.9720366728172577,-58.172756554562454,233,2839,580,2290,124,78,0.974609375
24,0.002,1.0,9596,0.3765110462692789,-0.008041041441784615,-77.16183367536516,0.9618235667642342,-189.1343157633861,1757,7834,1558,7285,455,293,0.9689453939141309
12,0.003,0.5,3262,0.39944819129368486,-0.004673804183006084,-15.245949244965846,0.9609754254360692,-47.971923858249035,129,3133,687,2370,130,75,0.9770079705702023
24,0.002,0.5,11168,0.37222421203438394,-0.00925950240159406,-103.41012282100246,0.9443894915870343,-194.9790129087963,1056,10112,1975,8327,547,319,0.9714362464183381
12,0.002,1.0,8614,0.3856512653819364,-0.010300754397534313,-88.73069838036058,0.944247367101724,-148.87106472386384,1038,7576,1489,6489,402,234,0.9728349198978408
24,0.003,0.1,6837,0.34810589439812784,-0.005160977638046209,-35.28560411132193,0.941922581700375,-63.88113464181921,89,6748,1114,5237,328,158,0.9768904490273512
24,0.002,0.8,10118,0.37981814587863216,-0.01141591717942214,-115.50625002139321,0.9409979859284351,-195.69436791263806,1496,8621,1888,7414,472,343,0.9660011860051394
24,0.002,0.2,13821,0.3467911149699732,-0.007920792889672948,-109.4732785281698,0.9392812219237998,-165.6814586280486,626,13195,2435,10328,702,356,0.9742420953621301
3,0.003,1.0,922,0.3893709327548807,-0.00844346951083661,-7.784878888991354,0.9353741119990839,-30.48491510735707,31,891,176,692,37,17,0.9815618221258134
24,0.0015,1.0,14839,0.3582451647685154,-0.01911487539576771,-283.64563599779706,0.9243481681579527,-381.86655757704386,3838,10996,2089,11590,681,474,0.9677201967787586
12,0.003,0.1,4046,0.3551655956500247,-0.0070365119194632725,-28.4697272261484,0.9228998318239353,-54.58038961856175,56,3990,875,2899,148,124,0.9693524468610973
24,0.002,0.1,15647,0.3365501374065316,-0.009357901351592186,-146.42308244836295,0.9203016548095426,-176.65270710219883,542,15105,2725,11728,828,366,0.9766089346200549
12,0.002,0.8,8901,0.3864734299516908,-0.014868943845494084,-132.34846916874284,0.9136763818140337,-148.68480353115586,888,8013,1618,6614,410,259,0.9709021458263116
6,0.003,1.0,1791,0.38749302065884983,-0.012191005622513304,-21.834091069921328,0.9102441719518165,-40.39954147630891,94,1697,345,1329,78,39,0.9782244556113903
24,0.0015,0.8,15770,0.36341154090044386,-0.021278088074327208,-335.55544893214005,0.9088063183825692,-447.80188319700676,3399,12370,2586,11942,689,552,0.9649334178820546
24,0.0015,0.5,17965,0.3555246312273866,-0.02258152566283543,-405.67710853283853,0.8879067931642366,-495.6955952770875,2536,15428,3043,13547,826,548,0.9694405789034233
12,0.0015,1.0,14796,0.3683427953500946,-0.026594820815681482,-393.4969687888232,0.8821809512943335,-402.7861193961726,2846,11950,2313,11378,687,418,0.9717491213841579
3,0.002,0.8,3654,0.3806787082649152,-0.01686739431485393,-61.63345882647625,0.8816306263807051,-100.3220098335454,167,3487,838,2607,126,83,0.9772851669403394
24,0.0015,0.2,22373,0.3323202073928396,-0.01967895811229504,-440.277329846377,0.8773704563960887,-500.86434226945005,1681,20691,3750,16866,1172,584,0.9738524113887275
6,0.003,0.5,1857,0.407108239095315,-0.014336457185314672,-26.622800993129346,0.8771080035323793,-42.09008088798378,59,1798,414,1308,90,45,0.975767366720517
6,0.003,0.8,1821,0.4014277869302581,-0.015292795514173793,-27.848180631310477,0.8769048712035308,-39.93007219254454,74,1747,381,1298,94,48,0.9736408566721582
24,0.001,1.0,24294,0.32785873055075326,-0.040835696812868236,-992.062418371821,0.8739478795096995,-1137.2713396635825,8987,15301,2922,19617,975,774,0.9678933069893801
3,0.002,1.0,3594,0.36449638286032277,-0.020094160819836383,-72.21841398649195,0.8704180293946697,-98.92843753496578,199,3395,700,2667,146,81,0.9774624373956594
12,0.002,0.5,9605,0.3691827173347215,-0.020362335678943612,-195.5802341962534,0.8675398777976701,-204.2187024076345,645,8960,1714,7229,433,229,0.9761582509109838
24,0.001,0.8,25957,0.3356320067804446,-0.039985398232214114,-1037.9009819135817,0.8673060735951956,-1177.6490967721295,8333,17618,3463,20514,1100,874,0.9660977770928844
6,0.003,0.2,1981,0.3796062594649167,-0.01563611617356249,-30.975146139827288,0.847530654391717,-39.38035088384069,45,1936,405,1446,91,39,0.9803129732458354
3,0.0015,0.8,8414,0.37556453529831235,-0.02493147850105677,-209.77346010789165,0.8462140446281605,-243.55685878570694,612,7802,1791,6079,368,176,0.9790824815783219
3,0.0015,1.0,8243,0.3681911925269926,-0.027403363464693176,-225.88592503946586,0.8451749573627553,-241.44727237673624,726,7517,1541,6181,378,143,0.982651947106636
24,0.0015,0.1,25194,0.3256330872429944,-0.022569566797456458,-568.617665895118,0.8447268823358748,-614.1075432855738,1462,23732,4281,18926,1347,640,0.9745971262999127
24,0.001,0.5,29740,0.3277067921990585,-0.04288973602686789,-1275.540749439051,0.8395514308796016,-1412.0049237546862,7279,22460,4287,23126,1338,988,0.9667451244115669
12,0.0015,0.8,15495,0.36773152629880607,-0.035007091443155315,-542.4348819116916,0.8349228542596715,-542.7870788007408,2531,12964,2510,11869,700,416,0.9731526298806067
12,0.001,1.0,27283,0.3453066011802221,-0.04806326604175229,-1311.3100874171278,0.8348161515368451,-1324.0221983345455,8049,19228,3669,21717,1164,727,0.9731334530660118
6,0.003,0.1,2093,0.3635929288103201,-0.01641630363053377,-34.359323498707184,0.8321780879125186,-39.83040802713199,40,2053,434,1533,90,36,0.9827998088867654
6,0.002,1.0,6131,0.3669874408742456,-0.028859033739726512,-176.93473585826325,0.8303364143035166,-180.74251258931548,552,5579,1150,4595,258,128,0.9791224922524874
12,0.002,0.2,11264,0.3440163352272727,-0.02191246953442957,-246.8220568358147,0.8260712117271513,-247.3862818254222,401,10863,1925,8547,552,240,0.9786931818181818
12,0.0015,0.5,16766,0.36603841107002266,-0.03210386667223663,-538.2534286267194,0.8257228702437635,-538.1430280091255,1835,14931,2863,12701,783,419,0.9750089466778004
6,0.002,0.8,6283,0.377844978513449,-0.027417535871596944,-172.2643778812436,0.8226990647415119,-173.2690095954979,448,5835,1299,4586,260,138,0.9780359700779883
