pair,T,win,total
AUDNZD,63,0.36507936507936506,-5.034182902962703
NZDUSD,134,0.373134328358209,-12.132650344311713
USDJPY,90,0.36666666666666664,-15.747175068304031
AUDUSD,113,0.36283185840707965,-15.801389181622994
EURJPY,86,0.26744186046511625,-16.153752371881435
GBPUSD,152,0.40789473684210525,-18.419015068798505
EURAUD,109,0.3761467889908257,-23.574518615888493
GBPJPY,131,0.3435114503816794,-23.733884638285573
AUDJPY,97,0.32989690721649484,-23.91897791798109
EURGBP,136,0.2426470588235294,-27.4382277592789
NZDJPY,112,0.30357142857142855,-32.90235143404907
CHFJPY,155,0.27741935483870966,-33.3644492844411
