pair,T,win,total
AUDNZD,61,0.3770491803278688,-4.792488906133652
NZDUSD,134,0.373134328358209,-11.521326059282966
USDJPY,89,0.38202247191011235,-15.0697865921402
EURJPY,85,0.27058823529411763,-15.254933420986326
AUDUSD,116,0.3706896551724138,-16.00398735015013
GBPUSD,152,0.40789473684210525,-18.37535203294216
GBPJPY,130,0.35384615384615387,-23.04281324533175
AUDJPY,98,0.336734693877551,-23.61097069660939
EURAUD,107,0.3644859813084112,-23.737262658907188
EURGBP,137,0.25547445255474455,-26.896902349651754
NZDJPY,110,0.32727272727272727,-29.0070601966117
CHFJPY,153,0.2875816993464052,-32.058942231391555
