entry_threshold,exit_threshold,sort_mode,trades,win_rate,avg_pnl,total_pnl,pf,max_dd,case_a,case_b,stop_cnt,reduced_cnt,time_cnt,day_end_cnt
0.001,0.0005,strength,1372,0.34110787172011664,-0.17446926074354138,-239.37182574013877,0.5846111643473232,-245.42491993386824,356,1016,0,338,685,345
0.001,0.0005,spread,1378,0.33381712626995647,-0.180131041065171,-248.22057458780563,0.5717753696596518,-254.6578109700032,358,1020,0,331,691,352
0.001,0.0002,strength,1307,0.3389441469013007,-0.21071860662338782,-275.4092188567679,0.5277805023007185,-288.07995758042915,317,990,2,182,759,360
0.001,0.0002,spread,1307,0.3351185921958684,-0.21389164002380912,-279.5563735111185,0.5192690401350251,-292.2271122347797,320,987,2,177,761,363
0.0005,0.0002,spread,2255,0.33303769401330374,-0.41299119838202,-931.295152351455,0.5068481631773244,-932.2705142598656,565,1690,2,732,1068,443
0.0005,0.0002,strength,2259,0.3284639220894201,-0.4554997509733031,-1028.9739374486917,0.46930638566722566,-1029.2173646180395,573,1686,1,754,1056,439
0.0015,0.0005,strength,820,0.29634146341463413,-0.16894079281485078,-138.53145010817764,0.4683994363676328,-140.38416698486452,214,606,0,109,466,245
0.0015,0.0005,spread,822,0.29318734793187345,-0.1770707136240445,-145.55212659896458,0.4519589872355498,-147.40484347565157,217,605,0,110,467,245
0.0015,0.001,strength,915,0.292896174863388,-0.171203848696251,-156.65152155706966,0.44634278508716013,-156.52313822600803,257,658,0,262,397,256
0.0015,0.001,spread,908,0.29295154185022027,-0.17335802813842976,-157.40908954969422,0.4425432325398114,-157.28070621863264,254,654,0,261,396,251
0.0015,0.0002,strength,807,0.29120198265179675,-0.1948984111303424,-157.2830177821863,0.41754739780992745,-158.2666428159313,208,599,1,58,494,254
0.003,0.0002,spread,173,0.23699421965317918,-0.1275692614262854,-22.069482226747375,0.408289026876919,-22.51095398144584,57,116,0,5,100,68
0.003,0.0002,strength,173,0.23699421965317918,-0.1275692614262854,-22.069482226747375,0.408289026876919,-22.51095398144584,57,116,0,5,100,68
0.0005,0.0005,spread,3588,0.23439241917502787,-0.3795747748108551,-1361.914292021348,0.4052238699164241,-1361.2626803306518,1217,2371,1,2256,893,430
0.003,0.0005,spread,173,0.23699421965317918,-0.13181374929561016,-22.803778628140556,0.40040606322522376,-23.24525038283902,57,116,0,10,95,68
0.003,0.0005,strength,173,0.23699421965317918,-0.13181374929561016,-22.803778628140556,0.40040606322522376,-23.24525038283902,57,116,0,10,95,68
0.0015,0.0002,spread,808,0.2871287128712871,-0.20572391717167737,-166.22492507471532,0.396532609158277,-167.20855010846032,210,598,1,58,495,254
0.001,0.001,strength,2477,0.22567622123536535,-0.20534890309433185,-508.64923296466,0.3841504400042803,-510.49146665010755,880,1597,1,1593,544,335
0.0005,0.0005,strength,3652,0.22727272727272727,-0.39549886696242564,-1444.3618621467785,0.38320743761789233,-1443.7102504560821,1271,2381,1,2327,890,426
0.001,0.001,spread,2433,0.22770242498972462,-0.2079758305340839,-506.0051956894261,0.3817872830552388,-507.8474293748736,849,1584,1,1540,552,336
0.002,0.001,spread,538,0.2695167286245353,-0.17477617440344861,-94.02958182905536,0.377977575769097,-97.226883740139,165,373,0,86,281,171
0.002,0.001,strength,535,0.2691588785046729,-0.17385136394476816,-93.01047971045097,0.37776230396019284,-96.20778162153461,165,370,0,86,279,170
0.003,0.001,spread,173,0.23121387283236994,-0.14422394029207206,-24.950741670528465,0.37570488292305226,-25.392213425226924,56,117,0,15,90,68
0.003,0.001,strength,173,0.23121387283236994,-0.14540846728152257,-25.155664839703405,0.37057747887305725,-25.597136594401864,56,117,0,15,90,68
0.002,0.0005,spread,524,0.2729007633587786,-0.17843030284475567,-93.49747869065197,0.36277451372950126,-96.69478060173564,154,370,0,42,310,172
0.002,0.0002,spread,519,0.28516377649325625,-0.18705383146705748,-97.08093853140284,0.35994604015205356,-100.27824044248648,154,365,1,25,320,173
0.002,0.0005,strength,521,0.2706333973128599,-0.17910210762233456,-93.31219807123631,0.35976916744311166,-96.50949998231998,154,367,0,42,308,171
0.002,0.0002,strength,516,0.28294573643410853,-0.18778228277516895,-96.89565791198717,0.35702105752622976,-100.09295982307084,154,362,1,25,318,172
0.0005,0.001,spread,16905,0.07133984028393967,-0.403867568910957,-6827.381252439728,0.1046058816764475,-6826.678694946944,5910,10995,1,16051,505,341
0.0005,0.001,strength,17956,0.07150813098685677,-0.40273056771900223,-7231.430073962404,0.09938255617649935,-7230.727516469616,6258,11698,0,17102,497,348
