entry_threshold,exit_threshold,sort_mode,trades,win_rate,pf,total_pnl,max_dd,reduced_cnt,stop_cnt,time_cnt
0.001,0.0005,strength,1372,0.4620991253644315,1.0851740411231061,34.98729735415696,-35.666344909408835,338,0,685
0.001,0.0005,spread,1378,0.46008708272859217,1.0662780249582293,27.335248346918412,-35.29141048897265,331,0,691
0.0005,0.0005,spread,3588,0.46488294314381273,1.0550503769770936,73.0279307062327,-125.30292163114906,2256,1,893
0.0005,0.0005,strength,3652,0.4589266155531216,1.0119676404075661,16.152495979825268,-138.764308014295,2327,1,890
0.001,0.0002,strength,1306,0.4793261868300153,1.0013152320990018,0.5450081372924647,-44.87989741835018,182,1,759
0.001,0.0002,spread,1306,0.48009188361408883,0.9912559281623339,-3.6038057107592376,-48.778536048580904,177,1,761
0.0005,0.001,strength,17956,0.46547115170416575,0.9783181957337604,-50.48645726943623,-103.8015410445798,17102,0,497
0.0005,0.0002,spread,2255,0.4678492239467849,0.9780066119117273,-29.53470287627337,-144.05089353177164,733,1,1068
0.001,0.001,strength,2477,0.45094872830036337,0.9726138758057948,-13.35363353801283,-65.46903293500712,1593,1,544
0.0005,0.001,spread,16905,0.4686187518485655,0.9704227774718256,-66.76008070710157,-123.41563339649164,16051,1,505
0.001,0.001,spread,2433,0.449239621866009,0.9599111685007365,-19.510298788373397,-60.45880998898784,1540,1,552
0.0005,0.0002,strength,2259,0.4630367419212041,0.9096335446974667,-125.6048532069226,-189.52547573653425,754,1,1056
0.0015,0.0005,strength,820,0.4317073170731707,0.8466860984917961,-29.231669398756697,-37.09287936621675,109,0,466
0.0015,0.001,strength,915,0.4262295081967213,0.8298386976630617,-34.68978981935811,-37.309398069085184,262,0,397
0.0015,0.001,spread,908,0.42180616740088106,0.8215320836850847,-36.38118093713827,-39.00078918686532,261,0,396
0.0015,0.0005,spread,822,0.4245742092457421,0.8154576655274233,-35.98843471123788,-39.575572892269435,110,0,467
0.0015,0.0002,strength,807,0.436183395291202,0.7529391622069462,-49.72441926960802,-52.44211790141885,58,1,494
0.0015,0.0002,spread,808,0.4282178217821782,0.7158888851728707,-58.536544035215655,-61.25424266702648,58,1,495
0.002,0.001,strength,535,0.41682242990654206,0.6532575397721783,-39.53698920424009,-43.33569031592813,86,0,279
0.002,0.001,spread,538,0.41821561338289964,0.6516013028232781,-40.256439033234074,-44.055140144922106,86,0,281
0.003,0.0002,strength,173,0.3815028901734104,0.6406318197374754,-10.542671324125195,-11.232972788095932,5,0,100
0.003,0.0002,spread,173,0.3815028901734104,0.6406318197374754,-10.542671324125193,-11.232972788095932,5,0,100
0.002,0.0005,spread,524,0.42938931297709926,0.6344534311231763,-41.12440306700971,-45.01270262759401,42,0,310
0.002,0.0005,strength,521,0.42610364683301344,0.6304420894648578,-41.23910833252317,-45.127407893107474,42,0,308
0.003,0.0005,spread,173,0.3815028901734104,0.6249822727682036,-11.277261502834424,-11.967562966805158,10,0,95
0.003,0.0005,strength,173,0.3815028901734104,0.6249822727682036,-11.277261502834424,-11.967562966805158,10,0,95
0.002,0.0002,spread,519,0.43545279383429675,0.617538599924201,-45.209396598435035,-49.09769615901934,25,1,320
0.002,0.0002,strength,516,0.4321705426356589,0.6135910346726174,-45.3241018639485,-49.21240142453281,25,1,318
0.003,0.001,spread,173,0.3699421965317919,0.5790178656467755,-13.425083502230837,-14.115384966201557,15,0,90
0.003,0.001,strength,173,0.3699421965317919,0.5725893389546688,-13.630088657070587,-14.320390121041306,15,0,90
