pair,東京 09-15_judge,東京 09-15_mean,東京 09-15_skew,東京 09-15_n,欧州 15-21_judge,欧州 15-21_mean,欧州 15-21_skew,欧州 15-21_n,NY   21-03_judge,NY   21-03_mean,NY   21-03_skew,NY   21-03_n,深夜 03-09_judge,深夜 03-09_mean,深夜 03-09_skew,深夜 03-09_n
USDJPY,─,-0.0,-2.471,19471,▲LONG,0.0044,7.364,19782,△long（弱）,0.0015,-0.635,19649,△long（弱）,0.0018,-2.008,18580
EURJPY,△long（弱）,0.0007,-2.281,19926,△long,0.0012,4.685,20410,─,-0.0001,-0.341,20088,△long（弱）,0.0046,-1.853,18802
GBPJPY,△long（弱）,0.0018,-1.971,19993,△long,0.0,5.065,20410,△long（弱）,0.0026,-0.465,20217,△long（弱）,0.004,-1.247,18968
AUDJPY,△long（弱）,0.0026,-1.358,19946,▲LONG,0.0021,6.963,20297,△long（弱）,0.001,-0.076,20236,△long（弱）,0.0022,-1.619,18986
NZDJPY,△long（弱）,0.0029,-0.92,20115,▲LONG,0.0039,1.532,20470,△long（弱）,0.0009,-0.367,20301,△long（弱）,0.002,-1.186,19084
CHFJPY,△long（弱）,0.0022,-1.844,19989,▲LONG,0.0031,0.508,20530,△long（弱）,0.003,-0.464,20298,△long（弱）,0.0057,-1.306,19085
GBPUSD,▲LONG,0.0023,0.375,20055,─,-0.0026,-0.669,20707,─,0.0002,0.232,20430,△long（弱）,0.0016,-0.112,18743
AUDUSD,▲LONG,0.0031,0.309,20001,─,-0.0028,-6.954,20406,─,-0.0018,0.289,20555,△long（弱）,0.0001,-0.83,18732
NZDUSD,─,0.0015,0.314,20019,─,-0.0029,-2.196,20464,─,-0.0001,0.211,20548,─,-0.0009,-1.098,18804
EURGBP,▲LONG,0.0009,0.585,19893,─,0.0027,0.158,20663,▽short（弱）,-0.0017,0.542,20619,▲LONG,0.003,1.975,19062
EURAUD,▽short（弱）,-0.0013,0.098,20531,─,0.001,5.304,21013,─,0.0008,-0.688,20688,▲LONG,0.0034,1.563,19743
AUDNZD,▲LONG,0.003,0.49,20422,△long（弱）,0.0003,-0.279,20778,△long（弱）,0.0013,-0.273,20729,▲LONG,0.0037,0.203,19367
