,downrate,downrate,downrate,downrate,exkurt,exkurt,exkurt,exkurt,lefttail,lefttail,lefttail,lefttail,mean,mean,mean,mean,pval,pval,pval,pval,skew,skew,skew,skew
session,NY   21-03,東京 09-15,欧州 15-21,深夜 03-09,NY   21-03,東京 09-15,欧州 15-21,深夜 03-09,NY   21-03,東京 09-15,欧州 15-21,深夜 03-09,NY   21-03,東京 09-15,欧州 15-21,深夜 03-09,NY   21-03,東京 09-15,欧州 15-21,深夜 03-09,NY   21-03,東京 09-15,欧州 15-21,深夜 03-09
pair,,,,,,,,,,,,,,,,,,,,,,,,
AUDJPY,47.39573038149832,46.62087636618871,48.061289845790014,47.09786158221848,7.398817916295371,32.375408702714914,243.26210841444228,32.36884160483835,1.0664933672757388,1.0655423612283197,1.0688064168016413,1.0280172510961718,0.0010126540985171603,0.002615946625162091,0.002104817966865381,0.0021624171408863926,0.41392223120671157,0.060654155040834594,0.11899761924482988,0.03120701250240426,-0.07591407716219564,-1.3578656680333947,6.9631497281473935,-1.6188333561870027
AUDNZD,48.56963674079792,48.23229850161591,48.878621619020116,46.33655186657717,5.383953056337001,17.69126948692767,381.01808154003476,19.04904816807315,1.0012864339437937,0.9516458452363147,1.0001004356473242,0.918487848753555,0.0013316656903224026,0.002986309286433713,0.00034217525820685776,0.00373441865651527,0.003491554557298421,6.582295674705387e-07,0.6038377365300094,1.2918967976452292e-15,-0.27274938261314097,0.48991314343517417,-0.2785347907465713,0.2032158438060901
AUDUSD,49.934322549258084,47.997600119994,50.00490051945506,46.82895579756566,9.129042451890788,15.941389847827214,209.14786861859795,49.51146930947365,1.0407599125162188,0.9938921068255526,1.04914594675611,1.063887637637739,-0.0018275824234695141,0.0030526807703814317,-0.002813490904249844,9.002428440591743e-05,0.16330699170511742,0.0029899258704062666,0.014360022888349493,0.9249027057481332,0.28870336356761056,0.3089918936396435,-6.95370080253733,-0.8300473889998404
CHFJPY,47.69928071731205,47.69623292811046,48.09059912323429,45.85276395074666,10.734523411472596,61.89112721577345,16.6094856857126,73.564529428955,1.0038042255889448,1.0093750008779814,1.0163215012546618,0.9035345665934,0.0030151476729426497,0.0021623113301755224,0.0030668208545954275,0.0057212552360635235,0.001101697274105182,0.01800601212451042,0.002665542865341168,5.136707761785251e-15,-0.46372340553049235,-1.843805057966171,0.5081191622592296,-1.3063930385558673
EURAUD,49.395784996133024,51.166528663971555,49.9833436444106,47.768829458542264,15.575358914599505,10.527843631572454,157.31402088554677,69.08643177640364,0.9791439996341501,0.9849604428928881,0.9607625222480695,0.9024170700519653,0.0007597527042678393,-0.001345412986223996,0.0010133720817839661,0.003415328218844566,0.40667181341884806,0.08830084478569257,0.2713395524420782,3.8943896648712525e-09,-0.6882591963049974,0.09755635493191772,5.303555342728817,1.5628693078690268
EURGBP,51.02090305058441,48.363746041321065,49.673329139040796,46.02350225579687,13.11832315676281,20.435214794721457,8.400273988124987,65.75751829652484,1.0293993127071304,1.0215083452173797,0.9143000410579925,0.870488776658605,-0.001733288599671027,0.0009245693735106875,0.002690775073071519,0.003014089751671253,0.007060984347082299,0.010502228198523979,0.00018095476977727652,8.552992284388918e-18,0.5415478992585736,0.5854319071421763,0.1581717728533691,1.9749729049310405
EURJPY,47.57566706491438,47.781792632741144,48.118569328760415,46.1812573130518,8.982769215133592,56.963734500033155,146.58524345083566,56.44815149239145,1.0860664559084248,1.0206072386883622,1.054099303841146,0.9364130665347998,-0.00013577842573528681,0.0007142654880833773,0.0012239796571520093,0.004584286079689129,0.8993978876571469,0.5012238629420809,0.34055774890938717,5.280949075900359e-09,-0.3409194986961052,-2.2806403612560144,4.685338326800779,-1.8528781031597723
GBPJPY,47.039620121679775,47.19651878157355,48.64772170504655,46.53627161535217,7.704237121100769,55.705028042866736,140.56367744731705,34.405784163938606,1.0883298526809482,1.0190843815842763,1.0740138157609163,0.9693490926129087,0.0026190089020741956,0.0017701051448219755,3.336561576346242e-05,0.004028493607058347,0.01695834624610852,0.09539809425579929,0.9799625412093893,1.3476756188997784e-07,-0.46453093062949946,-1.9713147387410106,5.0649191263527955,-1.2466332674212492
GBPUSD,49.500734214390604,48.69608576414859,49.96378036412808,46.267940030944885,11.162446729303973,56.8363748518848,9.307710491628693,72.05982127554866,1.0195132943163876,0.9257164007098155,1.0517391626103887,1.0318232098855367,0.00017713001780267,0.0022999568076187064,-0.0025791721661874833,0.0016167145630442729,0.8705489206243897,9.560283569884061e-05,0.006787891666278768,0.009719813937527138,0.2315251843472045,0.37549012657382574,-0.6690478640542149,-0.11176624167604673
NZDJPY,48.50499975370671,47.80014914243102,48.06546165119687,46.929364913016144,9.51425064423305,28.429907908036725,45.17334946882344,20.934462142437795,1.012041885957903,1.0300859711388308,1.0403006337104477,1.02443927063061,0.0009116354908648272,0.002889075569889237,0.00385253505467164,0.0020297934861793023,0.42696139586940884,0.023212533798656308,0.000902002281426144,0.0368296895550925,-0.3671383006785632,-0.919775984381976,1.5321702925736203,-1.1857385039596293
NZDUSD,49.78586723768736,49.59788201208852,49.9120406567631,48.06955966815571,9.768932480936567,10.679672602887889,33.33221657168157,31.67438992533308,0.9975528564939196,0.9905307328011688,1.038972550468556,1.0727732909690086,-0.00013262729831448468,0.001503768439791177,-0.0028502825041149048,-0.0009062094725461361,0.9182077152337347,0.12067883401830012,0.00983350429789411,0.3337367646567413,0.2106582912409206,0.31441229947721944,-2.1963564203276364,-1.0984255193638204
USDJPY,47.127080258537326,47.799291253659284,47.366292589222525,48.41227125941873,16.867540832993303,55.66970779720585,237.8429139582179,75.88582663291996,1.0842453108929908,1.0176571819086946,1.0417402886898814,0.9941071124058684,0.0014781719327681211,-2.410414167409679e-05,0.004376276362665888,0.0017566212384927734,0.25368183354747365,0.9831619096922962,0.0005476259616639971,0.0413909578312978,-0.6348779368133649,-2.4713607075304633,7.3635214513585785,-2.0081147163741955
