pair,base,quote,session,horizon,group,n,mean,skew,kurt
USDJPY,USD,JPY,東京 09-15JST,1,全BreakDown,19467,0.0003189722575414643,-2.9146263444497618,251.31139245857304
USDJPY,USD,JPY,東京 09-15JST,1,Q10,2354,0.00026991373866144423,-2.0732339110610725,32.20360796200418
USDJPY,USD,JPY,東京 09-15JST,1,Q10+ac>0,880,-0.0004802814539973002,-2.6402692329926425,30.188052128652117
USDJPY,USD,JPY,東京 09-15JST,1,Q10+ac<0,1474,0.0007177914656218883,-1.5585440765991165,33.10235955522695
USDJPY,USD,JPY,東京 09-15JST,3,全BreakDown,19467,0.00011982901126647679,-3.5734196088859544,192.6423900480741
USDJPY,USD,JPY,東京 09-15JST,3,Q10,2354,-0.0007686684346588515,-1.571014369651728,27.585243266704975
USDJPY,USD,JPY,東京 09-15JST,3,Q10+ac>0,880,-0.00449796869434239,-3.333564773766923,37.69467792614285
USDJPY,USD,JPY,東京 09-15JST,3,Q10+ac<0,1474,0.0014577794815701251,0.025264061701218313,15.983361767207786
USDJPY,USD,JPY,東京 09-15JST,6,全BreakDown,19467,0.00035639435857725914,-2.578586902135294,84.4949027990957
USDJPY,USD,JPY,東京 09-15JST,6,Q10,2354,0.003288524741819672,-1.4888234756123073,23.655354632656366
USDJPY,USD,JPY,東京 09-15JST,6,Q10+ac>0,880,-0.005177470783272563,-3.130623255310376,28.265750707512787
USDJPY,USD,JPY,東京 09-15JST,6,Q10+ac<0,1474,0.008342850428441902,-0.041688169087618444,17.976781866546986
USDJPY,USD,JPY,東京 09-15JST,12,全BreakDown,19467,-2.4933540054402267e-05,-2.4710948108855186,55.65771329169707
USDJPY,USD,JPY,東京 09-15JST,12,Q10,2354,0.006842458140192088,-1.6029220778090276,17.931462363699804
USDJPY,USD,JPY,東京 09-15JST,12,Q10+ac>0,880,-0.002050096384343781,-2.1338335807616255,18.78550730477982
USDJPY,USD,JPY,東京 09-15JST,12,Q10+ac<0,1474,0.012151445916034398,-1.0133095813202309,15.445654542639385
USDJPY,USD,JPY,東京 09-15JST,24,全BreakDown,19467,0.0012187296956161656,2.2192533602212174,116.20227098170376
USDJPY,USD,JPY,東京 09-15JST,24,Q10,2354,0.009914755569388478,-1.0200780386978903,9.463252889069343
USDJPY,USD,JPY,東京 09-15JST,24,Q10+ac>0,880,-0.007202706185157996,-0.4416437432901292,2.4217837414401844
USDJPY,USD,JPY,東京 09-15JST,24,Q10+ac<0,1474,0.020134135721356524,-1.4406776811626656,15.347660502326463
USDJPY,USD,JPY,欧州 15-21JST,1,全BreakDown,19782,-3.4246765572301926e-06,-2.453741112459253,84.85577879715682
USDJPY,USD,JPY,欧州 15-21JST,1,Q10,2639,-0.0005386276865928267,0.02430247030071786,11.191938629258797
USDJPY,USD,JPY,欧州 15-21JST,1,Q10+ac>0,1044,-0.0003309424314195998,-0.605573128488413,4.015359480167881
USDJPY,USD,JPY,欧州 15-21JST,1,Q10+ac<0,1595,-0.000674567126342575,0.4693891545565695,16.39534247817355
