q_ext,ac_min,n,win_rate,pf,total_pnl,max_dd,dd_pct
0.04,0.0,10939,36.90465307614956,0.8582,-399.56,524.14,524.14
0.04,0.05,9550,36.439790575916234,0.8386,-400.84,491.34,491.34
0.04,0.1,8168,36.54505386875612,0.8525,-312.88,398.65,398.65
0.04,0.15,6879,36.255269661287976,0.837,-293.87,360.42,360.42
0.04,0.2,5723,36.274681111305256,0.8378,-243.63,298.73,298.73
0.05,0.0,13620,36.40969162995595,0.8414,-562.99,687.25,687.25
0.05,0.05,11894,35.94249201277955,0.8261,-544.02,641.99,641.99
0.05,0.1,10188,36.00314095013742,0.8361,-439.98,539.63,539.63
0.05,0.15,8610,35.64459930313589,0.8267,-397.55,466.06,466.06
0.05,0.2,7143,35.55928881422371,0.821,-341.68,397.49,397.49
0.07,0.0,18740,36.45144076840982,0.817,-907.94,1052.71,1052.71
0.07,0.05,16422,36.09182803556205,0.8029,-862.81,985.2,985.2
0.07,0.1,14100,36.00709219858156,0.8056,-733.17,849.69,849.69
0.07,0.15,11893,35.60918187168923,0.7954,-657.74,718.68,718.68
0.07,0.2,9854,35.35620052770449,0.783,-581.07,622.77,622.77
0.1,0.0,26163,36.07766693422008,0.7901,-1488.42,1652.78,1652.78
0.1,0.05,22932,35.67067852782139,0.7714,-1431.21,1548.22,1548.22
0.1,0.1,19736,35.61005269558168,0.7706,-1239.64,1357.46,1357.46
0.1,0.15,16683,35.22148294671222,0.7636,-1089.74,1154.81,1154.81
0.1,0.2,13759,35.14790319063886,0.754,-937.45,983.34,983.34
