n,pairs,is_n,is_wr,is_pf,is_pnl_m,is_dd,oos_n,oos_wr,oos_pf,oos_pnl_m,oos_dd
1,EURJPY,2606,41.09746738296239,1.1646731807245525,93.29098731190865,22.341467538589256,1029,41.49659863945578,1.1142581983487063,25.897268057056074,15.09465704669973
2,EURJPY+AUDJPY,4107,41.076211346481614,1.16002511920481,146.48766371755124,25.815891641464667,1684,40.02375296912114,1.0648012561316413,25.2712020074198,34.99247226418286
3,EURJPY+AUDJPY+USDJPY,5354,40.530444527456105,1.1261246337304358,151.96171628199994,25.815891641464667,2361,40.11012282930962,1.0726158904952205,39.239107090082214,34.992472264182894
4,EURJPY+AUDJPY+USDJPY+AUDUSD,8072,39.95292368681863,1.082205541009868,152.13150385248406,58.124112979066425,3139,38.38802166294998,0.9444598525628732,-41.785493422170006,115.47440568687577
5,EURJPY+AUDJPY+USDJPY+AUDUSD+GBPJPY,9138,39.91026482818998,1.0709781758737646,149.70999013434493,58.124112979066425,3534,38.76627051499717,0.9833346617264151,-14.038787849994637,115.47440568687568
6,EURJPY+AUDJPY+USDJPY+AUDUSD+GBPJPY+GBPUSD,11817,39.64627231953964,1.0507861526936433,139.70391176723723,58.124112979066425,4222,38.702036949313126,1.0051829297544383,5.25633274124182,96.17928509563922
7,EURJPY+AUDJPY+USDJPY+AUDUSD+GBPJPY+GBPUSD+EURAUD,14340,38.96792189679219,0.9995134171707714,-1.6488722719847224,186.42278972069082,4749,38.38702884817856,0.971113054188778,-33.281130939202114,135.0062451500178
8,EURJPY+AUDJPY+USDJPY+AUDUSD+GBPJPY+GBPUSD+EURAUD+NZDJPY,15145,38.851105975569496,0.9836376158742562,-59.32698190650649,227.93162035798034,5040,38.01587301587301,0.9376996780408822,-77.80576111188223,179.53087532269797
9,EURJPY+AUDJPY+USDJPY+AUDUSD+GBPJPY+GBPUSD+EURAUD+NZDJPY+EURGBP,19198,38.03521200125013,0.9298633291965356,-329.23753211388834,497.84217056536215,6018,37.47092057161848,0.8903584490467454,-167.73901524466763,269.4641294554836
10,EURJPY+AUDJPY+USDJPY+AUDUSD+GBPJPY+GBPUSD+EURAUD+NZDJPY+EURGBP+NZDUSD,22717,37.39050050622881,0.891921760095222,-620.4988761683929,789.1035146198643,7030,36.62873399715505,0.8277355646537912,-319.95580406969765,421.68091828051325
11,EURJPY+AUDJPY+USDJPY+AUDUSD+GBPJPY+GBPUSD+EURAUD+NZDJPY+EURGBP+NZDUSD+CHFJPY,24816,37.121212121212125,0.87390140939446,-799.5246485505875,968.1292870020617,7864,36.673448626653105,0.8306252289034337,-351.2159008422566,452.94101505307174
12,EURJPY+AUDJPY+USDJPY+AUDUSD+GBPJPY+GBPUSD+EURAUD+NZDJPY+EURGBP+NZDUSD+CHFJPY+AUDNZD,28649,35.83371147334986,0.7785565224700567,-1736.9495214813226,1898.502984104513,8914,35.20305137985192,0.7383301155372403,-664.6199259792959,783.3891533500876
