pair,q,ac_min,is_n,is_wr,is_pf,is_pnl_m,is_dd
AUDJPY,0.03,0.0,417,43.645083932853716,1.4968324803022288,45.512553871580636,16.969138614154865
AUDJPY,0.03,0.05,347,42.65129682997118,1.4106142413540292,32.35942390374986,13.508214780806727
AUDJPY,0.03,0.1,292,40.06849315068493,1.2668529750317736,18.961765361013345,13.073122349942803
AUDJPY,0.03,0.15,231,38.095238095238095,1.1120073032521174,6.444740935602282,13.437630060889399
AUDJPY,0.03,0.2,184,36.95652173913043,1.1448903400742487,6.769699143080028,12.330455694245664
AUDJPY,0.04,0.0,575,42.08695652173913,1.3371019880573234,43.88002729179612,16.97256589568742
AUDJPY,0.04,0.05,485,41.03092783505154,1.2691635445532845,30.47250646701025,14.186124443817022
AUDJPY,0.04,0.1,406,38.669950738916256,1.1571233504128886,15.626120061703922,14.15435310108413
AUDJPY,0.04,0.15,317,38.170347003154575,1.0617351531983492,4.729603273170108,17.28403881869492
AUDJPY,0.04,0.2,251,35.85657370517929,1.0143864094733523,0.9048291396317465,14.617791668602617
AUDJPY,0.05,0.0,738,42.140921409214094,1.2463685038218302,40.94861938949545,16.143077787964895
AUDJPY,0.05,0.05,622,40.67524115755627,1.1936895341371456,27.887249807113136,14.426606779110385
AUDJPY,0.05,0.1,522,39.08045977011494,1.107553306526574,13.459640374969768,14.068830601840071
AUDJPY,0.05,0.15,416,38.94230769230769,1.0486011137664026,4.789795667449934,13.106761724467061
AUDJPY,0.05,0.2,330,36.06060606060606,0.9774442214128963,-1.8615700667253656,14.532365047640292
AUDJPY,0.07,0.0,1051,42.150333016175075,1.2573275478345194,61.500319616027504,16.36479626172135
AUDJPY,0.07,0.05,885,41.35593220338983,1.225445478066575,45.94114086963515,14.135611324745328
AUDJPY,0.07,0.1,743,40.646029609690444,1.181536998077406,31.75538504734236,14.172643011344368
AUDJPY,0.07,0.15,583,39.96569468267582,1.073325830198755,10.116038480387271,15.590470285593591
AUDJPY,0.07,0.2,457,37.85557986870897,0.9877067032249129,-1.3776496967413645,16.167960165062862
AUDJPY,0.1,0.0,1463,41.01161995898838,1.1497548204831245,51.00936730221193,26.06126292509618
AUDJPY,0.1,0.05,1224,40.68627450980392,1.1211556822530842,34.6458869544896,22.358742894679654
AUDJPY,0.1,0.1,1016,40.452755905511815,1.1063655667694507,25.656083074017953,25.83617292045058
AUDJPY,0.1,0.15,792,40.53030303030303,1.0579260112559101,10.793609380663213,18.57489761451297
AUDJPY,0.1,0.2,606,37.95379537953795,0.9031212300512829,-14.453978614476195,20.241196291338184
