pair,q,ac_min,is_n,is_wr,is_pf,is_pnl_m,is_dd
EURJPY,0.03,0.0,810,39.876543209876544,1.1577412684623856,27.947507876904204,17.276135751155884
EURJPY,0.03,0.05,707,39.603960396039604,1.1540687014444628,24.08223739110995,12.054675167039404
EURJPY,0.03,0.1,607,40.527182866556835,1.2427322179173557,32.128879585372864,10.730806326701154
EURJPY,0.03,0.15,519,39.30635838150289,1.1240032747899922,14.518036672078422,13.831874645406387
EURJPY,0.03,0.2,443,40.18058690744921,1.12537860789908,12.418857037242748,11.371037858465579
EURJPY,0.04,0.0,1114,40.66427289048474,1.161712219162814,38.060404820079256,20.859587498824574
EURJPY,0.04,0.05,972,40.534979423868315,1.1448963837917376,29.985930061711382,17.137524619108095
EURJPY,0.04,0.1,838,40.930787589498806,1.1967951068921074,34.940189411172575,12.895237639458617
EURJPY,0.04,0.15,710,39.718309859154935,1.1236096324483245,19.197963055610035,20.71782156140921
EURJPY,0.04,0.2,605,40.49586776859504,1.1103186459618506,14.505499846964172,16.60707972420378
EURJPY,0.05,0.0,1380,40.43478260869565,1.1431671001804875,42.54053837768536,23.886029602207905
EURJPY,0.05,0.05,1211,40.54500412881916,1.1381644268586377,36.202744463276346,15.862162183633425
EURJPY,0.05,0.1,1041,41.01825168107589,1.1867426650210615,41.85669249814813,15.581138410273935
EURJPY,0.05,0.15,873,39.63344788087056,1.1249598663837284,24.07781836047392,15.909139518394145
EURJPY,0.05,0.2,741,40.21592442645074,1.1026322192619595,16.753230841504195,13.304605090795832
EURJPY,0.07,0.0,1879,40.60670569451836,1.1549279806828228,63.59538143472846,24.864652489488932
EURJPY,0.07,0.05,1664,40.80528846153847,1.1627135665905994,59.31135714722008,20.45101800446175
EURJPY,0.07,0.1,1440,40.69444444444444,1.1685983306058862,53.46617135330094,23.40784822302875
EURJPY,0.07,0.15,1204,39.70099667774086,1.0979352307341534,26.433950691147057,21.138707647900763
EURJPY,0.07,0.2,1021,39.66699314397649,1.0730954907635142,16.808020727281615,17.434226265236234
EURJPY,0.1,0.0,2576,41.18788819875777,1.1698465035396062,94.92878961930221,22.660720816369327
EURJPY,0.1,0.05,2246,41.095280498664295,1.1558275259132778,76.26465613806556,22.27262425252485
EURJPY,0.1,0.1,1938,40.81527347781218,1.1399287305939483,59.58191663067242,24.27174271680568
EURJPY,0.1,0.15,1616,39.975247524752476,1.079045717658527,28.468644155367617,19.34090468004283
EURJPY,0.1,0.2,1358,39.91163475699558,1.048718300162305,14.83033948802003,15.090196590389077
