pair,base,quote,session,judge,filter,mean,skew,n
USDJPY,USD,JPY,"東京
09-15JST",▼SHORT,Q10+ac>0,-0.005157819674633441,-3.125741715177335,880
USDJPY,USD,JPY,"欧州
15-21JST",▼SHORT,Q10+ac>0,-0.003204272920585396,-1.403905110776293,1044
USDJPY,USD,JPY,"NY
21-03JST",▽short,Q10+ac>0,-0.0012536225886819374,0.5673229849732693,1353
USDJPY,USD,JPY,"深夜
03-09JST",△long,Q10のみ,0.003256601541101476,,1150
EURJPY,EUR,JPY,"東京
09-15JST",△long,Q10+ac<0,0.0003070515487730853,-0.6329994272334433,1359
EURJPY,EUR,JPY,"欧州
15-21JST",▼SHORT,Q10+ac>0,-0.012854826501399805,-1.0000308004225014,1344
EURJPY,EUR,JPY,"NY
21-03JST",▲LONG,Q10+ac<0,0.0010542993187960784,0.32346260908490976,2291
EURJPY,EUR,JPY,"深夜
03-09JST",△long,Q10+ac<0,0.0008388749268383599,-4.602462753040723,615
GBPJPY,GBP,JPY,"東京
09-15JST",△long,Q10+ac<0,0.00023565086243987994,-0.4944436454866319,1216
GBPJPY,GBP,JPY,"欧州
15-21JST",▼SHORT,Q10+ac>0,-0.007638801390962659,-0.4908054020251973,1461
GBPJPY,GBP,JPY,"NY
21-03JST",▽short,Q10+ac>0,-0.006444311921026429,0.9689508177480209,1294
GBPJPY,GBP,JPY,"深夜
03-09JST",▽short,Q10のみ,-0.0004709312214194629,,1133
AUDJPY,AUD,JPY,"東京
09-15JST",▼SHORT,Q10+ac>0,-0.004139550452335527,-3.1086961679067993,1051
AUDJPY,AUD,JPY,"欧州
15-21JST",▼SHORT,Q10+ac>0,-0.015586971279211596,-0.2108159766879275,1105
AUDJPY,AUD,JPY,"NY
21-03JST",▽short,Q10+ac>0,-0.008915057623464673,0.46551130845038663,1231
AUDJPY,AUD,JPY,"深夜
03-09JST",△long,Q10のみ,0.0006328789125932274,,1216
NZDJPY,NZD,JPY,"東京
09-15JST",△long,Q10のみ,0.003953859206650783,,2600
NZDJPY,NZD,JPY,"欧州
15-21JST",▼SHORT,Q10+ac>0,-0.008433125030435036,-0.5015945675195805,1096
NZDJPY,NZD,JPY,"NY
21-03JST",△long,Q10のみ,0.0017992225260133475,,3230
NZDJPY,NZD,JPY,"深夜
03-09JST",▽short,Q10+ac>0,-0.0013768251485702517,0.12572308177228886,582
CHFJPY,CHF,JPY,"東京
09-15JST",▼SHORT,Q10+ac>0,-0.004338913423946182,-0.9795490857919673,805
CHFJPY,CHF,JPY,"欧州
15-21JST",△long,Q10のみ,0.0009219109111841584,,3099
CHFJPY,CHF,JPY,"NY
21-03JST",▲LONG,Q10+ac<0,0.0019115639219146451,1.1566669884664427,2128
CHFJPY,CHF,JPY,"深夜
03-09JST",△long,Q10+ac<0,0.00042041193007359386,-4.824476973435101,761
GBPUSD,GBP,USD,"東京
09-15JST",△long,Q10+ac<0,0.005788226093866468,-0.12915452113593287,787
GBPUSD,GBP,USD,"欧州
15-21JST",▲LONG,Q10+ac<0,0.00133700860214429,0.4005387843617155,1860
GBPUSD,GBP,USD,"NY
21-03JST",▼SHORT,Q10+ac>0,-0.0031550011005335955,-0.2713491743895035,1507
GBPUSD,GBP,USD,"深夜
03-09JST",△long,Q10のみ,0.000705188525175556,,1383
AUDUSD,AUD,USD,"東京
09-15JST",△long,Q10+ac<0,0.001665306345332682,-0.21186018483883015,1311
AUDUSD,AUD,USD,"欧州
15-21JST",▼SHORT,Q10+ac>0,-0.005507571618804063,-0.3557868825128633,945
AUDUSD,AUD,USD,"NY
21-03JST",▲LONG,Q10+ac<0,0.0003937502020264146,0.39584382284848846,2551
AUDUSD,AUD,USD,"深夜
03-09JST",△long,Q10+ac<0,0.006442202995404369,-0.057108475688481354,749
NZDUSD,NZD,USD,"東京
09-15JST",▲LONG,Q10+ac<0,0.003814596597816029,1.3946473984287546,1409
NZDUSD,NZD,USD,"欧州
15-21JST",△long,Q10+ac<0,0.004260030260273198,-0.45772082708846895,1620
NZDUSD,NZD,USD,"NY
21-03JST",▲LONG,Q10+ac<0,0.0020332217100928972,0.3086695321764717,2576
NZDUSD,NZD,USD,"深夜
03-09JST",▼SHORT,Q10+ac>0,-0.005236402123061067,-1.4071405106590307,546
EURGBP,EUR,GBP,"東京
09-15JST",△long,Q10+ac<0,0.004426504128894413,-0.7644780933230648,661
EURGBP,EUR,GBP,"欧州
15-21JST",▲LONG,Q10+ac<0,0.006137172590796488,0.763079488019511,2217
EURGBP,EUR,GBP,"NY
21-03JST",▲LONG,Q10+ac<0,0.004613599146422414,1.4331297804284298,2814
EURGBP,EUR,GBP,"深夜
03-09JST",△long,Q10+ac<0,0.004736781507721149,-0.22989934738710394,685
EURAUD,EUR,AUD,"東京
09-15JST",△long,Q10のみ,0.00014290471841411993,,2376
EURAUD,EUR,AUD,"欧州
15-21JST",△long,Q10+ac<0,0.0023267632394230707,0.05281393457164171,1999
EURAUD,EUR,AUD,"NY
21-03JST",▲LONG,Q10+ac<0,0.0019399777269355322,0.5487368071655365,2426
EURAUD,EUR,AUD,"深夜
03-09JST",▲LONG,Q10+ac<0,0.009374630978960857,2.357584779221361,624
AUDNZD,AUD,NZD,"東京
09-15JST",▲LONG,Q10+ac<0,0.004499989366577572,0.5848652911459428,2046
AUDNZD,AUD,NZD,"欧州
15-21JST",▲LONG,Q10+ac<0,0.00370895328731253,0.8919034789146681,2048
AUDNZD,AUD,NZD,"NY
21-03JST",△long,Q10+ac<0,0.002866439679867475,-0.373783303074453,1843
AUDNZD,AUD,NZD,"深夜
03-09JST",▲LONG,Q10+ac<0,0.013111301428406228,1.5945827574736893,789
