pair,base,quote,session,全BreakDown_n,全BreakDown_mean,全BreakDown_skew,Q25_n,Q25_mean,Q25_skew,Q10_n,Q10_mean,Q10_skew,Q10+ac>0_n,Q10+ac>0_mean,Q10+ac>0_skew,Q10+ac<0_n,Q10+ac<0_mean,Q10+ac<0_skew
USDJPY,USD,JPY,"東京
09-15JST",19467,0.00033366001578729216,-2.409730068921786,6043,-2.2484307346737162e-05,-1.9625092572837277,2354,0.004189252839718565,-1.2530806022867453,880,-0.005157819674633441,-3.125741715177335,1474,0.009769594639331703,0.20957122565668235
USDJPY,USD,JPY,"欧州
15-21JST",19782,0.003134572513014039,14.23559404245209,6540,0.0010298374080799282,1.8182282738779985,2639,-0.00020918217783106143,0.09584554347418321,1044,-0.003204272920585396,-1.403905110776293,1595,0.001751240853789957,1.037876622282591
USDJPY,USD,JPY,"NY
21-03JST",19649,0.0014608220380706465,-0.46127117580989396,6803,0.00022398868473245116,-0.8356716611751374,3521,-0.0017349855323804911,-1.4490446026453914,1353,-0.0012536225886819374,0.5673229849732693,2168,-0.002035393310435907,-2.4138694291000165
USDJPY,USD,JPY,"深夜
03-09JST",18583,0.00021569691245158546,-3.8249750237624753,3901,0.001478644705693078,-2.366335188645923,1150,0.003256601541101476,-2.5692088019732484,430,0.009335344218423558,0.4048963413478394,720,-0.0003737586689658768,-3.658277290522285
EURJPY,EUR,JPY,"東京
09-15JST",19921,0.0008444447667380625,-1.6818826229365111,5890,0.0031211371681835174,-0.5571531561110131,2158,0.002642057541429862,-0.9519531466779186,799,0.006613613416299151,-1.3424833567541061,1359,0.0003070515487730853,-0.6329994272334433
EURJPY,EUR,JPY,"欧州
15-21JST",20410,0.0009925596227352256,7.255380390173003,6970,-0.0025330887310002024,-0.2938995842287442,3167,-0.007154332841165945,-0.29722610441485675,1344,-0.012854826501399805,-1.0000308004225014,1823,-0.0029516649973073,0.30221880562735476
EURJPY,EUR,JPY,"NY
21-03JST",20088,0.0003482023320319284,-0.6242978398570692,7309,0.0011624655894677133,0.4067437123566683,3557,0.0014991453594358519,0.6493685398802097,1266,0.0023041550585714953,1.137811765763123,2291,0.0010542993187960784,0.32346260908490976
EURJPY,EUR,JPY,"深夜
03-09JST",18805,0.0024017427681202615,-1.22395572418768,3587,0.004892890020714153,-2.5058705662289578,1001,0.005460327554914602,-3.2635881651125085,386,0.012823522804310686,-0.9075110389629296,615,0.0008388749268383599,-4.602462753040723
GBPJPY,GBP,JPY,"東京
09-15JST",19986,0.0017984048890699684,-1.3552381832412765,5662,0.0028475192343901164,-1.0680021093931271,1928,0.0016462515449277198,-1.5335751919034786,712,0.004055367317266507,-2.201391225523571,1216,0.00023565086243987994,-0.4944436454866319
GBPJPY,GBP,JPY,"欧州
15-21JST",20410,0.000984315015176882,8.276540327851642,7186,-0.0035028159528878835,0.10602885414291288,3397,-0.006919612383345644,0.006345888192655235,1461,-0.007638801390962659,-0.4908054020251973,1936,-0.006376877290304083,0.3540554880360227
GBPJPY,GBP,JPY,"NY
21-03JST",20217,0.0020698986662934663,-0.39811176463988146,7079,0.002401003655392466,0.298938556442872,3463,-0.0027078980989902615,0.31302772727277206,1294,-0.006444311921026429,0.9689508177480209,2169,-0.00047879736790921003,-0.17495589625834743
GBPJPY,GBP,JPY,"深夜
03-09JST",18972,0.002373420952749816,-1.1013536990640054,3952,0.0035101511353144055,-2.1169713891384885,1133,-0.0004709312214194629,-2.4122134999500924,463,0.0016628517560950443,-0.7059009387510647,670,-0.0019454708014033694,-3.61508826497913
AUDJPY,AUD,JPY,"東京
09-15JST",19938,0.0020981288455937724,-0.8179827054933164,6406,-0.0031206034446175333,-2.5963863208012232,2662,-0.007900227319304641,-2.279972344353149,1051,-0.004139550452335527,-3.1086961679067993,1611,-0.010353654623578094,-1.3015751768625508
AUDJPY,AUD,JPY,"欧州
15-21JST",20297,0.001691144690757305,9.50534033152237,6651,-0.00301639583436751,-1.950307183515232,2793,-0.006468228177224959,0.0696101427936731,1105,-0.015586971279211596,-0.2108159766879275,1688,-0.0004989087887799144,0.1799850098242819
