period,session,group,horizon,n,mean,median,skew,kurt,neg_rate
IS,東京 09-15JST,全ブレイク,1,13295,0.000476974228829919,0.0007139975652860265,-3.825450130612667,338.2548146018053,47.78488153441143
IS,東京 09-15JST,全ブレイク,3,13295,0.0005637911306786821,0.002001801621544311,-5.486614413422711,261.33493193672615,47.49905979691613
IS,東京 09-15JST,全ブレイク,6,13295,0.0012906614533057374,0.0035426027506202363,-2.550823729763869,102.39415119785187,47.09289206468597
IS,東京 09-15JST,全ブレイク,12,13295,0.0028033335881469364,0.004867118311263851,-2.0552971968983926,65.7767863445972,47.055283941331325
IS,東京 09-15JST,全ブレイク,24,13295,0.003727012695299767,0.009322427343072459,-2.123117107388076,46.10364363541026,46.280556600225644
IS,東京 09-15JST,強弱差大(Q25),1,4027,-0.0001565878684774171,0.0017497904626444186,-5.080999796792505,292.26445845685026,46.53588279115967
IS,東京 09-15JST,強弱差大(Q25),3,4027,-0.0006170662850225402,0.005778551463230508,-5.432523257305659,216.4868938944798,45.51775515271915
IS,東京 09-15JST,強弱差大(Q25),6,4027,0.0011347293094911236,0.007398939735324388,-2.3467414977040804,68.89186303774193,45.66674944127142
IS,東京 09-15JST,強弱差大(Q25),12,4027,0.004905115830017621,0.010961946145397743,-1.3161829814357209,38.241606725901505,45.14526943133846
IS,東京 09-15JST,強弱差大(Q25),24,4027,0.007019431849924324,0.017150248994341165,-0.8069419577132174,17.390779579099824,44.82244847280854
IS,東京 09-15JST,強弱差極大(Q10),1,1551,-0.00033148904533423476,0.0037267682587949318,-2.56687870173733,30.130799016351695,44.93874919406834
IS,東京 09-15JST,強弱差極大(Q10),3,1551,-0.00019371475239447143,0.007010539795978731,-0.9447182349194403,14.123107456196944,46.03481624758221
IS,東京 09-15JST,強弱差極大(Q10),6,1551,0.005322064206619354,0.009287170940922363,0.0261581371277841,7.45263848670611,45.71244358478401
IS,東京 09-15JST,強弱差極大(Q10),12,1551,0.01344954612540446,0.018011203016940473,-0.2895859465175011,4.120950187908013,43.133462282398455
IS,東京 09-15JST,強弱差極大(Q10),24,1551,0.01953548892043852,0.032124871540575244,-0.4394864366850028,3.247128420752076,42.23081882656351
IS,欧州 15-21JST,全ブレイク,1,13644,0.00023880480212418618,0.0008243482447922472,-0.008571142697037713,13.701056573270662,48.07241278217532
IS,欧州 15-21JST,全ブレイク,3,13644,0.0006558966539570106,0.002202227773771497,4.014654418003491,207.03112956539178,47.65464673116388
IS,欧州 15-21JST,全ブレイク,6,13644,0.0011464590590214447,0.003426230309576419,2.7520261316222783,99.47464484533401,47.56669598358253
IS,欧州 15-21JST,全ブレイク,12,13644,0.00028188067088718286,0.003942768345345663,1.7327750011029104,51.546585563008485,48.27030196423336
IS,欧州 15-21JST,全ブレイク,24,13644,0.004909535155775161,0.009509977137467965,1.2162403273893785,23.42963422295107,46.89973614775725
IS,欧州 15-21JST,強弱差大(Q25),1,4552,0.0001889838040333085,0.002192666964323146,0.028285672420605038,16.632428679605656,46.704745166959576
IS,欧州 15-21JST,強弱差大(Q25),3,4552,4.308945067803897e-05,0.004693659723053165,6.460407845446418,232.454219562943,46.748681898066785
IS,欧州 15-21JST,強弱差大(Q25),6,4552,-0.0007631646601808001,0.00508518138704254,2.135567662730466,74.78154171971283,47.10017574692443
IS,欧州 15-21JST,強弱差大(Q25),12,4552,-0.006461961828873781,0.004345433087477349,0.420561758788626,22.88721886961228,48.63796133567663
IS,欧州 15-21JST,強弱差大(Q25),24,4552,-0.002257778678162196,0.009104772897529359,1.2579603193863258,20.259649332712947,47.385764499121265
IS,欧州 15-21JST,強弱差極大(Q10),1,1767,-0.0003402706546213077,0.002039428959958637,0.3591173919344916,15.115800538326596,47.821165817770236
IS,欧州 15-21JST,強弱差極大(Q10),3,1767,-0.0017061977930603299,0.007187186686696102,-1.2962981171372279,12.667023287506725,46.29315223542728
IS,欧州 15-21JST,強弱差極大(Q10),6,1767,-0.0029789533403392432,0.008084058817863912,-1.1364497367846487,9.153242480957347,47.02886247877759
IS,欧州 15-21JST,強弱差極大(Q10),12,1767,-0.013222896225830288,0.004344662040295228,-0.9505577471084443,4.750569472296614,49.122807017543856
IS,欧州 15-21JST,強弱差極大(Q10),24,1767,-0.006725490056543649,0.009511823935969794,0.44042827479080404,13.473695956105715,47.481607243916244
IS,NY   21-03JST,全ブレイク,1,13671,0.0003475223674900732,0.0008678031995985643,-0.9459033366367858,73.28878068646554,47.88969351181333
IS,NY   21-03JST,全ブレイク,3,13671,0.0009352412724085362,0.00364069275141332,-0.018079515773862114,50.327278965232296,47.15821812596006
IS,NY   21-03JST,全ブレイク,6,13671,0.0014754693388374753,0.0052382303523827705,-0.7212993259542644,28.811453458461756,46.87294272547729
IS,NY   21-03JST,全ブレイク,12,13671,0.002903411264910863,0.008707577775046351,-0.8958743309670737,18.897184404635116,46.27313290907761
IS,NY   21-03JST,全ブレイク,24,13671,0.0029529695341865727,0.018275624585194754,-1.9001824086643544,21.89772836632367,44.00555921293248
IS,NY   21-03JST,強弱差大(Q25),1,4761,-0.00016417017216822778,0.0016326064153732503,-1.3401211778497613,75.23354310779266,47.6160470489393
IS,NY   21-03JST,強弱差大(Q25),3,4761,-0.0007686166534034446,0.004508214487758719,-0.6061678012101132,41.78161808045975,47.658055030455785
