pair,base,quote,condition,n,mean,std,skew,kurt,p5,p95,pval
USDJPY,USD,JPY,全期間,167873,0.01848599136110903,4.543096892455399,9.29936932040687,1324.2497334302484,-5.379100765443859,5.340176471629583,0.09548247767568745
USDJPY,USD,JPY,|強弱差|上位10%,16788,-0.022486973941056476,7.269388431441068,3.411396460060181,164.07078920593082,-9.698143100898232,8.94515744789089,0.6885779338032084
USDJPY,USD,JPY,|強弱差|上位5%,8394,-0.1077289713305653,7.892252583341616,-1.0000047330409236,19.55425929391152,-11.235420291201201,10.634382954887776,0.21114503437134377
USDJPY,USD,JPY,USD強,16788,0.009116197799816955,5.76145809996635,6.000940430274373,365.4516264111378,-7.196024047206585,7.470128166759103,0.8375694414560605
USDJPY,USD,JPY,JPY強,16788,0.014663021009543515,6.506273511593058,-0.012887332865198642,59.03854961842133,-9.185217437710989,7.960217078206364,0.770292887761637
EURJPY,EUR,JPY,全期間,167873,0.013029794446781491,4.289754779657443,7.586541092166969,993.0592885712346,-5.445784088713471,5.374907059096951,0.21331804401380097
EURJPY,EUR,JPY,|強弱差|上位10%,16788,0.04741566223459523,6.595290520328781,0.4575034972449469,47.108556011230725,-9.021785863487803,9.117746876907542,0.3516177225505094
EURJPY,EUR,JPY,|強弱差|上位5%,8394,-0.021746447458764008,7.535934117173619,0.14138070064378136,32.261572939524896,-10.740426380261159,10.273517187167164,0.7915024112049986
EURJPY,EUR,JPY,EUR強,16788,-0.006828156575262219,5.227894917284247,-0.7167949730584527,46.787202135488506,-7.096152173502191,7.5771483810280165,0.8656221206992952
EURJPY,EUR,JPY,JPY強,16787,-0.01657889076630637,6.089089102694823,0.6174506047444399,53.31561262898648,-8.753446567337207,7.839524776364143,0.7242743762559871
GBPJPY,GBP,JPY,全期間,167873,0.013922900352532746,4.4045115008356355,7.7868304669934885,900.0503785768728,-5.728391809962061,5.652339915101357,0.1952692121105181
GBPJPY,GBP,JPY,|強弱差|上位10%,16788,-0.020513481246270865,6.5944659504630785,0.8083474774672915,39.34857146074548,-9.422662598950662,9.105450418999657,0.6869252055027376
GBPJPY,GBP,JPY,|強弱差|上位5%,8394,-0.053073032898111806,7.687208766072782,0.9882103800356423,39.37403863042455,-11.10497072556313,10.47699281048543,0.5270742873474904
GBPJPY,GBP,JPY,GBP強,16788,-0.052496044375235223,5.169946435357636,-0.09298757644392197,26.138113616279373,-7.433963739582452,7.645079238000173,0.18832302798832712
GBPJPY,GBP,JPY,JPY強,16788,0.021900321407127436,6.103112057712372,0.8260221632793873,51.09453161513027,-9.114275431563257,8.082609212372255,0.6419890580569696
AUDJPY,AUD,JPY,全期間,167873,0.009038195588744939,5.140896690760327,7.111131717464292,995.0782798440986,-6.671383140211928,6.488610351192534,0.47132234198231693
AUDJPY,AUD,JPY,|強弱差|上位10%,16788,-0.0015636572259183062,7.432873766227235,1.2372188520450953,43.59322604663307,-10.820644472389844,10.427024953475698,0.9782554130218898
AUDJPY,AUD,JPY,|強弱差|上位5%,8394,-0.0751656081807915,8.34158576385476,0.1439129862223117,19.754334528991247,-12.410702978455461,11.984793494932948,0.40909820423898363
AUDJPY,AUD,JPY,AUD強,16788,-0.08443614493261467,5.833855276690526,-0.09232779700627075,17.28911449540243,-8.604811250650293,8.691274211997394,0.06077561396370421
AUDJPY,AUD,JPY,JPY強,16788,0.06503718788924093,7.011358918308558,1.141636614409483,55.038145812077396,-10.218844042522397,9.323101121903077,0.22944307244308026
NZDJPY,NZD,JPY,全期間,167873,0.006554658006522766,4.739369633305738,0.6322440976843788,170.56652184149917,-6.476770197776138,6.320501878780636,0.5709494791843887
NZDJPY,NZD,JPY,|強弱差|上位10%,16788,0.022155080716667514,7.0408783395154,0.21345376344334296,33.57046584410794,-10.206077656632612,9.832532219287543,0.6835044231410682
NZDJPY,NZD,JPY,|強弱差|上位5%,8394,0.005155169236386399,8.10761612374997,0.4663266007777824,31.558277033330775,-11.513221267198604,11.250871404121185,0.9535495527007533
NZDJPY,NZD,JPY,NZD強,16788,-0.09923828633145947,5.7051500522094205,-0.1430695508326375,23.36819355794103,-8.191109240460072,8.223803239612515,0.024227035111691605
NZDJPY,NZD,JPY,JPY強,16788,0.16425714623680915,6.661414523215026,1.6072992032329994,68.64532606724204,-9.340969500516886,8.971494332406506,0.0014018397205319548
CHFJPY,CHF,JPY,全期間,167873,0.018909290551207134,3.8003765377041927,0.5328697752117628,155.44138973682553,-5.08556296675936,5.06580329532326,0.041488847220586655
CHFJPY,CHF,JPY,|強弱差|上位10%,16788,0.030376892852142175,5.9699273267155295,-0.2233738824061741,41.62378851743064,-7.974359349840601,8.01842951911678,0.5097338476131099
CHFJPY,CHF,JPY,|強弱差|上位5%,8394,-0.014737717680712978,7.0060081448391225,0.2157214687194445,34.91266035946363,-9.41463446375529,9.137722777414984,0.8471859042619883
CHFJPY,CHF,JPY,CHF強,16788,-0.055774964197533146,4.77763638820496,-0.8028221295041259,47.014021926489285,-6.695203870188429,6.816613432757956,0.1304101614906888
CHFJPY,CHF,JPY,JPY強,16788,0.0742162808288846,5.4758835767304905,0.2421837818768262,51.15526275372226,-7.471652196237608,7.196122987156534,0.079101799847984
GBPUSD,GBP,USD,全期間,167873,-0.004561387935726636,3.5235213424967755,-0.08674417683590538,153.56896669392867,-4.788868411592723,4.759013202242337,0.5958304850827809
GBPUSD,GBP,USD,|強弱差|上位10%,16788,-0.020782130649689094,5.379524837176415,0.7336804678006269,34.830744648112336,-7.9625982548241465,7.763359430861261,0.6167064012627538
GBPUSD,GBP,USD,|強弱差|上位5%,8394,-0.039135170393275985,5.834296787952744,-0.1898620472657852,6.449690160428727,-8.99290829944768,8.926377882972712,0.5388872029049575
GBPUSD,GBP,USD,GBP強,16788,-0.10817181004570567,4.647328602614119,1.3183323209322155,47.327918401147166,-6.777582339050788,6.786259119588777,0.002567166330408118
GBPUSD,GBP,USD,USD強,16788,0.0935683659341036,4.84935910028768,1.4557838680596253,63.66870171259961,-7.005788029693593,6.966450544266533,0.01243056401125222
AUDUSD,AUD,USD,全期間,167873,-0.00944812954228114,4.6684117113682095,-6.942346140986654,867.4026393262722,-6.129859888122067,6.042227119912936,0.406985372132544
AUDUSD,AUD,USD,|強弱差|上位10%,16788,-0.052901472016632055,7.478902860110291,-16.542333573489337,1154.4408176032664,-9.479677687392437,9.361540049053975,0.35943564032917835
AUDUSD,AUD,USD,|強弱差|上位5%,8394,-0.0231155379004545,7.159333069965664,-0.22869038554351223,12.949618458718014,-10.837749222001797,10.402202147083836,0.7673943652886498
AUDUSD,AUD,USD,AUD強,16788,-0.10501797988125877,5.871916558200961,0.9397099038923666,71.13700624555811,-8.148043596107334,8.2252066631378,0.020502829683478843
AUDUSD,AUD,USD,USD強,16788,0.06061068253912146,6.841177672093872,-21.219361655540155,1645.6433782815725,-8.40477668792598,8.257864296224557,0.25102533927820325
NZDUSD,NZD,USD,全期間,167873,-0.011922884292586651,4.553539224991039,-1.8535454472864992,190.5916708890566,-6.179641325483642,6.115908895670974,0.28335950438753327
NZDUSD,NZD,USD,|強弱差|上位10%,16788,-0.006896342440006629,6.409908510465115,1.376510288053786,49.64127039945843,-9.294708666688884,9.268779743640744,0.889138088346169
NZDUSD,NZD,USD,|強弱差|上位5%,8394,-0.07719728557694541,7.17672864886517,1.0011190605576423,36.49093206373887,-10.691247532946642,10.357544994036305,0.3244320195668299
NZDUSD,NZD,USD,NZD強,16788,-0.145126557591046,5.7312730003891925,0.8416449812936494,52.79151899281144,-8.270574764384614,8.067626782966553,0.0010371698973629384
NZDUSD,NZD,USD,USD強,16788,0.14688992122742744,5.982176290528414,-1.529777705765564,200.040633165214,-8.188840044597475,8.149359830581597,0.001468279252138569
EURGBP,EUR,GBP,全期間,167873,-0.0009048894910770113,2.3729486851922723,-0.07178808130881101,81.70548784398726,-3.3492578893886167,3.34739553517246,0.8758428737439622
EURGBP,EUR,GBP,|強弱差|上位10%,16788,0.036844510948974604,3.613605164780112,-0.29666058079582613,16.583806590917956,-5.427584116534876,5.529700040164752,0.18650332039442244
EURGBP,EUR,GBP,|強弱差|上位5%,8394,0.058625982730852844,4.079995114229629,0.02854588312379464,11.984906466799583,-6.098007481791702,6.163465359795758,0.1880745184125515
EURGBP,EUR,GBP,EUR強,16788,-0.07319166299435088,3.283243543718733,-0.26400258276392136,19.038647218897353,-4.922003978743852,4.850977556143306,0.0038780266853843683
EURGBP,EUR,GBP,GBP強,16788,0.1152459890423202,3.1730218612651915,-0.45352272958016937,17.95604972765516,-4.620869042567975,4.954089850520075,2.54810480251865e-06
EURAUD,EUR,AUD,全期間,167873,0.003977946339895444,3.5287510890497518,7.012016566579551,856.6077208051842,-4.764926872224049,4.792257486845948,0.6441695999083205
EURAUD,EUR,AUD,|強弱差|上位10%,16788,0.04416593003075467,4.703221565318503,1.1869999323110014,32.22349946569923,-7.016637832193453,7.060780176740173,0.22374083893361657
EURAUD,EUR,AUD,|強弱差|上位5%,8394,0.02305231053797797,5.089726339595938,0.3821981928211524,9.710029790511882,-7.768250374670139,7.780782060649482,0.6782010920500928
EURAUD,EUR,AUD,EUR強,16788,-0.05691017795607717,5.116913159708944,21.88106492661103,1630.8470239661794,-6.340961507767111,6.451593911682512,0.14959915236582955
EURAUD,EUR,AUD,AUD強,16788,0.0922207913355435,4.262582990215917,1.3810173146292823,48.612925191051005,-6.196486368346808,6.1618648256589434,0.005066801346268243
AUDNZD,AUD,NZD,全期間,167873,0.002471785089396494,2.476722122165169,2.6717356706938062,1816.3055726485125,-3.2115674855094745,3.2040272842114983,0.6826098071839396
AUDNZD,AUD,NZD,|強弱差|上位10%,16788,-0.013668389105391776,3.089346268043297,-0.6987096555119855,34.091976730123555,-4.4644610271033,4.420894078280096,0.5664891655769541
AUDNZD,AUD,NZD,|強弱差|上位5%,8394,-0.0071713482915569,3.4139487773409485,0.17720659333232375,23.46288944971779,-4.892382223204892,4.814041249626944,0.8473997618323157
AUDNZD,AUD,NZD,AUD強,16788,-0.17939451065090603,2.8971195042211058,-1.7526852343780652,59.01622892200138,-4.339775954372011,3.702850844012534,1.1007661923566384e-15
AUDNZD,AUD,NZD,NZD強,16788,0.19347760994722832,2.780522754818167,-0.03422942317740396,29.930446912665502,-3.7613494115265356,4.366784467637213,2.1664659743474783e-19
