type,row,col,pf,dd,pnl,n
ATR×Q,7.0,0.05,1.710664639987926,9.517395824492642,916395.4573968982,
ATR×Q,7.0,0.1,1.3794406830954435,15.676626960554602,1136625.1453829473,
ATR×Q,7.0,0.15,1.3638513192482455,17.540282179502302,1599938.1581042323,
ATR×Q,7.0,0.2,1.3719246758516574,17.267644171350124,2174172.050510318,
ATR×Q,7.0,0.25,1.3742863389302213,16.765136949242372,2700102.450916742,
ATR×Q,10.0,0.05,1.8073742956689944,8.792157513627991,1022796.7847669751,
ATR×Q,10.0,0.1,1.424592201116683,15.278467065667432,1266357.4266726663,
ATR×Q,10.0,0.15,1.3675193328074668,16.293218409014727,1621896.2136758724,
ATR×Q,10.0,0.2,1.3727993821104643,17.285672034975093,2174117.1509176698,
ATR×Q,10.0,0.25,1.3724305701633552,16.90883144152849,2684536.326549488,
ATR×Q,14.0,0.05,1.7074510238466707,8.246328861291719,888691.6398897889,
ATR×Q,14.0,0.1,1.3913290190407943,18.390054922693132,1167196.4800805794,
ATR×Q,14.0,0.15,1.367197179071785,19.277014155698264,1620097.546738341,
ATR×Q,14.0,0.2,1.3648560405452512,16.61303360361173,2135624.2887495314,
ATR×Q,14.0,0.25,1.3662003134443441,17.722239611445133,2645729.7065207986,
ATR×Q,20.0,0.05,1.686937653349161,9.445048306944955,873799.4254788728,
ATR×Q,20.0,0.1,1.3689935840736676,18.401475300502803,1110539.6848842113,
ATR×Q,20.0,0.15,1.3593516491086113,18.37940916472508,1602786.9681041534,
ATR×Q,20.0,0.2,1.3666972702330369,16.55451002342084,2162507.0079398444,
ATR×Q,20.0,0.25,1.3681701053125888,17.378720032669044,2675761.7539031403,
ATR×Q,28.0,0.05,1.671300944619267,7.822173058136948,895098.6382719268,
ATR×Q,28.0,0.1,1.4266783013413127,15.376982231893763,1312338.9965074863,
ATR×Q,28.0,0.15,1.4444728520853347,15.565610622550663,1996191.9856995367,
ATR×Q,28.0,0.2,1.4636617860136976,15.013844681481878,2740899.6169344564,
ATR×Q,28.0,0.25,1.4590960909656547,16.045905561430192,3349747.1288183196,
ACA×ACB,0.0,-0.1,1.5311168484699222,11.700921782724862,,1686.0
ACA×ACB,0.0,-0.05,1.5057902854510459,12.376578007703158,,1815.0
ACA×ACB,0.0,0.0,1.483271164260141,18.390054922693153,,1909.0
ACA×ACB,0.0,0.05,1.4589283069808296,18.64303251371272,,2001.0
ACA×ACB,0.0,0.1,1.459739015056515,18.928881665438762,,2067.0
ACA×ACB,0.05,-0.1,1.528668987061477,11.70092178272492,,1523.0
ACA×ACB,0.05,-0.05,1.5010366829806698,12.376578007703158,,1652.0
ACA×ACB,0.05,0.0,1.4767026445121207,18.390054922693153,,1746.0
ACA×ACB,0.05,0.05,1.4505418617512715,18.64303251371272,,1838.0
ACA×ACB,0.05,0.1,1.4517128680568772,18.928881665438762,,1904.0
ACA×ACB,0.1,-0.1,1.4605357403179233,11.70092178272492,,1393.0
ACA×ACB,0.1,-0.05,1.4372173822177243,12.376578007703158,,1522.0
ACA×ACB,0.1,0.0,1.415350645808599,18.390054922693153,,1616.0
ACA×ACB,0.1,0.05,1.3908617777461467,18.643032513712743,,1708.0
ACA×ACB,0.1,0.1,1.3943055003270455,18.928881665438762,,1774.0
ACA×ACB,0.15,-0.1,1.4366387584349325,11.700921782724967,,1261.0
ACA×ACB,0.15,-0.05,1.4134942532105985,12.376578007703158,,1390.0
ACA×ACB,0.15,0.0,1.3913290190407943,18.390054922693132,,1484.0
ACA×ACB,0.15,0.05,1.366190639939507,18.643032513712743,,1576.0
ACA×ACB,0.15,0.1,1.370898501858875,18.928881665438784,,1642.0
ACA×ACB,0.2,-0.1,1.453088766172242,11.700921782724967,,1161.0
ACA×ACB,0.2,-0.05,1.4260254055898889,12.376578007703158,,1290.0
ACA×ACB,0.2,0.0,1.401054158469336,18.390054922693153,,1384.0
ACA×ACB,0.2,0.05,1.3733311794518352,18.64303251371272,,1476.0
ACA×ACB,0.2,0.1,1.378084633710409,18.928881665438784,,1542.0
ACA×ACB,0.25,-0.1,1.4522077189702893,11.700921782724949,,1053.0
ACA×ACB,0.25,-0.05,1.4227798014091575,12.376578007703147,,1182.0
ACA×ACB,0.25,0.0,1.3959862299313757,18.390054922693107,,1276.0
ACA×ACB,0.25,0.05,1.3664523318540358,18.643032513712733,,1368.0
ACA×ACB,0.25,0.1,1.3718759159390257,18.928881665438784,,1434.0
