signal_bar,entry_bar,entry_price,exit_price,pnl_yen,r_mult,hold_bars,direction,session,jst_hour,month,strategy
2022-01-04 16:00:00,2022-01-04 16:05:00,115.988,116.05907142857143,-5000.000000000071,-1.0000000000000142,1,short,NY   21-03JST,1,2022-01,戦略A 順張りショート
2022-01-06 02:00:00,2022-01-06 02:05:00,115.8875,115.84078571428572,-4999.999999999565,-0.9999999999999131,2,long,東京 09-15JST,11,2022-01,戦略B 逆張りロング
2022-01-06 02:05:00,2022-01-06 02:10:00,115.84100000000001,115.91857142857141,8444.790046652768,1.6889580093305536,19,long,東京 09-15JST,11,2022-01,戦略B 逆張りロング
2022-01-06 02:15:00,2022-01-06 02:20:00,115.88,115.91735714285713,3962.1212121197,0.79242424242394,17,long,東京 09-15JST,11,2022-01,戦略B 逆張りロング
2022-01-10 15:55:00,2022-01-10 18:00:00,115.092,115.14371428571428,-5000.000000000098,-1.0000000000000195,1,short,NY   21-03JST,0,2022-01,戦略A 順張りショート
2022-01-12 14:30:00,2022-01-12 14:35:00,115.1195,115.16978571428572,-2965.4591406911795,-0.5930918281382359,3,short,NY   21-03JST,23,2022-01,戦略A 順張りショート
2022-01-12 14:50:00,2022-01-12 14:55:00,115.0865,114.91282142857143,12527.047913446002,2.5054095826892,6,short,NY   21-03JST,23,2022-01,戦略A 順張りショート
2022-01-12 17:10:00,2022-01-12 17:15:00,114.59649999999999,114.59096428571428,537.8209576682327,0.10756419153364655,2,short,NY   21-03JST,2,2022-01,戦略A 順張りショート
2022-01-12 17:15:00,2022-01-12 17:20:00,114.574,114.56889285714286,533.1841909022388,0.10663683818044777,8,short,NY   21-03JST,2,2022-01,戦略A 順張りショート
2022-01-12 17:20:00,2022-01-12 17:25:00,114.55350000000001,114.56532142857142,-1333.6019339220802,-0.26672038678441606,7,short,NY   21-03JST,2,2022-01,戦略A 順張りショート
2022-01-12 17:30:00,2022-01-12 17:35:00,114.55950000000001,114.56471428571429,-596.4052287568708,-0.11928104575137416,5,short,NY   21-03JST,2,2022-01,戦略A 順張りショート
2022-01-12 17:35:00,2022-01-12 17:40:00,114.5615,114.56557142857143,-456.7307692316183,-0.09134615384632366,4,short,NY   21-03JST,2,2022-01,戦略A 順張りショート
2022-01-12 17:45:00,2022-01-12 17:50:00,114.5385,114.56589285714286,-3050.9148766907115,-0.6101829753381423,2,short,NY   21-03JST,2,2022-01,戦略A 順張りショート
2022-01-12 17:50:00,2022-01-12 17:55:00,114.53450000000001,114.57628571428572,-4999.999999999756,-0.9999999999999513,1,short,NY   21-03JST,2,2022-01,戦略A 順張りショート
2022-01-12 17:55:00,2022-01-12 18:00:00,114.5235,114.56428571428572,-5000.00000000087,-1.000000000000174,1,short,NY   21-03JST,2,2022-01,戦略A 順張りショート
2022-01-13 17:00:00,2022-01-13 17:05:00,114.05000000000001,114.04082142857143,1124.2344706919027,0.22484689413838055,6,short,NY   21-03JST,2,2022-01,戦略A 順張りショート
2022-01-13 17:25:00,2022-01-13 17:30:00,114.0155,114.04889285714286,-5000.000000000305,-1.0000000000000608,1,short,NY   21-03JST,2,2022-01,戦略A 順張りショート
2022-01-14 02:35:00,2022-01-14 02:40:00,113.77850000000001,113.78121428571428,264.62395543085046,0.05292479108617009,6,long,東京 09-15JST,11,2022-01,戦略B 逆張りロング
2022-01-14 02:50:00,2022-01-14 02:55:00,113.789,113.78607142857143,-315.38461538438327,-0.06307692307687665,2,long,東京 09-15JST,11,2022-01,戦略B 逆張りロング
2022-01-14 03:15:00,2022-01-14 03:20:00,113.7675,113.72282142857144,-4999.999999999546,-0.9999999999999092,1,long,東京 09-15JST,12,2022-01,戦略B 逆張りロング
2022-01-19 04:55:00,2022-01-19 05:00:00,114.37950000000001,114.34489285714287,-4261.213720316878,-0.8522427440633755,2,long,東京 09-15JST,13,2022-01,戦略B 逆張りロング
2022-01-19 05:00:00,2022-01-19 05:05:00,114.358,114.31753571428573,-4999.999999999748,-0.9999999999999496,1,long,東京 09-15JST,14,2022-01,戦略B 逆張りロング
2022-01-19 05:05:00,2022-01-19 05:10:00,114.3485,114.307,-5000.000000000245,-1.0000000000000488,1,long,東京 09-15JST,14,2022-01,戦略B 逆張りロング
2022-01-19 05:10:00,2022-01-19 05:15:00,114.334,114.29157142857143,-5000.000000000358,-1.0000000000000717,1,long,東京 09-15JST,14,2022-01,戦略B 逆張りロング
2022-01-19 05:15:00,2022-01-19 05:20:00,114.311,114.295,-1860.4651162798111,-0.3720930232559622,2,long,東京 09-15JST,14,2022-01,戦略B 逆張りロング
2022-01-19 05:20:00,2022-01-19 05:25:00,114.299,114.28771428571429,-1288.743882545512,-0.2577487765091024,2,long,東京 09-15JST,14,2022-01,戦略B 逆張りロング
2022-01-19 05:30:00,2022-01-19 05:35:00,114.285,114.25217857142857,-3832.3603002498958,-0.7664720600499791,2,long,東京 09-15JST,14,2022-01,戦略B 逆張りロング
2022-01-19 05:35:00,2022-01-19 05:40:00,114.292,114.24967857142857,-5000.0,-1.0,1,long,東京 09-15JST,14,2022-01,戦略B 逆張りロング
2022-01-19 05:40:00,2022-01-19 05:45:00,114.29400000000001,114.25217857142859,-4999.999999999636,-0.9999999999999273,1,long,東京 09-15JST,14,2022-01,戦略B 逆張りロング
2022-01-19 05:45:00,2022-01-19 05:50:00,114.219,114.23064285714285,1342.6688632623009,0.2685337726524602,2,long,東京 09-15JST,14,2022-01,戦略B 逆張りロング
2022-01-19 05:50:00,2022-01-19 05:55:00,114.249,114.2554642857143,725.7417802744021,0.1451483560548804,7,long,東京 09-15JST,14,2022-01,戦略B 逆張りロング
2022-01-19 16:10:00,2022-01-19 16:15:00,114.2705,114.26567857142858,453.32437877674295,0.0906648757553486,7,short,NY   21-03JST,1,2022-01,戦略A 順張りショート
2022-01-20 01:10:00,2022-01-20 01:15:00,114.1745,114.13110714285713,-5000.000000000702,-1.0000000000001403,1,long,東京 09-15JST,10,2022-01,戦略B 逆張りロング
2022-01-20 01:15:00,2022-01-20 01:20:00,114.0445,114.26417857142857,20794.45571332025,4.15889114266405,14,long,東京 09-15JST,10,2022-01,戦略B 逆張りロング
2022-01-20 13:45:00,2022-01-20 13:50:00,114.09049999999999,114.04092857142858,6366.972477062008,1.2733944954124015,3,short,NY   21-03JST,22,2022-01,戦略A 順張りショート
2022-01-20 13:50:00,2022-01-20 13:55:00,114.068,114.04167857142858,3316.8316831675124,0.6633663366335025,2,short,NY   21-03JST,22,2022-01,戦略A 順張りショート
2022-01-20 13:55:00,2022-01-20 14:00:00,114.054,114.06292857142857,-1064.7359454852972,-0.21294718909705943,2,short,NY   21-03JST,22,2022-01,戦略A 順張りショート
2022-01-20 14:00:00,2022-01-20 14:05:00,114.037,114.08189285714286,-5000.0,-1.0,1,short,NY   21-03JST,23,2022-01,戦略A 順張りショート
2022-01-21 00:10:00,2022-01-21 00:15:00,113.87299999999999,113.8695,-309.7345132732957,-0.06194690265465914,2,long,東京 09-15JST,9,2022-01,戦略B 逆張りロング
2022-01-21 00:50:00,2022-01-21 00:55:00,113.814,113.75328571428571,-4999.999999999749,-0.9999999999999498,3,long,東京 09-15JST,9,2022-01,戦略B 逆張りロング
2022-01-21 00:55:00,2022-01-21 01:00:00,113.8015,113.73875000000001,-4999.999999999514,-0.9999999999999029,2,long,東京 09-15JST,9,2022-01,戦略B 逆張りロング
2022-01-21 17:55:00,2022-01-21 18:00:00,113.644,113.68446428571428,-4999.999999999247,-0.9999999999998493,2,short,NY   21-03JST,2,2022-01,戦略A 順張りショート
2022-01-25 02:15:00,2022-01-25 02:20:00,113.7775,113.759,-2010.869565217708,-0.4021739130435416,4,long,東京 09-15JST,11,2022-01,戦略B 逆張りロング
2022-01-28 13:35:00,2022-01-28 13:40:00,115.32900000000001,115.3162142857143,1098.1595092022567,0.21963190184045134,2,short,NY   21-03JST,22,2022-01,戦略A 順張りショート
2022-01-28 13:40:00,2022-01-28 13:45:00,115.31549999999999,115.37882142857141,-4999.99999999984,-0.999999999999968,1,short,NY   21-03JST,22,2022-01,戦略A 順張りショート
2022-01-28 13:55:00,2022-01-28 14:00:00,115.32749999999999,115.39842857142855,-4999.999999999713,-0.9999999999999425,3,short,NY   21-03JST,22,2022-01,戦略A 順張りショート
2022-01-28 14:00:00,2022-01-28 14:05:00,115.348,115.40614285714287,-4086.3453815269445,-0.8172690763053889,2,short,NY   21-03JST,23,2022-01,戦略A 順張りショート
2022-01-28 14:25:00,2022-01-28 14:30:00,115.41550000000001,115.22335714285714,13369.78131212826,2.673956262425652,5,short,NY   21-03JST,23,2022-01,戦略A 順張りショート
2022-01-28 14:40:00,2022-01-28 14:45:00,115.30850000000001,115.22489285714285,5695.863746960119,1.1391727493920238,2,short,NY   21-03JST,23,2022-01,戦略A 順張りショート
2022-01-28 14:45:00,2022-01-28 14:50:00,115.2405,115.21871428571428,1645.0916936353556,0.3290183387270711,2,short,NY   21-03JST,23,2022-01,戦略A 順張りショート
