signal_bar,entry_bar,session,direction,pnl_yen,r_mult,held,period
2022-03-15 07:10:00,2022-03-15 07:15:00,"欧州
15-21JST",short,-5158.640226628969,-1.0317280453257938,1,IS
2022-03-15 08:20:00,2022-03-15 08:25:00,"欧州
15-21JST",short,-5121.898127992725,-1.024379625598545,1,IS
2022-03-28 11:15:00,2022-03-28 11:20:00,"欧州
15-21JST",short,-1604.0462427741666,-0.32080924855483334,3,IS
2022-03-28 11:20:00,2022-03-28 11:25:00,"欧州
15-21JST",short,-3318.991394836594,-0.6637982789673188,2,IS
2022-03-28 11:30:00,2022-03-28 11:35:00,"欧州
15-21JST",short,6916.908212560499,1.3833816425120997,10,IS
2022-03-29 00:15:00,2022-03-29 00:20:00,"東京
09-15JST",short,-5075.167785235125,-1.015033557047025,1,IS
2022-03-30 00:50:00,2022-03-30 00:55:00,"東京
09-15JST",short,14676.384059908902,2.9352768119817805,5,IS
2022-03-30 00:55:00,2022-03-30 01:00:00,"東京
09-15JST",short,12757.153905646188,2.5514307811292376,4,IS
2022-03-30 01:00:00,2022-03-30 01:05:00,"東京
09-15JST",short,9540.566959921942,1.9081133919843885,3,IS
2022-03-30 01:05:00,2022-03-30 01:10:00,"東京
09-15JST",short,8104.575163398764,1.6209150326797528,2,IS
2022-03-30 01:10:00,2022-03-30 01:15:00,"東京
09-15JST",short,2974.6835443044292,0.5949367088608859,2,IS
2022-03-30 01:15:00,2022-03-30 01:20:00,"東京
09-15JST",short,-5061.98804516272,-1.012397609032544,1,IS
2022-03-30 01:50:00,2022-03-30 01:55:00,"東京
09-15JST",short,7660.530821918176,1.5321061643836351,6,IS
2022-03-30 01:55:00,2022-03-30 02:00:00,"東京
09-15JST",short,6818.784530386956,1.3637569060773913,5,IS
2022-03-30 02:00:00,2022-03-30 02:05:00,"東京
09-15JST",short,5204.225352112462,1.0408450704224925,4,IS
2022-03-30 03:15:00,2022-03-30 03:20:00,"東京
09-15JST",short,-5059.30946833292,-1.011861893666584,1,IS
2022-03-31 06:25:00,2022-03-31 06:30:00,"欧州
15-21JST",short,20351.351351351153,4.070270270270231,9,IS
2022-03-31 06:55:00,2022-03-31 07:00:00,"欧州
15-21JST",short,5706.447187928784,1.1412894375857567,3,IS
2022-03-31 07:05:00,2022-03-31 07:10:00,"欧州
15-21JST",short,-3566.997518610534,-0.7133995037221068,2,IS
2022-03-31 07:10:00,2022-03-31 07:15:00,"欧州
15-21JST",short,-5092.105263157661,-1.0184210526315323,1,IS
2022-03-31 07:30:00,2022-03-31 07:35:00,"欧州
15-21JST",short,-5092.500825899903,-1.0185001651799805,1,IS
2022-03-31 07:50:00,2022-03-31 07:55:00,"欧州
15-21JST",short,-5092.745942364928,-1.0185491884729856,1,IS
2022-04-20 02:25:00,2022-04-20 02:30:00,"東京
09-15JST",short,-2617.1601771972814,-0.5234320354394563,5,IS
2022-04-20 03:10:00,2022-04-20 03:15:00,"東京
09-15JST",short,1580.2524797121744,0.3160504959424349,3,IS
2022-04-20 09:35:00,2022-04-20 09:40:00,"欧州
15-21JST",short,-5094.530722484806,-1.0189061444969612,1,IS
2022-04-20 10:00:00,2022-04-20 10:05:00,"欧州
15-21JST",short,13302.011210021763,2.6604022420043525,3,IS
2022-04-20 10:05:00,2022-04-20 10:10:00,"欧州
15-21JST",short,10802.78949075477,2.1605578981509543,2,IS
2022-04-20 10:10:00,2022-04-20 10:15:00,"欧州
15-21JST",short,-1517.3116089614473,-0.30346232179228944,2,IS
2022-04-20 10:15:00,2022-04-20 10:20:00,"欧州
15-21JST",short,-3649.1935483867883,-0.7298387096773576,2,IS
2022-04-22 06:00:00,2022-04-22 06:05:00,"欧州
15-21JST",short,-5100.68320747922,-1.020136641495844,1,IS
2022-05-02 00:15:00,2022-05-02 00:20:00,"東京
09-15JST",short,-5103.321033210331,-1.0206642066420661,1,IS
2022-05-12 06:20:00,2022-05-12 06:25:00,"欧州
15-21JST",short,-5132.0754716987785,-1.0264150943397556,1,IS
2022-05-12 07:20:00,2022-05-12 07:25:00,"欧州
15-21JST",short,9568.019093078576,1.9136038186157152,3,IS
2022-05-20 03:50:00,2022-05-20 03:55:00,"東京
09-15JST",short,-5128.617363344505,-1.025723472668901,1,IS
2022-05-23 02:40:00,2022-05-23 02:45:00,"東京
09-15JST",short,-102.99261562359277,-0.020598523124718555,3,IS
2022-06-10 05:45:00,2022-06-10 05:50:00,"東京
09-15JST",short,-2268.85245901564,-0.45377049180312795,3,IS
2022-06-10 07:25:00,2022-06-10 07:30:00,"欧州
15-21JST",short,-5084.925690021144,-1.0169851380042287,1,IS
2022-06-13 07:00:00,2022-06-13 07:05:00,"欧州
15-21JST",short,-2685.6026450241416,-0.5371205290048283,2,IS
2022-06-13 07:05:00,2022-06-13 07:10:00,"欧州
15-21JST",short,-5081.041968162008,-1.0162083936324016,2,IS
2022-06-16 08:50:00,2022-06-16 08:55:00,"欧州
15-21JST",short,3787.9444926271194,0.7575888985254239,2,IS
2022-06-16 08:55:00,2022-06-16 09:00:00,"欧州
15-21JST",short,8610.337972166684,1.7220675944333368,4,IS
2022-06-16 09:00:00,2022-06-16 09:05:00,"欧州
15-21JST",short,11166.789940828607,2.2333579881657215,3,IS
2022-07-01 02:30:00,2022-07-01 02:35:00,"東京
09-15JST",short,1162.7906976739364,0.23255813953478727,4,IS
2022-07-01 02:35:00,2022-07-01 02:40:00,"東京
09-15JST",short,295.0495049490029,0.05900990098980058,4,IS
2022-07-01 02:40:00,2022-07-01 02:45:00,"東京
09-15JST",short,-851.4421177402463,-0.17028842354804927,3,IS
2022-07-01 02:50:00,2022-07-01 02:55:00,"東京
09-15JST",short,-5109.161793371657,-1.0218323586743314,1,IS
2022-07-01 02:55:00,2022-07-01 03:00:00,"東京
09-15JST",short,6749.906120917571,1.349981224183514,5,IS
2022-07-01 03:05:00,2022-07-01 03:10:00,"東京
09-15JST",short,4338.565022421838,0.8677130044843676,3,IS
2022-07-01 03:15:00,2022-07-01 03:20:00,"東京
09-15JST",short,-2991.4984059506014,-0.5982996811901203,3,IS
2022-07-05 09:05:00,2022-07-05 09:10:00,"欧州
15-21JST",short,2204.889031841764,0.44097780636835276,5,IS
2022-07-05 09:30:00,2022-07-05 09:35:00,"欧州
15-21JST",short,-5095.595766472812,-1.0191191532945625,1,IS
2022-07-06 02:10:00,2022-07-06 02:15:00,"東京
09-15JST",short,-2610.132158590292,-0.5220264317180584,6,IS
2022-07-06 02:15:00,2022-07-06 02:20:00,"東京
09-15JST",short,-4100.1890359163135,-0.8200378071832627,5,IS
2022-07-19 10:55:00,2022-07-19 11:00:00,"欧州
15-21JST",short,-2834.422657952873,-0.5668845315905746,4,IS
2022-07-29 05:05:00,2022-07-29 05:10:00,"東京
09-15JST",short,5617.063137185296,1.1234126274370593,3,IS
2022-07-29 05:20:00,2022-07-29 05:25:00,"東京
09-15JST",short,-5080.668395275381,-1.0161336790550761,1,IS
2022-08-01 01:05:00,2022-08-01 01:10:00,"東京
09-15JST",short,19276.751481353673,3.8553502962707347,2,IS
2022-08-01 01:10:00,2022-08-01 01:15:00,"東京
09-15JST",short,3120.322394933696,0.6240644789867392,2,IS
2022-08-01 01:15:00,2022-08-01 01:20:00,"東京
09-15JST",short,-5073.471529781839,-1.0146943059563678,1,IS
2022-08-01 01:20:00,2022-08-01 01:25:00,"東京
09-15JST",short,-2715.6177156176427,-0.5431235431235285,2,IS
2022-08-01 01:45:00,2022-08-01 01:50:00,"東京
09-15JST",short,-579.5046322554267,-0.11590092645108534,6,IS
2022-08-03 02:45:00,2022-08-03 02:50:00,"東京
09-15JST",short,7361.702127658583,1.4723404255317165,2,IS
2022-08-03 02:50:00,2022-08-03 02:55:00,"東京
09-15JST",short,-5104.594695554721,-1.0209189391109441,1,IS
2022-08-03 04:00:00,2022-08-03 04:05:00,"東京
09-15JST",short,-5067.388688327112,-1.0134777376654223,1,IS
2022-08-24 09:05:00,2022-08-24 09:10:00,"欧州
15-21JST",short,-5129.930394431178,-1.0259860788862356,1,IS
2022-08-24 09:10:00,2022-08-24 09:15:00,"欧州
15-21JST",short,-5131.517144198504,-1.0263034288397008,1,IS
2022-09-09 03:40:00,2022-09-09 03:45:00,"東京
09-15JST",short,-5081.395348837051,-1.0162790697674102,1,IS
2022-09-09 04:10:00,2022-09-09 04:15:00,"東京
09-15JST",short,-5053.960300636071,-1.0107920601272142,1,IS
2022-09-12 08:00:00,2022-09-12 08:05:00,"欧州
15-21JST",short,-5075.0670241290645,-1.0150134048258128,1,IS
2022-09-14 04:35:00,2022-09-14 04:40:00,"東京
09-15JST",short,-5072.407551072887,-1.0144815102145774,1,IS
2022-09-14 07:55:00,2022-09-14 08:00:00,"欧州
15-21JST",short,8616.619452311865,1.7233238904623729,3,IS
2022-09-14 08:05:00,2022-09-14 08:10:00,"欧州
15-21JST",short,-5058.737151248161,-1.0117474302496323,1,IS
2022-11-11 08:45:00,2022-11-11 08:50:00,"欧州
15-21JST",short,7174.741426237443,1.4349482852474886,2,IS
2022-11-11 08:50:00,2022-11-11 08:55:00,"欧州
15-21JST",short,4040.3266972939255,0.8080653394587851,2,IS
2022-11-11 08:55:00,2022-11-11 09:00:00,"欧州
15-21JST",short,-3139.534883720025,-0.627906976744005,2,IS
2022-11-11 09:00:00,2022-11-11 09:05:00,"欧州
15-21JST",short,-5066.272189348843,-1.0132544378697688,1,IS
2022-11-11 09:15:00,2022-11-11 09:20:00,"欧州
15-21JST",short,46607.9632465543,9.32159264931086,17,IS
2022-11-11 09:20:00,2022-11-11 09:25:00,"欧州
15-21JST",short,46561.561561560644,9.312312312312129,17,IS
2022-11-11 09:30:00,2022-11-11 09:35:00,"欧州
15-21JST",short,43776.11940298473,8.755223880596946,15,IS
