combo,count
"AUDNZD_深夜
03-09JST",43
"AUDNZD_欧州
15-21JST",35
"GBPUSD_欧州
15-21JST",32
"EURGBP_欧州
15-21JST",31
"NZDUSD_東京
09-15JST",31
"EURJPY_NY
21-03JST",30
"NZDUSD_NY
21-03JST",30
"AUDNZD_東京
09-15JST",29
"EURGBP_NY
21-03JST",29
"AUDUSD_NY
21-03JST",29
"CHFJPY_NY
21-03JST",28
"EURAUD_深夜
03-09JST",26
"EURAUD_NY
21-03JST",24
"GBPUSD_NY
21-03JST",23
"AUDJPY_東京
09-15JST",21
"AUDUSD_欧州
15-21JST",21
"EURJPY_欧州
15-21JST",21
"NZDJPY_欧州
15-21JST",16
"GBPJPY_欧州
15-21JST",16
"NZDUSD_深夜
03-09JST",15
"AUDJPY_欧州
15-21JST",14
"USDJPY_欧州
15-21JST",14
"USDJPY_東京
09-15JST",13
"CHFJPY_東京
09-15JST",11
