pair,direction,signal_bar,entry_bar,pnl_yen,r_mult,held,session,combo,year_week
GBPUSD,short,2022-01-31 15:55:00,2022-01-31 16:00:00,-4620.467638088348,-0.9240935276176696,8,"NY
21-03JST","GBPUSD_NY
21-03JST",2022_05
GBPUSD,short,2022-01-31 16:00:00,2022-01-31 16:05:00,-1505.3929121719104,-0.301078582434382,7,"NY
21-03JST","GBPUSD_NY
21-03JST",2022_05
GBPUSD,short,2022-01-31 16:10:00,2022-01-31 16:15:00,-1979.199006518792,-0.3958398013037584,5,"NY
21-03JST","GBPUSD_NY
21-03JST",2022_05
GBPUSD,short,2022-01-31 16:20:00,2022-01-31 16:25:00,-2698.5677083336577,-0.5397135416667316,3,"NY
21-03JST","GBPUSD_NY
21-03JST",2022_05
GBPUSD,short,2022-01-31 16:25:00,2022-01-31 16:30:00,-4999.999999999848,-0.9999999999999696,2,"NY
21-03JST","GBPUSD_NY
21-03JST",2022_05
GBPUSD,short,2022-01-31 16:30:00,2022-01-31 16:35:00,-4999.999999999771,-0.999999999999954,3,"NY
21-03JST","GBPUSD_NY
21-03JST",2022_05
GBPUSD,short,2022-01-31 17:25:00,2022-01-31 17:30:00,3999.269539808746,0.7998539079617492,3,"NY
21-03JST","GBPUSD_NY
21-03JST",2022_05
GBPUSD,short,2022-01-31 17:30:00,2022-01-31 17:35:00,1296.296296296514,0.2592592592593027,2,"NY
21-03JST","GBPUSD_NY
21-03JST",2022_05
GBPUSD,short,2022-01-31 17:35:00,2022-01-31 17:40:00,-4999.999999999339,-0.9999999999998678,1,"NY
21-03JST","GBPUSD_NY
21-03JST",2022_05
EURGBP,long,2022-02-01 15:30:00,2022-02-01 15:35:00,-5000.000000000301,-1.0000000000000602,2,"NY
21-03JST","EURGBP_NY
21-03JST",2022_05
EURGBP,long,2022-02-01 15:40:00,2022-02-01 15:45:00,-1229.187071498477,-0.2458374142996954,2,"NY
21-03JST","EURGBP_NY
21-03JST",2022_05
EURGBP,long,2022-02-01 15:45:00,2022-02-01 15:50:00,-5000.00000000055,-1.00000000000011,1,"NY
21-03JST","EURGBP_NY
21-03JST",2022_05
EURGBP,long,2022-02-01 15:50:00,2022-02-01 15:55:00,-5000.000000000424,-1.0000000000000848,1,"NY
21-03JST","EURGBP_NY
21-03JST",2022_05
EURGBP,long,2022-02-01 15:55:00,2022-02-01 16:00:00,-1950.7575757580548,-0.3901515151516109,2,"NY
21-03JST","EURGBP_NY
21-03JST",2022_05
EURGBP,long,2022-02-01 16:05:00,2022-02-01 16:10:00,227.68670309842625,0.0455373406196852,5,"NY
21-03JST","EURGBP_NY
21-03JST",2022_05
EURGBP,long,2022-02-01 16:30:00,2022-02-01 16:35:00,-4999.999999999783,-0.9999999999999564,3,"NY
21-03JST","EURGBP_NY
21-03JST",2022_05
EURGBP,long,2022-02-01 16:35:00,2022-02-01 16:40:00,-4143.730886849285,-0.8287461773698569,2,"NY
21-03JST","EURGBP_NY
21-03JST",2022_05
EURGBP,long,2022-02-01 16:40:00,2022-02-01 16:45:00,-4999.999999999533,-0.9999999999999069,1,"NY
21-03JST","EURGBP_NY
21-03JST",2022_05
EURGBP,long,2022-02-01 16:50:00,2022-02-01 16:55:00,1018.42374616025,0.20368474923205,2,"NY
21-03JST","EURGBP_NY
21-03JST",2022_05
EURGBP,long,2022-02-01 16:55:00,2022-02-01 17:00:00,-3108.1081081090065,-0.6216216216218013,2,"NY
21-03JST","EURGBP_NY
21-03JST",2022_05
EURGBP,long,2022-02-01 17:05:00,2022-02-01 17:10:00,6087.470449172945,1.2174940898345892,7,"NY
21-03JST","EURGBP_NY
21-03JST",2022_05
EURGBP,long,2022-02-01 17:10:00,2022-02-01 17:15:00,8077.844311376905,1.615568862275381,6,"NY
21-03JST","EURGBP_NY
21-03JST",2022_05
EURGBP,long,2022-02-01 17:15:00,2022-02-01 17:20:00,11291.56010230146,2.258312020460292,5,"NY
21-03JST","EURGBP_NY
21-03JST",2022_05
EURGBP,long,2022-02-01 17:45:00,2022-02-01 17:50:00,975.6097560957484,0.1951219512191497,5,"NY
21-03JST","EURGBP_NY
21-03JST",2022_05
GBPUSD,short,2022-02-02 14:55:00,2022-02-02 15:00:00,-4999.999999999754,-0.9999999999999508,3,"NY
21-03JST","GBPUSD_NY
21-03JST",2022_05
NZDUSD,short,2022-02-02 23:35:00,2022-02-02 23:40:00,6323.529411765388,1.2647058823530777,3,"深夜
03-09JST","NZDUSD_深夜
03-09JST",2022_05
NZDUSD,short,2022-02-02 23:40:00,2022-02-02 23:45:00,4304.878048779374,0.8609756097558747,2,"深夜
03-09JST","NZDUSD_深夜
03-09JST",2022_05
NZDUSD,short,2022-02-02 23:45:00,2022-02-02 23:50:00,-4999.9999999997535,-0.9999999999999508,2,"深夜
03-09JST","NZDUSD_深夜
03-09JST",2022_05
AUDUSD,short,2022-02-03 11:20:00,2022-02-03 11:25:00,-2115.151515151793,-0.4230303030303585,2,"欧州
15-21JST","AUDUSD_欧州
15-21JST",2022_05
EURGBP,long,2022-02-03 12:10:00,2022-02-03 12:15:00,6046.817464491604,1.2093634928983208,3,"NY
21-03JST","EURGBP_NY
21-03JST",2022_05
EURGBP,long,2022-02-03 12:30:00,2022-02-03 12:35:00,2925.75406032401,0.585150812064802,2,"NY
21-03JST","EURGBP_NY
21-03JST",2022_05
EURGBP,long,2022-02-03 12:45:00,2022-02-03 12:50:00,8887.262079062893,1.7774524158125786,6,"NY
21-03JST","EURGBP_NY
21-03JST",2022_05
EURGBP,long,2022-02-03 13:20:00,2022-02-03 13:25:00,27690.92363054739,5.538184726109478,6,"NY
21-03JST","EURGBP_NY
21-03JST",2022_05
EURGBP,long,2022-02-03 13:25:00,2022-02-03 13:30:00,30379.482902418764,6.075896580483753,5,"NY
21-03JST","EURGBP_NY
21-03JST",2022_05
EURGBP,long,2022-02-03 13:30:00,2022-02-03 13:35:00,27495.791245790915,5.499158249158183,4,"NY
21-03JST","EURGBP_NY
21-03JST",2022_05
AUDUSD,short,2022-02-04 06:25:00,2022-02-04 06:30:00,5176.991150440388,1.0353982300880775,2,"欧州
15-21JST","AUDUSD_欧州
15-21JST",2022_05
AUDUSD,short,2022-02-04 06:30:00,2022-02-04 06:35:00,-4999.999999999614,-0.9999999999999228,1,"欧州
15-21JST","AUDUSD_欧州
15-21JST",2022_05
