pair,direction,signal_bar,entry_bar,pnl_yen,r_mult,held,session,combo,year_week
AUDJPY,short,2022-01-10 08:35:00,2022-01-10 08:40:00,-912.786400590714,-0.1825572801181428,2,"欧州
15-21JST","AUDJPY_欧州
15-21JST",2022_02
AUDJPY,short,2022-01-10 08:45:00,2022-01-10 08:50:00,-4999.999999999579,-0.9999999999999156,1,"欧州
15-21JST","AUDJPY_欧州
15-21JST",2022_02
GBPJPY,short,2022-01-10 10:00:00,2022-01-10 10:05:00,-5000.000000000333,-1.0000000000000666,1,"欧州
15-21JST","GBPJPY_欧州
15-21JST",2022_02
GBPUSD,short,2022-01-10 13:30:00,2022-01-10 13:35:00,22091.20788824919,4.418241577649838,9,"NY
21-03JST","GBPUSD_NY
21-03JST",2022_02
AUDNZD,long,2022-01-10 18:35:00,2022-01-10 18:40:00,1663.7554585178505,0.3327510917035701,8,"深夜
03-09JST","AUDNZD_深夜
03-09JST",2022_02
AUDJPY,short,2022-01-11 06:50:00,2022-01-11 06:55:00,-4999.999999999495,-0.9999999999998992,1,"欧州
15-21JST","AUDJPY_欧州
15-21JST",2022_02
GBPUSD,short,2022-01-11 13:40:00,2022-01-11 13:45:00,-4999.9999999998445,-0.9999999999999688,1,"NY
21-03JST","GBPUSD_NY
21-03JST",2022_02
NZDJPY,short,2022-01-12 08:35:00,2022-01-12 08:40:00,-5000.0000000001455,-1.000000000000029,1,"欧州
15-21JST","NZDJPY_欧州
15-21JST",2022_02
GBPUSD,short,2022-01-13 12:55:00,2022-01-13 13:00:00,-4999.999999999645,-0.9999999999999292,2,"NY
21-03JST","GBPUSD_NY
21-03JST",2022_02
GBPUSD,short,2022-01-13 13:15:00,2022-01-13 13:20:00,-659.6971881749242,-0.1319394376349848,2,"NY
21-03JST","GBPUSD_NY
21-03JST",2022_02
GBPUSD,short,2022-01-13 17:20:00,2022-01-13 17:25:00,-5000.000000001045,-1.000000000000209,1,"NY
21-03JST","GBPUSD_NY
21-03JST",2022_02
GBPUSD,short,2022-01-13 17:45:00,2022-01-13 17:50:00,-3701.612903225488,-0.7403225806450975,3,"NY
21-03JST","GBPUSD_NY
21-03JST",2022_02
AUDNZD,long,2022-01-17 02:10:00,2022-01-17 02:15:00,-3662.420382164672,-0.7324840764329343,3,"東京
09-15JST","AUDNZD_東京
09-15JST",2022_03
AUDNZD,long,2022-01-17 02:15:00,2022-01-17 02:20:00,-4037.5000000005807,-0.8075000000001161,2,"東京
09-15JST","AUDNZD_東京
09-15JST",2022_03
AUDNZD,long,2022-01-17 02:40:00,2022-01-17 02:45:00,3301.02622576718,0.6602052451534359,4,"東京
09-15JST","AUDNZD_東京
09-15JST",2022_03
AUDNZD,long,2022-01-17 03:30:00,2022-01-17 03:35:00,-2586.20689655379,-0.517241379310758,3,"東京
09-15JST","AUDNZD_東京
09-15JST",2022_03
AUDNZD,long,2022-01-17 03:35:00,2022-01-17 03:40:00,-2145.015105742879,-0.4290030211485757,2,"東京
09-15JST","AUDNZD_東京
09-15JST",2022_03
AUDNZD,long,2022-01-17 03:55:00,2022-01-17 04:00:00,-4524.617996600543,-0.9049235993201086,2,"東京
09-15JST","AUDNZD_東京
09-15JST",2022_03
EURGBP,long,2022-01-17 11:15:00,2022-01-17 11:20:00,3659.793814433916,0.7319587628867831,3,"欧州
15-21JST","EURGBP_欧州
15-21JST",2022_03
