week,top6_pf,top6_sc,n_pf,n_sc
2022_05,"CHFJPY_NY
21-03JST|EURJPY_NY
21-03JST|EURGBP_NY
21-03JST|AUDJPY_東京
09-15JST|AUDUSD_欧州
15-21JST|AUDNZD_東京
09-15JST","GBPJPY_欧州
15-21JST|EURGBP_NY
21-03JST|GBPUSD_NY
21-03JST|NZDUSD_深夜
03-09JST|NZDJPY_欧州
15-21JST|AUDUSD_欧州
15-21JST",62,52
2022_06,"EURAUD_深夜
03-09JST|CHFJPY_NY
21-03JST|AUDUSD_NY
21-03JST|EURGBP_NY
21-03JST","EURGBP_NY
21-03JST|CHFJPY_NY
21-03JST|AUDUSD_NY
21-03JST|AUDUSD_欧州
15-21JST|NZDUSD_深夜
03-09JST|EURJPY_NY
21-03JST",43,55
2022_07,"AUDUSD_NY
21-03JST|NZDUSD_NY
21-03JST|GBPJPY_欧州
15-21JST|GBPUSD_欧州
15-21JST","CHFJPY_NY
21-03JST|AUDUSD_NY
21-03JST|NZDUSD_NY
21-03JST|GBPJPY_欧州
15-21JST|EURGBP_NY
21-03JST|EURJPY_NY
21-03JST",35,60
2022_08,"EURAUD_深夜
03-09JST|NZDJPY_欧州
15-21JST|AUDNZD_欧州
15-21JST|EURJPY_NY
21-03JST|EURGBP_欧州
15-21JST","CHFJPY_NY
21-03JST|NZDJPY_欧州
15-21JST|AUDUSD_NY
21-03JST|EURGBP_NY
21-03JST|EURJPY_NY
21-03JST|NZDUSD_NY
21-03JST",15,20
2022_09,"AUDUSD_NY
21-03JST|AUDNZD_欧州
15-21JST|EURGBP_欧州
15-21JST","AUDUSD_NY
21-03JST|NZDUSD_NY
21-03JST|CHFJPY_NY
21-03JST|NZDJPY_欧州
15-21JST|EURAUD_深夜
03-09JST|EURGBP_NY
21-03JST",59,110
2022_10,"EURJPY_欧州
15-21JST|GBPUSD_欧州
15-21JST|AUDNZD_東京
09-15JST|NZDUSD_東京
09-15JST|EURGBP_欧州
15-21JST","AUDUSD_NY
21-03JST|NZDUSD_NY
21-03JST|NZDJPY_欧州
15-21JST|AUDNZD_欧州
15-21JST|EURJPY_欧州
15-21JST|EURGBP_欧州
15-21JST",69,157
2022_11,"NZDUSD_東京
09-15JST|GBPJPY_欧州
15-21JST|EURJPY_欧州
15-21JST|EURGBP_欧州
15-21JST|AUDJPY_東京
09-15JST","EURGBP_欧州
15-21JST|EURJPY_欧州
15-21JST|AUDJPY_東京
09-15JST|NZDJPY_欧州
15-21JST|NZDUSD_東京
09-15JST|EURAUD_深夜
03-09JST",59,55
2022_12,"AUDUSD_NY
21-03JST|AUDNZD_東京
09-15JST|AUDNZD_欧州
15-21JST","NZDUSD_東京
09-15JST|EURJPY_欧州
15-21JST|AUDNZD_東京
09-15JST|USDJPY_欧州
15-21JST|EURGBP_欧州
15-21JST|AUDJPY_東京
09-15JST",43,92
2022_13,"AUDUSD_NY
21-03JST|NZDUSD_NY
21-03JST|GBPUSD_NY
21-03JST|EURGBP_NY
21-03JST|EURAUD_深夜
03-09JST|GBPUSD_欧州
15-21JST","GBPUSD_NY
21-03JST|USDJPY_欧州
15-21JST|NZDUSD_東京
09-15JST|EURGBP_NY
21-03JST|EURJPY_欧州
15-21JST|NZDUSD_NY
21-03JST",109,105
2022_14,"AUDNZD_深夜
03-09JST|GBPJPY_欧州
15-21JST|EURGBP_NY
21-03JST|EURJPY_欧州
15-21JST|EURJPY_NY
21-03JST|AUDNZD_欧州
15-21JST","GBPUSD_NY
21-03JST|EURGBP_NY
21-03JST|USDJPY_欧州
15-21JST|EURJPY_NY
21-03JST|EURJPY_欧州
15-21JST|NZDUSD_東京
09-15JST",93,81
2022_15,"AUDNZD_深夜
03-09JST|EURAUD_深夜
03-09JST|GBPUSD_欧州
15-21JST|NZDJPY_欧州
15-21JST|USDJPY_東京
09-15JST","GBPUSD_NY
21-03JST|GBPUSD_欧州
15-21JST|USDJPY_欧州
15-21JST|EURAUD_深夜
03-09JST|NZDUSD_深夜
03-09JST|USDJPY_東京
09-15JST",16,18
2022_16,"AUDNZD_深夜
03-09JST|AUDNZD_東京
09-15JST|AUDNZD_欧州
15-21JST|EURJPY_NY
21-03JST","GBPUSD_欧州
15-21JST|GBPUSD_NY
21-03JST|EURJPY_NY
21-03JST|USDJPY_欧州
15-21JST|AUDNZD_深夜
03-09JST|GBPJPY_欧州
15-21JST",62,82
2022_17,"EURAUD_NY
21-03JST|AUDUSD_欧州
15-21JST|EURGBP_NY
21-03JST|EURJPY_NY
21-03JST|AUDJPY_東京
09-15JST|NZDUSD_深夜
03-09JST","GBPUSD_欧州
15-21JST|EURJPY_NY
21-03JST|GBPJPY_欧州
15-21JST|CHFJPY_東京
09-15JST|NZDUSD_深夜
03-09JST|GBPUSD_NY
21-03JST",124,130
2022_18,"GBPJPY_欧州
15-21JST|GBPUSD_NY
21-03JST|CHFJPY_東京
09-15JST|EURJPY_欧州
15-21JST|EURGBP_欧州
15-21JST|AUDNZD_欧州
15-21JST","GBPUSD_NY
21-03JST|GBPJPY_欧州
15-21JST|GBPUSD_欧州
15-21JST|CHFJPY_東京
09-15JST|EURJPY_欧州
15-21JST|EURGBP_欧州
15-21JST",86,84
2022_19,"AUDJPY_東京
09-15JST|EURAUD_NY
21-03JST|AUDNZD_深夜
03-09JST|EURJPY_NY
21-03JST","CHFJPY_東京
09-15JST|EURJPY_NY
21-03JST|EURJPY_欧州
15-21JST|GBPJPY_欧州
15-21JST|AUDNZD_東京
09-15JST|AUDJPY_東京
09-15JST",79,106
2022_20,"AUDUSD_欧州
15-21JST|GBPUSD_欧州
15-21JST|AUDNZD_欧州
15-21JST|AUDNZD_深夜
03-09JST|EURAUD_NY
21-03JST|EURJPY_欧州
15-21JST","EURAUD_NY
21-03JST|GBPUSD_欧州
15-21JST|CHFJPY_東京
09-15JST|EURJPY_欧州
15-21JST|AUDUSD_欧州
15-21JST|EURGBP_NY
21-03JST",91,81
2022_21,"AUDJPY_東京
09-15JST|EURGBP_NY
21-03JST|NZDUSD_NY
21-03JST|USDJPY_欧州
15-21JST|AUDNZD_東京
09-15JST","EURJPY_欧州
15-21JST|EURAUD_NY
21-03JST|AUDJPY_東京
09-15JST|CHFJPY_東京
09-15JST|EURGBP_NY
21-03JST|GBPUSD_欧州
15-21JST",81,101
2022_22,"AUDNZD_深夜
03-09JST|NZDUSD_深夜
03-09JST|USDJPY_欧州
15-21JST|EURJPY_NY
21-03JST|CHFJPY_NY
21-03JST|NZDUSD_東京
09-15JST","AUDNZD_深夜
03-09JST|EURAUD_NY
21-03JST|EURJPY_欧州
15-21JST|EURJPY_NY
21-03JST|NZDUSD_東京
09-15JST|AUDNZD_東京
09-15JST",21,50
2022_23,"AUDUSD_NY
21-03JST|EURAUD_NY
21-03JST","NZDUSD_東京
09-15JST|GBPUSD_欧州
15-21JST|EURAUD_NY
21-03JST|AUDUSD_欧州
15-21JST|EURJPY_欧州
15-21JST|EURJPY_NY
21-03JST",71,114
2022_24,"EURJPY_NY
21-03JST|GBPUSD_欧州
15-21JST|AUDNZD_欧州
15-21JST|CHFJPY_NY
21-03JST|AUDNZD_深夜
03-09JST|AUDUSD_NY
21-03JST","EURJPY_NY
21-03JST|NZDUSD_東京
09-15JST|NZDUSD_NY
21-03JST|CHFJPY_NY
21-03JST|AUDJPY_東京
09-15JST|AUDUSD_NY
21-03JST",210,208
2022_25,"AUDUSD_欧州
15-21JST|NZDJPY_欧州
15-21JST|AUDJPY_東京
09-15JST|AUDJPY_欧州
15-21JST|EURGBP_NY
21-03JST|GBPUSD_NY
21-03JST","AUDUSD_欧州
15-21JST|NZDJPY_欧州
15-21JST|AUDJPY_欧州
15-21JST|NZDUSD_NY
21-03JST|GBPJPY_欧州
15-21JST|AUDUSD_NY
21-03JST",55,39
2022_26,"EURJPY_NY
21-03JST|NZDUSD_NY
21-03JST|AUDUSD_NY
21-03JST|AUDJPY_東京
09-15JST|EURJPY_欧州
15-21JST","NZDUSD_NY
21-03JST|AUDUSD_NY
21-03JST|AUDUSD_欧州
15-21JST|NZDJPY_欧州
15-21JST|AUDJPY_欧州
15-21JST|EURJPY_NY
21-03JST",134,132
2022_27,"AUDNZD_深夜
03-09JST|EURAUD_深夜
03-09JST|AUDUSD_NY
21-03JST|EURGBP_欧州
15-21JST|CHFJPY_東京
09-15JST|AUDJPY_東京
09-15JST","CHFJPY_東京
09-15JST|AUDUSD_NY
21-03JST|EURAUD_深夜
03-09JST|AUDJPY_欧州
15-21JST|NZDUSD_NY
21-03JST|NZDJPY_欧州
15-21JST",119,103
2022_28,"AUDNZD_深夜
03-09JST|AUDNZD_欧州
15-21JST|AUDJPY_東京
09-15JST|NZDUSD_NY
21-03JST|EURGBP_NY
21-03JST|CHFJPY_NY
21-03JST","AUDJPY_東京
09-15JST|AUDNZD_深夜
03-09JST|NZDUSD_NY
21-03JST|AUDUSD_NY
21-03JST|CHFJPY_東京
09-15JST|NZDJPY_欧州
15-21JST",76,75
2022_29,"NZDUSD_東京
09-15JST|EURJPY_NY
21-03JST|CHFJPY_NY
21-03JST|AUDUSD_NY
21-03JST|GBPUSD_欧州
15-21JST|NZDUSD_NY
21-03JST","AUDUSD_NY
21-03JST|NZDUSD_NY
21-03JST|CHFJPY_NY
21-03JST|CHFJPY_東京
09-15JST|AUDJPY_東京
09-15JST|EURAUD_NY
21-03JST",132,97
2022_30,"AUDNZD_欧州
15-21JST|AUDUSD_欧州
15-21JST|GBPUSD_NY
21-03JST|EURGBP_欧州
15-21JST|EURAUD_NY
21-03JST","AUDUSD_NY
21-03JST|CHFJPY_東京
09-15JST|NZDUSD_NY
21-03JST|EURAUD_NY
21-03JST|CHFJPY_NY
21-03JST|GBPUSD_NY
21-03JST",117,118
2022_31,"EURAUD_深夜
03-09JST|NZDUSD_東京
09-15JST|EURJPY_欧州
15-21JST|AUDUSD_欧州
15-21JST|CHFJPY_東京
09-15JST|CHFJPY_NY
21-03JST","AUDUSD_NY
21-03JST|AUDUSD_欧州
15-21JST|CHFJPY_NY
21-03JST|EURJPY_欧州
15-21JST|AUDNZD_欧州
15-21JST|EURAUD_NY
21-03JST",69,89
2022_32,"AUDNZD_欧州
15-21JST|NZDUSD_深夜
03-09JST|EURAUD_NY
21-03JST|CHFJPY_NY
21-03JST|USDJPY_東京
09-15JST|NZDUSD_NY
21-03JST","EURAUD_NY
21-03JST|USDJPY_東京
09-15JST|AUDNZD_欧州
15-21JST|CHFJPY_NY
21-03JST|AUDUSD_NY
21-03JST|AUDUSD_欧州
15-21JST",127,130
