pair,direction,signal_bar,entry_bar,pnl_yen,r_mult,held,session,combo,period,year_week
EURGBP,long,2022-01-03 08:20:00,2022-01-03 08:25:00,-4378.0848963479175,-0.8756169792695835,3,"欧州
15-21JST","EURGBP_欧州
15-21JST",IS,2022_01
EURGBP,long,2022-01-03 08:25:00,2022-01-03 08:30:00,-3687.068114510277,-0.7374136229020555,2,"欧州
15-21JST","EURGBP_欧州
15-21JST",IS,2022_01
EURGBP,long,2022-01-03 08:30:00,2022-01-03 08:35:00,-6098.039215685636,-1.2196078431371271,1,"欧州
15-21JST","EURGBP_欧州
15-21JST",IS,2022_01
EURGBP,long,2022-01-03 08:35:00,2022-01-03 08:40:00,-882.3529411753271,-0.17647058823506542,2,"欧州
15-21JST","EURGBP_欧州
15-21JST",IS,2022_01
EURGBP,long,2022-01-03 08:40:00,2022-01-03 08:45:00,2335.140018065738,0.46702800361314756,8,"欧州
15-21JST","EURGBP_欧州
15-21JST",IS,2022_01
EURGBP,long,2022-01-03 08:50:00,2022-01-03 08:55:00,3120.2370872137913,0.6240474174427583,6,"欧州
15-21JST","EURGBP_欧州
15-21JST",IS,2022_01
NZDJPY,short,2022-01-03 10:35:00,2022-01-03 10:40:00,13492.392807747641,2.6984785615495284,4,"欧州
15-21JST","NZDJPY_欧州
15-21JST",IS,2022_01
NZDJPY,short,2022-01-03 10:40:00,2022-01-03 10:45:00,9133.697135063196,1.8267394270126391,3,"欧州
15-21JST","NZDJPY_欧州
15-21JST",IS,2022_01
GBPJPY,short,2022-01-03 10:45:00,2022-01-03 10:50:00,12372.262773725013,2.4744525547450027,4,"欧州
15-21JST","GBPJPY_欧州
15-21JST",IS,2022_01
AUDJPY,short,2022-01-03 10:45:00,2022-01-03 10:50:00,3161.0576923076924,0.6322115384615384,2,"欧州
15-21JST","AUDJPY_欧州
15-21JST",IS,2022_01
NZDJPY,short,2022-01-03 10:45:00,2022-01-03 10:50:00,2172.5032425413942,0.43450064850827885,2,"欧州
15-21JST","NZDJPY_欧州
15-21JST",IS,2022_01
AUDJPY,short,2022-01-03 10:50:00,2022-01-03 10:55:00,16034.063260341529,3.206812652068306,3,"欧州
15-21JST","AUDJPY_欧州
15-21JST",IS,2022_01
NZDJPY,short,2022-01-03 10:50:00,2022-01-03 10:55:00,11723.23759791279,2.344647519582558,3,"欧州
15-21JST","NZDJPY_欧州
15-21JST",IS,2022_01
GBPJPY,short,2022-01-03 10:50:00,2022-01-03 10:55:00,12617.449664428814,2.523489932885763,3,"欧州
15-21JST","GBPJPY_欧州
15-21JST",IS,2022_01
GBPJPY,short,2022-01-03 10:55:00,2022-01-03 11:00:00,5200.160128102781,1.0400320256205562,2,"欧州
15-21JST","GBPJPY_欧州
15-21JST",IS,2022_01
AUDJPY,short,2022-01-03 10:55:00,2022-01-03 11:00:00,7480.000000000995,1.496000000000199,2,"欧州
15-21JST","AUDJPY_欧州
15-21JST",IS,2022_01
NZDJPY,short,2022-01-03 10:55:00,2022-01-03 11:00:00,4606.0991105493695,0.9212198221098739,2,"欧州
15-21JST","NZDJPY_欧州
15-21JST",IS,2022_01
AUDJPY,short,2022-01-03 11:00:00,2022-01-03 11:05:00,5724.029380905073,1.1448058761810145,2,"欧州
15-21JST","AUDJPY_欧州
15-21JST",IS,2022_01
GBPJPY,short,2022-01-03 11:00:00,2022-01-03 11:05:00,1763.803680980563,0.3527607361961126,2,"欧州
15-21JST","GBPJPY_欧州
15-21JST",IS,2022_01
NZDJPY,short,2022-01-03 11:00:00,2022-01-03 11:05:00,4029.4840294826986,0.8058968058965397,2,"欧州
15-21JST","NZDJPY_欧州
15-21JST",IS,2022_01
AUDJPY,short,2022-01-03 11:05:00,2022-01-03 11:10:00,-5860.6557377040945,-1.172131147540819,1,"欧州
15-21JST","AUDJPY_欧州
15-21JST",IS,2022_01
NZDJPY,short,2022-01-03 11:05:00,2022-01-03 11:10:00,-7713.7970353478195,-1.5427594070695638,1,"欧州
15-21JST","NZDJPY_欧州
15-21JST",IS,2022_01
GBPJPY,short,2022-01-03 11:05:00,2022-01-03 11:10:00,-5923.753665688463,-1.1847507331376925,1,"欧州
15-21JST","GBPJPY_欧州
15-21JST",IS,2022_01
AUDJPY,short,2022-01-03 11:10:00,2022-01-03 11:15:00,-5804.597701150026,-1.1609195402300052,1,"欧州
15-21JST","AUDJPY_欧州
15-21JST",IS,2022_01
AUDJPY,short,2022-01-03 11:30:00,2022-01-03 11:35:00,-791.3351016798242,-0.15826702033596485,5,"欧州
15-21JST","AUDJPY_欧州
15-21JST",IS,2022_01
AUDNZD,long,2022-01-03 11:45:00,2022-01-03 11:50:00,-8774.509803922036,-1.7549019607844072,1,"欧州
15-21JST","AUDNZD_欧州
15-21JST",IS,2022_01
AUDNZD,long,2022-01-03 11:55:00,2022-01-03 12:00:00,351.94174757047585,0.07038834951409517,2,"欧州
15-21JST","AUDNZD_欧州
15-21JST",IS,2022_01
CHFJPY,long,2022-01-03 13:30:00,2022-01-03 13:35:00,-4613.259668506966,-0.9226519337013931,3,"NY
21-03JST","CHFJPY_NY
21-03JST",IS,2022_01
NZDUSD,long,2022-01-03 13:30:00,2022-01-03 13:35:00,-5474.040632053422,-1.0948081264106844,2,"NY
21-03JST","NZDUSD_NY
21-03JST",IS,2022_01
AUDUSD,long,2022-01-03 13:30:00,2022-01-03 13:35:00,-5933.333333333591,-1.1866666666667183,1,"NY
21-03JST","AUDUSD_NY
21-03JST",IS,2022_01
CHFJPY,long,2022-01-03 13:35:00,2022-01-03 13:40:00,-4769.610532089604,-0.9539221064179209,2,"NY
21-03JST","CHFJPY_NY
21-03JST",IS,2022_01
CHFJPY,long,2022-01-03 13:40:00,2022-01-03 13:45:00,-1006.7114093977946,-0.2013422818795589,5,"NY
21-03JST","CHFJPY_NY
21-03JST",IS,2022_01
AUDUSD,long,2022-01-03 13:40:00,2022-01-03 13:45:00,-5871.36929460561,-1.174273858921122,1,"NY
21-03JST","AUDUSD_NY
21-03JST",IS,2022_01
NZDUSD,long,2022-01-03 13:45:00,2022-01-03 13:50:00,-6653.04268846561,-1.330608537693122,1,"NY
21-03JST","NZDUSD_NY
21-03JST",IS,2022_01
AUDUSD,long,2022-01-03 13:45:00,2022-01-03 13:50:00,-5832.507433101556,-1.1665014866203112,1,"NY
21-03JST","AUDUSD_NY
21-03JST",IS,2022_01
NZDUSD,long,2022-01-03 13:50:00,2022-01-03 13:55:00,-6568.965517240805,-1.313793103448161,1,"NY
21-03JST","NZDUSD_NY
21-03JST",IS,2022_01
AUDUSD,long,2022-01-03 13:50:00,2022-01-03 13:55:00,-5789.473684209935,-1.157894736841987,2,"NY
21-03JST","AUDUSD_NY
21-03JST",IS,2022_01
NZDUSD,long,2022-01-03 13:55:00,2022-01-03 14:00:00,-6528.127623845719,-1.305625524769144,2,"NY
21-03JST","NZDUSD_NY
21-03JST",IS,2022_01
CHFJPY,long,2022-01-03 13:55:00,2022-01-03 14:00:00,-5943.983402489369,-1.1887966804978738,2,"NY
21-03JST","CHFJPY_NY
21-03JST",IS,2022_01
AUDUSD,long,2022-01-03 13:55:00,2022-01-03 14:00:00,-5764.33121019163,-1.152866242038326,1,"NY
21-03JST","AUDUSD_NY
21-03JST",IS,2022_01
AUDUSD,long,2022-01-03 14:00:00,2022-01-03 14:05:00,-5749.330954505154,-1.1498661909010308,1,"NY
21-03JST","AUDUSD_NY
21-03JST",IS,2022_01
NZDUSD,long,2022-01-03 14:00:00,2022-01-03 14:05:00,-6520.46783625734,-1.3040935672514682,1,"NY
21-03JST","NZDUSD_NY
21-03JST",IS,2022_01
AUDUSD,long,2022-01-03 14:05:00,2022-01-03 14:10:00,-5764.331210191747,-1.1528662420383495,1,"NY
21-03JST","AUDUSD_NY
21-03JST",IS,2022_01
NZDUSD,long,2022-01-03 14:05:00,2022-01-03 14:10:00,-6507.870753935504,-1.3015741507871008,1,"NY
21-03JST","NZDUSD_NY
21-03JST",IS,2022_01
AUDUSD,long,2022-01-03 14:10:00,2022-01-03 14:15:00,-5734.908136482896,-1.1469816272965792,1,"NY
21-03JST","AUDUSD_NY
21-03JST",IS,2022_01
NZDUSD,long,2022-01-03 14:10:00,2022-01-03 14:15:00,-6435.331230283797,-1.2870662460567592,1,"NY
21-03JST","NZDUSD_NY
21-03JST",IS,2022_01
CHFJPY,long,2022-01-03 14:10:00,2022-01-03 14:15:00,-6731.309724564739,-1.3462619449129478,1,"NY
21-03JST","CHFJPY_NY
21-03JST",IS,2022_01
