ticker,entry_date,exit_date,entry_px,exit_px,stop_px,ret_pct,reason,hold_days
1333.T,2024-05-09,2024-08-05,1020.0,887.9,914.0,-12.95,stop_base,88
1333.T,2024-09-27,2024-11-06,1001.0,927.9,932.3,-7.3,stop_base,40
1333.T,2025-09-08,2026-01-13,1146.0,1300.4,1146.0,13.47,time,127
1333.T,2026-01-14,2026-05-01,1318.6,1309.0,1318.6,-0.73,stop_breakeven,107
1332.T,2024-01-31,2024-05-13,752.2,893.2,752.2,18.75,earnings_close,103
1332.T,2024-07-18,2024-08-02,853.7,785.7,789.6,-7.97,stop_base,15
1332.T,2024-11-11,2024-12-18,911.4,844.3,855.9,-7.36,stop_base,37
1332.T,2025-11-17,2026-02-04,1188.3,1334.9,1188.3,12.33,earnings_close,79
1301.T,2025-07-25,2025-10-29,4646.2,4631.6,4646.2,-0.31,stop_breakeven,96
1375.T,2025-01-27,2025-03-31,1113.6,1109.4,1113.6,-0.38,stop_breakeven,63
1417.T,2024-07-31,2024-08-01,2015.3,1910.3,1914.5,-5.21,stop_base,1
1417.T,2024-12-19,2025-04-04,2192.6,1993.2,2056.6,-9.09,stop_base,106
1417.T,2025-05-29,2025-10-02,2463.4,2749.5,2463.4,11.62,time,126
1417.T,2025-10-08,2026-02-12,2884.3,4113.1,2884.3,42.6,time,127
1429.T,2025-08-26,2025-10-01,861.0,858.1,861.0,-0.33,stop_breakeven,36
1419.T,2024-07-12,2024-10-24,4243.4,3544.1,3563.1,-16.48,stop_base,104
1515.T,2025-07-09,2025-11-12,1487.0,1619.4,1487.0,8.91,time,126
1515.T,2025-11-28,2026-04-03,1804.3,2603.0,1804.3,44.26,time,126
1433.T,2025-05-30,2025-09-10,1093.6,1077.3,1093.6,-1.49,stop_breakeven,103
1518.T,2024-07-08,2024-08-05,1042.2,748.2,839.1,-28.2,stop_base,28
1518.T,2024-09-27,2024-10-29,947.7,812.8,817.8,-14.23,stop_base,32
1518.T,2025-07-22,2025-11-25,1038.3,1309.6,1038.3,26.13,time,126
1518.T,2025-11-26,2026-03-09,1329.0,1327.1,1329.0,-0.15,stop_breakeven,103
1663.T,2024-05-21,2024-06-19,3587.8,3412.8,3587.8,-4.88,stop_breakeven,29
1663.T,2024-10-07,2024-10-23,3431.3,3084.2,3094.0,-10.11,stop_base,16
1605.T,2024-01-16,2024-05-21,1894.0,2249.9,1894.0,18.79,time,126
1605.T,2024-06-03,2024-06-05,2290.5,2134.2,2151.7,-6.82,stop_base,2
1605.T,2024-07-02,2024-08-02,2337.1,1976.5,2091.3,-15.43,stop_base,31
1605.T,2025-08-21,2025-12-25,2353.0,3107.8,2353.0,32.08,time,126
1719.T,2024-02-05,2024-02-06,1076.3,1079.0,942.1,0.25,earnings_close,1
1719.T,2024-02-08,2024-06-13,1101.0,997.0,950.1,-9.45,time,126
1719.T,2025-02-18,2025-04-07,1244.0,1194.6,1244.0,-3.97,stop_breakeven,48
1719.T,2025-07-02,2025-11-05,1412.7,1713.1,1412.7,21.26,time,126
1719.T,2025-11-13,2026-03-19,1762.5,1865.8,1762.5,5.86,time,126
1662.T,2024-01-15,2024-02-07,1052.0,1095.6,1052.0,4.15,earnings_close,23
1662.T,2024-03-19,2024-06-04,1211.9,1204.5,1211.9,-0.61,stop_breakeven,77
1662.T,2025-09-18,2025-10-10,1256.3,1252.5,1256.3,-0.3,stop_breakeven,22
1662.T,2025-11-26,2026-02-10,1419.3,2122.9,1419.3,49.58,earnings_close,76
1721.T,2024-01-15,2024-02-06,3044.5,2955.7,2833.7,-2.92,earnings_close,22
1721.T,2024-02-16,2024-05-08,3049.1,3419.7,3049.1,12.16,earnings_close,82
1721.T,2025-05-29,2025-10-02,3243.7,3578.6,3243.7,10.33,time,126
1721.T,2025-10-22,2026-02-25,3827.6,5564.1,3827.6,45.37,time,126
1720.T,2025-05-14,2025-09-17,822.1,1106.1,822.1,34.55,time,126
1720.T,2025-11-18,2026-03-24,1096.1,1428.3,1096.1,30.31,time,126
1762.T,2024-01-25,2024-04-19,2725.8,2394.0,2435.5,-12.17,stop_base,85
1762.T,2024-05-31,2024-08-05,2703.2,2383.6,2703.2,-11.82,stop_breakeven,66
1762.T,2024-09-26,2024-11-18,2930.8,2603.1,2622.6,-11.18,stop_base,53
1762.T,2025-08-01,2025-12-05,3081.5,3866.5,3081.5,25.47,time,126
1762.T,2026-01-16,2026-01-28,4182.6,3772.7,3797.4,-9.8,stop_base,12
1762.T,2026-02-10,2026-03-04,4276.4,3678.9,3743.1,-13.97,stop_base,22
1766.T,2024-04-30,2024-08-05,10273.8,9856.0,10273.8,-4.07,stop_breakeven,97
1766.T,2025-02-13,2025-06-19,12058.9,13665.6,12058.9,13.32,time,126
1766.T,2025-06-20,2025-10-14,13811.6,13665.6,13811.6,-1.06,stop_breakeven,116
1766.T,2025-11-25,2025-12-05,14278.8,13616.9,13665.6,-4.64,stop_base,10
1766.T,2025-12-16,2026-03-16,14424.8,13081.6,13616.9,-9.31,stop_base,90
1780.T,2024-01-15,2024-02-07,1518.1,1511.4,1518.1,-0.44,stop_breakeven,23
1780.T,2025-07-14,2025-11-17,1277.1,1438.0,1277.1,12.6,time,126
1786.T,2024-02-19,2024-06-24,355.1,334.4,312.3,-5.82,time,126
1786.T,2024-06-25,2024-08-01,339.1,313.1,314.9,-7.67,stop_base,37
1786.T,2025-02-13,2025-02-28,376.3,354.6,355.5,-5.78,stop_base,15
1786.T,2025-09-09,2026-01-13,413.8,411.7,364.6,-0.5,time,126
1801.T,2024-01-17,2024-02-06,5055.2,5180.7,4447.6,2.48,earnings_close,20
1801.T,2024-05-01,2024-06-13,5556.1,5434.9,5556.1,-2.18,stop_breakeven,43
1801.T,2024-07-03,2024-08-05,5940.7,4707.5,5419.7,-20.76,stop_base,33
1801.T,2024-10-29,2024-11-05,6188.2,6142.3,5800.7,-0.74,earnings_close,7
1801.T,2024-11-07,2025-02-05,7032.1,6112.6,5800.7,-13.07,earnings_close,90
1801.T,2025-02-13,2025-04-07,6510.6,5747.6,6020.8,-11.72,stop_base,53
1801.T,2025-06-18,2025-08-06,8227.2,9465.0,8227.2,15.05,earnings_close,49
1801.T,2025-08-12,2025-12-16,9756.1,13893.9,9756.1,42.41,time,126
1801.T,2026-01-08,2026-01-22,15589.8,15555.2,15589.8,-0.22,stop_breakeven,14
1801.T,2026-02-06,2026-02-13,17567.6,17132.5,17567.6,-2.48,stop_breakeven,7
1802.T,2024-02-19,2024-06-24,1304.8,1698.1,1304.8,30.14,time,126
1802.T,2024-06-26,2024-08-02,1746.6,1700.0,1746.6,-2.67,stop_breakeven,37
1802.T,2024-10-16,2025-02-19,1802.8,1977.1,1802.8,9.67,time,126
1802.T,2025-08-01,2025-08-06,2241.6,2336.3,2085.1,4.23,earnings_close,5
1802.T,2025-08-20,2025-12-24,2361.6,3245.3,2361.6,37.42,time,126
1803.T,2024-01-15,2024-02-06,937.9,953.4,844.4,1.65,earnings_close,22
1803.T,2024-12-24,2025-01-29,1185.9,1310.0,1185.9,10.46,earnings_close,36
1803.T,2025-02-13,2025-04-07,1395.3,1173.8,1181.6,-15.87,stop_base,53
1803.T,2025-05-29,2025-07-28,1556.1,1604.2,1556.1,3.09,earnings_close,60
1803.T,2025-08-01,2025-11-05,1692.2,2148.8,1692.2,26.98,earnings_close,96
1803.T,2025-11-10,2026-02-03,2231.9,2855.4,2231.9,27.94,earnings_close,85
1803.T,2026-02-05,2026-03-09,3115.4,3010.2,3115.4,-3.38,stop_breakeven,32
1812.T,2024-01-15,2024-05-20,2347.0,2604.0,2347.0,10.95,time,126
1812.T,2024-06-27,2024-08-02,2615.3,2419.0,2615.3,-7.51,stop_breakeven,36
1812.T,2025-06-18,2025-08-04,3691.6,3757.9,3398.1,1.8,earnings_close,47
1812.T,2025-08-06,2025-12-10,4043.6,5688.0,4043.6,40.67,time,126
1812.T,2025-12-12,2026-02-10,5780.8,7599.8,5780.8,31.47,earnings_close,60
1808.T,2024-01-15,2024-05-20,1776.5,1693.5,1599.6,-4.68,time,126
1808.T,2024-12-03,2025-04-08,1927.5,1830.0,1726.9,-5.06,time,126
1808.T,2025-06-19,2025-10-23,2102.4,2522.0,2102.4,19.96,time,126
1808.T,2025-10-27,2026-03-02,2535.8,3308.5,2535.8,30.47,time,126
1813.T,2024-06-18,2024-08-05,2506.2,1857.8,2067.1,-25.87,stop_base,48
1813.T,2025-08-05,2025-11-18,2331.9,2318.4,2331.9,-0.58,stop_breakeven,105
1813.T,2025-12-15,2026-04-20,2613.2,2965.0,2613.2,13.46,time,126
1814.T,2024-02-19,2024-06-24,1428.9,1515.9,1428.9,6.08,time,126
1814.T,2024-07-31,2024-08-02,1590.6,1434.9,1494.5,-9.79,stop_base,2
1814.T,2025-07-08,2025-11-11,2124.7,3587.2,2124.7,68.83,time,126
1814.T,2026-01-06,2026-03-09,3728.5,3713.9,3728.5,-0.39,stop_breakeven,62
1815.T,2024-02-16,2024-06-21,2141.9,2407.3,2141.9,12.39,time,126
1815.T,2025-06-23,2025-10-27,2761.6,3576.1,2761.6,29.49,time,126
1815.T,2025-11-04,2026-03-10,3609.8,4356.9,3609.8,20.69,time,126
1820.T,2024-02-19,2024-05-23,4094.3,4069.9,4094.3,-0.59,stop_breakeven,94
1820.T,2024-07-02,2024-08-02,4197.0,4174.0,4197.0,-0.55,stop_breakeven,31
1820.T,2024-11-07,2025-02-17,4889.3,4604.9,4623.6,-5.82,stop_base,102
1833.T,2024-01-15,2024-05-20,4288.9,4422.4,4288.9,3.11,time,126
1833.T,2024-06-25,2024-08-02,4526.9,4331.5,4363.3,-4.32,stop_base,38
1833.T,2025-11-17,2026-03-23,5370.7,6132.3,5370.7,14.18,time,126
1835.T,2024-07-16,2024-08-02,3027.9,2776.8,2818.6,-8.29,stop_base,17
1835.T,2024-09-26,2025-01-30,3232.6,3024.9,2888.4,-6.42,time,126
1835.T,2025-07-04,2025-11-07,3835.8,4301.7,3835.8,12.15,time,126
1835.T,2025-11-10,2025-11-14,4420.0,4065.2,4119.4,-8.03,stop_base,4
1835.T,2025-11-28,2026-04-03,4424.9,5580.0,4424.9,26.1,time,126
1852.T,2024-01-15,2024-02-09,711.6,706.4,711.6,-0.72,stop_breakeven,25
1852.T,2025-06-30,2025-11-04,716.4,872.6,716.4,21.81,time,127
1852.T,2025-11-12,2026-03-18,926.1,1003.8,926.1,8.39,time,126
