ticker,entry_date,exit_date,entry_px,exit_px,stop_px,ret_pct,reason,hold_days
1333.T,2024-05-09,2024-08-02,1020.0,964.6,914.0,-5.42,ma200_breach,85
1333.T,2024-09-27,2024-10-23,1001.0,944.6,932.3,-5.63,ma200_breach,26
1333.T,2025-09-08,2026-01-13,1146.0,1300.4,1146.0,13.47,time,127
1333.T,2026-01-14,2026-05-01,1318.6,1309.0,1318.6,-0.73,stop_breakeven,107
1332.T,2024-01-31,2024-05-13,752.2,893.2,752.2,18.75,earnings_close,103
1332.T,2024-07-18,2024-08-02,853.7,785.7,789.6,-7.97,ma200_breach,15
1332.T,2024-11-11,2024-11-18,911.4,877.4,855.9,-3.74,ma200_breach,7
1332.T,2025-11-17,2026-02-04,1188.3,1334.9,1188.3,12.33,earnings_close,79
1301.T,2025-07-25,2025-10-29,4646.2,4631.6,4646.2,-0.31,stop_breakeven,96
1375.T,2025-01-27,2025-02-03,1113.6,1125.3,985.8,1.05,ma200_breach,7
1375.T,2025-02-05,2025-02-25,1157.4,1174.0,985.8,1.43,ma200_breach,20
1417.T,2024-07-31,2024-08-01,2015.3,1910.3,1914.5,-5.21,stop_base,1
1417.T,2024-12-19,2025-01-14,2192.6,2104.5,2056.6,-4.02,ma200_breach,26
1417.T,2025-02-12,2025-02-25,2235.7,2147.6,2090.1,-3.94,ma200_breach,13
1417.T,2025-05-29,2025-06-02,2463.4,2484.8,2041.4,0.87,ma200_breach,4
1417.T,2025-07-10,2025-11-13,2507.7,3201.4,2507.7,27.66,time,126
1417.T,2025-11-26,2026-04-01,3253.8,3716.0,3253.8,14.21,time,126
1429.T,2025-08-26,2025-10-01,861.0,858.1,861.0,-0.33,stop_breakeven,36
1419.T,2024-07-12,2024-08-02,4243.4,3986.5,3563.1,-6.05,ma200_breach,21
1515.T,2025-07-09,2025-11-12,1487.0,1619.4,1487.0,8.91,time,126
1515.T,2025-11-28,2026-04-03,1804.3,2603.0,1804.3,44.26,time,126
1433.T,2025-05-30,2025-06-02,1093.6,1084.9,1000.7,-0.8,ma200_breach,3
1433.T,2025-06-10,2025-06-13,1121.7,1093.6,1007.5,-2.5,ma200_breach,3
1433.T,2025-08-04,2025-09-10,1137.1,1077.3,1137.1,-5.26,stop_breakeven,37
1518.T,2024-07-08,2024-08-02,1042.2,860.4,839.1,-17.44,ma200_breach,25
1518.T,2024-09-27,2024-10-23,947.7,836.3,817.8,-11.76,ma200_breach,26
1518.T,2025-07-22,2025-11-25,1038.3,1309.6,1038.3,26.13,time,126
1518.T,2025-11-26,2026-03-09,1329.0,1327.1,1329.0,-0.15,stop_breakeven,103
1663.T,2024-05-21,2024-06-19,3587.8,3412.8,3587.8,-4.88,stop_breakeven,29
1663.T,2024-10-07,2024-10-23,3431.3,3084.2,3094.0,-10.11,ma200_breach,16
1605.T,2024-01-16,2024-05-21,1894.0,2249.9,1894.0,18.79,time,126
1605.T,2024-06-03,2024-06-05,2290.5,2134.2,2151.7,-6.82,stop_base,2
1605.T,2024-07-02,2024-08-02,2337.1,1976.5,2091.3,-15.43,ma200_breach,31
1605.T,2025-08-21,2025-12-25,2353.0,3107.8,2353.0,32.08,time,126
1719.T,2024-02-05,2024-02-06,1076.3,1079.0,942.1,0.25,earnings_close,1
1719.T,2024-02-08,2024-06-13,1101.0,997.0,950.1,-9.45,time,126
1719.T,2025-02-18,2025-02-25,1244.0,1240.3,1040.6,-0.3,ma200_breach,7
1719.T,2025-07-02,2025-11-05,1412.7,1713.1,1412.7,21.26,time,126
1719.T,2025-11-13,2026-03-19,1762.5,1865.8,1762.5,5.86,time,126
1662.T,2024-01-15,2024-02-07,1052.0,1095.6,1052.0,4.15,earnings_close,23
1662.T,2024-03-19,2024-06-04,1211.9,1204.5,1211.9,-0.61,stop_breakeven,77
1662.T,2025-09-18,2025-10-10,1256.3,1252.5,1256.3,-0.3,stop_breakeven,22
1662.T,2025-11-26,2026-02-10,1419.3,2122.9,1419.3,49.58,earnings_close,76
1721.T,2024-01-15,2024-02-06,3044.5,2955.7,2833.7,-2.92,earnings_close,22
1721.T,2024-02-16,2024-05-08,3049.1,3419.7,3049.1,12.16,earnings_close,82
1721.T,2025-05-29,2025-06-02,3243.7,3219.3,2960.6,-0.75,ma200_breach,4
1721.T,2025-06-30,2025-11-04,3246.6,3917.6,3246.6,20.67,time,127
1721.T,2025-11-05,2026-03-11,4003.6,5369.4,4003.6,34.12,time,126
1720.T,2025-05-14,2025-05-15,822.1,833.7,700.9,1.42,ma200_breach,1
1720.T,2025-05-30,2025-06-02,884.1,899.6,750.4,1.75,ma200_breach,3
1720.T,2025-06-11,2025-06-13,960.7,982.1,793.0,2.22,ma200_breach,2
1720.T,2025-08-01,2025-10-14,1029.6,1028.1,1029.6,-0.14,stop_breakeven,74
1720.T,2025-11-18,2026-03-24,1096.1,1428.3,1096.1,30.31,time,126
1762.T,2024-01-25,2024-04-19,2725.8,2394.0,2435.5,-12.17,stop_base,85
1762.T,2024-05-31,2024-08-02,2703.2,2713.6,2703.2,0.39,ma200_breach,63
1762.T,2024-09-26,2024-10-23,2930.8,2767.4,2622.6,-5.58,ma200_breach,27
1762.T,2025-08-01,2025-12-05,3081.5,3866.5,3081.5,25.47,time,126
1762.T,2026-01-16,2026-01-28,4182.6,3772.7,3797.4,-9.8,stop_base,12
1762.T,2026-02-10,2026-03-04,4276.4,3678.9,3743.1,-13.97,stop_base,22
1766.T,2024-04-30,2024-08-02,10273.8,10653.6,10273.8,3.7,ma200_breach,94
1766.T,2025-02-13,2025-02-25,12058.9,11907.0,11118.9,-1.26,ma200_breach,12
1766.T,2025-06-19,2025-10-23,13665.6,14239.9,13665.6,4.2,time,126
1766.T,2025-11-25,2025-12-05,14278.8,13616.9,13665.6,-4.64,stop_base,10
1766.T,2025-12-16,2026-03-16,14424.8,13081.6,13616.9,-9.31,stop_base,90
1780.T,2024-01-15,2024-02-07,1518.1,1511.4,1518.1,-0.44,stop_breakeven,23
1780.T,2025-07-14,2025-11-17,1277.1,1438.0,1277.1,12.6,time,126
1786.T,2024-02-19,2024-06-24,355.1,334.4,312.3,-5.82,time,126
1786.T,2024-06-25,2024-08-01,339.1,313.1,314.9,-7.67,stop_base,37
1786.T,2025-02-13,2025-02-25,376.3,357.4,355.5,-5.03,ma200_breach,12
1786.T,2025-09-09,2026-01-13,413.8,411.7,364.6,-0.5,time,126
1801.T,2024-01-17,2024-02-06,5055.2,5180.7,4447.6,2.48,earnings_close,20
1801.T,2024-05-01,2024-06-13,5556.1,5434.9,5556.1,-2.18,stop_breakeven,43
1801.T,2024-07-03,2024-08-02,5940.7,5470.9,5419.7,-7.91,ma200_breach,30
