date,label,kind,sector,norm,signal_base_date
2026-05-29,鉄鋼,sector,鉄鋼,100.26,2026-07-02
2026-06-01,鉄鋼,sector,鉄鋼,97.74,2026-07-02
2026-06-02,鉄鋼,sector,鉄鋼,97.01,2026-07-02
2026-06-03,鉄鋼,sector,鉄鋼,98.55,2026-07-02
2026-06-04,鉄鋼,sector,鉄鋼,97.25,2026-07-02
2026-06-05,鉄鋼,sector,鉄鋼,97.89,2026-07-02
2026-06-08,鉄鋼,sector,鉄鋼,95.76,2026-07-02
2026-06-09,鉄鋼,sector,鉄鋼,95.6,2026-07-02
2026-06-10,鉄鋼,sector,鉄鋼,95.71,2026-07-02
2026-06-11,鉄鋼,sector,鉄鋼,95.61,2026-07-02
2026-06-12,鉄鋼,sector,鉄鋼,98.09,2026-07-02
2026-06-15,鉄鋼,sector,鉄鋼,100.76,2026-07-02
2026-06-16,鉄鋼,sector,鉄鋼,99.85,2026-07-02
2026-06-17,鉄鋼,sector,鉄鋼,99.37,2026-07-02
2026-06-18,鉄鋼,sector,鉄鋼,100.42,2026-07-02
2026-06-19,鉄鋼,sector,鉄鋼,100.58,2026-07-02
2026-06-22,鉄鋼,sector,鉄鋼,102.02,2026-07-02
2026-06-23,鉄鋼,sector,鉄鋼,99.25,2026-07-02
2026-06-24,鉄鋼,sector,鉄鋼,98.62,2026-07-02
2026-06-25,鉄鋼,sector,鉄鋼,98.78,2026-07-02
2026-06-26,鉄鋼,sector,鉄鋼,98.84,2026-07-02
2026-06-29,鉄鋼,sector,鉄鋼,99.42,2026-07-02
2026-06-30,鉄鋼,sector,鉄鋼,98.52,2026-07-02
2026-07-01,鉄鋼,sector,鉄鋼,98.59,2026-07-02
2026-07-02,鉄鋼,sector,鉄鋼,100.0,2026-07-02
2026-07-03,鉄鋼,sector,鉄鋼,101.53,2026-07-02
2026-07-06,鉄鋼,sector,鉄鋼,102.37,2026-07-02
2026-07-07,鉄鋼,sector,鉄鋼,101.89,2026-07-02
2026-07-08,鉄鋼,sector,鉄鋼,100.65,2026-07-02
2026-07-09,鉄鋼,sector,鉄鋼,99.98,2026-07-02
2026-05-29,5659.T,stock,鉄鋼,97.61,2026-07-02
2026-06-01,5659.T,stock,鉄鋼,95.63,2026-07-02
2026-06-02,5659.T,stock,鉄鋼,93.52,2026-07-02
2026-06-03,5659.T,stock,鉄鋼,99.52,2026-07-02
2026-06-04,5659.T,stock,鉄鋼,97.89,2026-07-02
2026-06-05,5659.T,stock,鉄鋼,98.43,2026-07-02
2026-06-08,5659.T,stock,鉄鋼,93.93,2026-07-02
2026-06-09,5659.T,stock,鉄鋼,96.45,2026-07-02
2026-06-10,5659.T,stock,鉄鋼,97.0,2026-07-02
2026-06-11,5659.T,stock,鉄鋼,98.43,2026-07-02
2026-06-12,5659.T,stock,鉄鋼,100.2,2026-07-02
2026-06-15,5659.T,stock,鉄鋼,104.09,2026-07-02
2026-06-16,5659.T,stock,鉄鋼,103.75,2026-07-02
2026-06-17,5659.T,stock,鉄鋼,102.11,2026-07-02
2026-06-18,5659.T,stock,鉄鋼,104.23,2026-07-02
2026-06-19,5659.T,stock,鉄鋼,107.23,2026-07-02
2026-06-22,5659.T,stock,鉄鋼,105.59,2026-07-02
2026-06-23,5659.T,stock,鉄鋼,102.52,2026-07-02
2026-06-24,5659.T,stock,鉄鋼,100.0,2026-07-02
2026-06-25,5659.T,stock,鉄鋼,98.23,2026-07-02
2026-06-26,5659.T,stock,鉄鋼,97.61,2026-07-02
2026-06-29,5659.T,stock,鉄鋼,96.38,2026-07-02
2026-06-30,5659.T,stock,鉄鋼,96.52,2026-07-02
2026-07-01,5659.T,stock,鉄鋼,98.91,2026-07-02
2026-07-02,5659.T,stock,鉄鋼,100.0,2026-07-02
2026-07-03,5659.T,stock,鉄鋼,101.64,2026-07-02
2026-07-06,5659.T,stock,鉄鋼,101.09,2026-07-02
2026-07-07,5659.T,stock,鉄鋼,98.36,2026-07-02
2026-07-08,5659.T,stock,鉄鋼,96.52,2026-07-02
2026-07-09,5659.T,stock,鉄鋼,96.86,2026-07-02
