date,capital,unrealized_pnl,total_equity,realized_pnl,return_pct,max_dd_pct,open_positions,pending,trades_today,new_signals
2026-05-07,1000000,0,1000000,0,0.0,0.0,3,0,0,0
2026-05-08,994427,17464,1011891,-5573,1.19,0.0,2,0,1,0
2026-05-11,987239,0,987239,-12761,-1.28,1.28,0,3,2,2
2026-05-12,976174,0,976174,-23826,-2.38,2.38,1,2,2,2
2026-05-13,965168,14450,979618,-34832,-2.04,2.04,1,2,2,2
2026-05-15,1054071,3540,1057611,54071,5.76,0.0,1,2,2,1
2026-05-18,1028933,6136,1035069,28933,3.51,0.53,1,2,2,2
2026-05-19,1017288,3894,1021182,17288,2.12,1.86,1,2,2,2
2026-05-20,1000480,0,1000480,480,0.05,3.85,0,3,3,3
2026-05-21,983550,0,983550,-16450,-1.64,5.48,0,0,3,0
2026-05-22,983550,0,983550,-16450,-1.64,5.48,0,0,0,0
2026-05-25,983550,0,983550,-16450,-1.64,5.48,0,0,0,0
2026-05-26,983550,0,983550,-16450,-1.64,5.48,0,3,0,3
