exit_date,ticker,sector,entry_date,entry_price,exit_price,shares,exit_reason,pnl_jpy,return_pct,days_held
2026-05-08,5214.T,ガラス･土石製品,2026-05-08,7125.0,7018.1,46,stop,-5573,-1.5,1
2026-05-11,5334.T,ガラス･土石製品,2026-05-08,8171.0,8048.4,40,stop,-5558,-1.5,2
2026-05-11,4045.T,化学,2026-05-08,1724.0,1719.0,193,rotate,-1630,-0.29,2
2026-05-12,5201.T,ガラス･土石製品,2026-05-12,5736.0,5650.0,57,stop,-5556,-1.5,1
2026-05-12,2768.T,卸売業,2026-05-12,5785.0,5698.2,56,stop,-5509,-1.5,1
2026-05-13,2768.T,卸売業,2026-05-13,5883.0,5794.8,55,stop,-5498,-1.5,1
2026-05-13,5201.T,ガラス･土石製品,2026-05-13,6001.0,5911.0,54,stop,-5508,-1.5,1
2026-05-15,5344.T,ガラス･土石製品,2026-05-12,64520.0,79210.0,5,target,72805,22.77,3
2026-05-15,4008.T,化学,2026-05-15,1238.0,1250.0,270,rotate,2571,0.97,1
2026-05-18,3110.T,ガラス･土石製品,2026-05-18,24070.0,23709.0,14,stop,-5728,-1.5,1
2026-05-18,4044.T,化学,2026-05-18,3930.0,3871.0,88,stop,-5884,-1.5,1
2026-05-19,4044.T,化学,2026-05-19,4025.0,3964.6,85,stop,-5818,-1.5,1
2026-05-19,4041.T,化学,2026-05-19,3535.0,3482.0,97,stop,-5827,-1.5,1
2026-05-20,4028.T,化学,2026-05-15,2726.0,2685.1,118,stop,-5470,-1.5,4
2026-05-20,3110.T,ガラス･土石製品,2026-05-20,21920.0,21591.2,15,stop,-5590,-1.5,1
2026-05-20,5384.T,ガラス･土石製品,2026-05-20,3160.0,3112.6,107,stop,-5748,-1.5,1
2026-05-21,3153.T,卸売業,2026-05-21,2761.0,2719.6,120,stop,-5631,-1.5,1
2026-05-21,2676.T,卸売業,2026-05-21,1992.0,1962.1,167,stop,-5659,-1.5,1
2026-05-21,3036.T,卸売業,2026-05-21,2439.0,2402.4,136,stop,-5641,-1.5,1
2026-05-27,4022.T,化学,2026-05-27,1926.0,1897.1,170,stop,-5568,-1.5,1
2026-05-27,5302.T,ガラス･土石製品,2026-05-27,4735.0,4664.0,69,stop,-5552,-1.5,1
2026-05-27,4044.T,化学,2026-05-27,3905.0,3846.4,83,stop,-5512,-1.5,1
2026-05-28,4022.T,化学,2026-05-28,1793.0,1900.0,179,rotate,18511,5.97,1
2026-05-29,4044.T,化学,2026-05-28,3900.0,3935.0,82,rotate,2230,0.9,2
2026-05-29,5302.T,ガラス･土石製品,2026-05-28,4685.0,4760.0,68,rotate,4463,1.6,2
2026-05-29,5351.T,ガラス･土石製品,2026-05-29,1918.0,1918.0,171,rotate,-656,0.0,1
2026-06-02,4041.T,化学,2026-06-02,3570.0,3570.0,92,rotate,-657,0.0,1
2026-06-02,3405.T,化学,2026-06-02,1610.0,1610.0,205,rotate,-660,0.0,1
2026-06-02,4005.T,化学,2026-06-02,587.5,587.5,562,rotate,-660,0.0,1
2026-06-03,3110.T,ガラス･土石製品,2026-06-03,22780.0,22438.3,14,stop,-5422,-1.5,1
2026-06-03,4004.T,化学,2026-06-03,19400.0,19109.0,17,stop,-5607,-1.5,1
2026-06-03,5310.T,ガラス･土石製品,2026-06-03,7600.0,7486.0,43,stop,-5556,-1.5,1
2026-06-04,4005.T,化学,2026-06-04,591.3,582.4,548,stop,-5525,-1.51,1
2026-06-04,4041.T,化学,2026-06-04,3550.0,3585.0,91,rotate,2539,0.99,1
2026-06-05,4004.T,化学,2026-06-04,18480.0,18202.8,17,stop,-5341,-1.5,2
2026-06-05,4005.T,化学,2026-06-05,593.0,584.1,545,stop,-5497,-1.5,1
2026-06-08,3110.T,ガラス･土石製品,2026-06-05,19640.0,19345.4,16,stop,-5342,-1.5,2
2026-06-09,4008.T,化学,2026-06-08,1249.0,1254.0,255,target,638,0.4,2
2026-06-11,4004.T,化学,2026-06-08,15585.0,15351.2,20,stop,-5299,-1.5,4
2026-06-17,4047.T,化学,2026-06-17,3750.0,3693.8,84,stop,-5351,-1.5,1
2026-06-17,5192.T,ゴム製品,2026-06-17,3995.0,3985.0,79,rotate,-1421,-0.25,1
2026-06-17,4027.T,化学,2026-06-17,2227.0,2238.0,142,rotate,930,0.49,1
2026-06-18,4047.T,化学,2026-06-18,3880.0,3821.8,81,stop,-5343,-1.5,1
2026-06-18,5344.T,ガラス･土石製品,2026-06-18,69570.0,68526.4,4,stop,-4731,-1.5,1
2026-06-18,5195.T,ゴム製品,2026-06-18,2251.0,2217.2,139,stop,-5324,-1.5,1
2026-06-19,5302.T,ガラス･土石製品,2026-06-19,4760.0,4688.6,64,stop,-5179,-1.5,1
2026-06-19,4027.T,化学,2026-06-19,2431.0,2394.5,127,stop,-5253,-1.5,1
2026-06-22,5301.T,ガラス･土石製品,2026-06-19,1774.0,1747.4,174,stop,-5246,-1.5,2
2026-06-22,4047.T,化学,2026-06-22,4000.0,3940.0,76,stop,-5168,-1.5,1
2026-06-22,5344.T,ガラス･土石製品,2026-06-22,70080.0,69028.8,4,stop,-4765,-1.5,1
2026-06-23,5351.T,ガラス･土石製品,2026-06-23,1893.0,1893.0,158,rotate,-598,0.0,1
2026-06-24,4005.T,化学,2026-06-23,527.6,519.7,570,stop,-5104,-1.5,2
2026-06-25,5301.T,ガラス･土石製品,2026-06-23,1745.0,1718.8,172,stop,-5107,-1.5,3
2026-06-29,5233.T,ガラス･土石製品,2026-06-24,4115.0,4087.0,73,target,-2645,-0.68,4
2026-07-07,8725.T,保険業,2026-07-06,4465.0,4552.0,66,target,5153,1.95,2
2026-07-07,5471.T,鉄鋼,2026-07-07,2787.0,2745.2,106,stop,-5022,-1.5,1
2026-07-07,5563.T,鉄鋼,2026-07-07,452.0,445.2,655,stop,-5046,-1.5,1
2026-07-08,5632.T,鉄鋼,2026-07-08,2170.0,2170.0,135,rotate,-586,0.0,1
2026-07-08,5121.T,ゴム製品,2026-07-08,2575.0,2575.0,114,rotate,-587,0.0,1
2026-07-09,5471.T,鉄鋼,2026-07-08,2624.0,2584.6,112,stop,-5001,-1.5,2
2026-07-09,2975.T,不動産業,2026-07-09,1535.0,1525.0,191,target,-2496,-0.65,1
2026-07-09,5192.T,ゴム製品,2026-07-09,3930.0,3930.0,74,rotate,-582,0.0,1
2026-07-10,5471.T,鉄鋼,2026-07-10,2582.5,2543.8,112,stop,-4913,-1.5,1
2026-07-10,8795.T,保険業,2026-07-10,5001.0,4926.0,58,stop,-4930,-1.5,1
2026-07-14,5659.T,鉄鋼,2026-07-10,1435.0,1511.0,203,target,14845,5.3,3
