ticker,entry_date,exit_date,entry_px,exit_px,stop_px,ret_pct,reason,hold_days
1333.T,2025-09-08,2026-01-13,1146.0,1300.4,1146.0,13.47,time,127
1375.T,2025-01-27,2025-03-31,1113.6,1109.4,1113.6,-0.38,stop_breakeven,63
1301.T,2025-07-25,2025-10-29,4646.2,4631.6,4646.2,-0.31,stop_breakeven,96
1332.T,2025-11-17,2026-02-04,1188.3,1334.9,1188.3,12.33,earnings_close,79
1515.T,2025-07-09,2025-11-12,1487.0,1619.4,1487.0,8.91,time,126
1417.T,2025-05-29,2025-10-02,2463.4,2749.5,2463.4,11.62,time,126
1417.T,2025-10-08,2026-02-12,2884.3,4113.1,2884.3,42.6,time,127
1433.T,2025-05-30,2025-09-10,1093.6,1077.3,1093.6,-1.49,stop_breakeven,103
1662.T,2025-09-18,2025-10-10,1256.3,1252.5,1256.3,-0.3,stop_breakeven,22
1662.T,2025-11-26,2026-02-10,1419.3,2122.9,1419.3,49.58,earnings_close,76
1518.T,2025-07-22,2025-11-25,1038.3,1309.6,1038.3,26.13,time,126
1518.T,2025-11-26,2026-03-09,1329.0,1327.1,1329.0,-0.15,stop_breakeven,103
1429.T,2025-08-26,2025-10-01,861.0,858.1,861.0,-0.33,stop_breakeven,36
1605.T,2025-08-21,2025-12-25,2353.0,3107.8,2353.0,32.08,time,126
1720.T,2025-05-14,2025-09-17,822.1,1106.1,822.1,34.55,time,126
1720.T,2025-11-18,2026-03-24,1096.1,1428.3,1096.1,30.31,time,126
1719.T,2025-02-18,2025-04-07,1244.0,1194.6,1244.0,-3.97,stop_breakeven,48
1719.T,2025-07-02,2025-11-05,1412.7,1713.1,1412.7,21.26,time,126
1719.T,2025-11-13,2026-03-19,1762.5,1865.8,1762.5,5.86,time,126
1721.T,2025-05-29,2025-10-02,3243.7,3578.6,3243.7,10.33,time,126
1721.T,2025-10-22,2026-02-25,3827.6,5564.1,3827.6,45.37,time,126
1762.T,2025-08-01,2025-12-05,3081.5,3866.5,3081.5,25.47,time,126
1766.T,2025-02-13,2025-06-19,12058.9,13665.6,12058.9,13.32,time,126
1766.T,2025-06-20,2025-10-14,13811.6,13665.6,13811.6,-1.06,stop_breakeven,116
1766.T,2025-11-25,2025-12-05,14278.8,13616.9,13665.6,-4.64,stop_base,10
1780.T,2025-07-14,2025-11-17,1277.1,1438.0,1277.1,12.6,time,126
1786.T,2025-02-13,2025-02-28,376.3,354.6,355.5,-5.78,stop_base,15
1786.T,2025-09-09,2026-01-13,413.8,411.7,364.6,-0.5,time,126
1801.T,2025-02-13,2025-04-07,6510.6,5747.6,6020.8,-11.72,stop_base,53
1801.T,2025-06-18,2025-08-06,8227.2,9465.0,8227.2,15.05,earnings_close,49
1801.T,2025-08-12,2025-12-16,9756.1,13893.9,9756.1,42.41,time,126
1803.T,2025-02-13,2025-04-07,1395.3,1173.8,1181.6,-15.87,stop_base,53
1803.T,2025-05-29,2025-07-28,1556.1,1604.2,1556.1,3.09,earnings_close,60
1803.T,2025-08-01,2025-11-05,1692.2,2148.8,1692.2,26.98,earnings_close,96
1803.T,2025-11-10,2026-02-03,2231.9,2855.4,2231.9,27.94,earnings_close,85
1802.T,2025-08-01,2025-08-06,2241.6,2336.3,2085.1,4.23,earnings_close,5
1802.T,2025-08-20,2025-12-24,2361.6,3245.3,2361.6,37.42,time,126
1808.T,2025-06-19,2025-10-23,2102.4,2522.0,2102.4,19.96,time,126
1808.T,2025-10-27,2026-03-02,2535.8,3308.5,2535.8,30.47,time,126
1812.T,2025-06-18,2025-08-04,3691.6,3757.9,3398.1,1.8,earnings_close,47
1812.T,2025-08-06,2025-12-10,4043.6,5688.0,4043.6,40.67,time,126
1813.T,2025-08-05,2025-11-18,2331.9,2318.4,2331.9,-0.58,stop_breakeven,105
1814.T,2025-07-08,2025-11-11,2124.7,3587.2,2124.7,68.83,time,126
1815.T,2025-06-23,2025-10-27,2761.6,3576.1,2761.6,29.49,time,126
1815.T,2025-11-04,2026-03-10,3609.8,4356.9,3609.8,20.69,time,126
1833.T,2025-11-17,2026-03-23,5370.7,6132.3,5370.7,14.18,time,126
1835.T,2025-07-04,2025-11-07,3835.8,4301.7,3835.8,12.15,time,126
1835.T,2025-11-10,2025-11-14,4420.0,4065.2,4119.4,-8.03,stop_base,4
1852.T,2025-06-30,2025-11-04,716.4,872.6,716.4,21.81,time,127
1852.T,2025-11-12,2026-03-18,926.1,1003.8,926.1,8.39,time,126
1860.T,2025-11-21,2026-03-27,1132.7,1468.0,1132.7,29.6,time,126
1861.T,2025-07-10,2025-11-13,1066.8,1528.5,1066.8,43.29,time,126
1870.T,2025-07-08,2025-11-11,1733.1,2053.9,1733.1,18.51,time,126
1871.T,2025-07-11,2025-08-12,1746.4,1718.7,1746.4,-1.59,stop_breakeven,32
1871.T,2025-09-30,2025-10-14,1809.2,1683.3,1708.2,-6.96,stop_base,14
1871.T,2025-10-27,2026-03-02,1851.1,3449.5,1851.1,86.35,time,126
1879.T,2025-07-10,2025-11-13,1624.2,1857.6,1624.2,14.37,time,126
1879.T,2025-11-25,2026-03-31,1876.3,1935.0,1876.3,3.13,time,126
1882.T,2025-07-09,2025-10-01,1489.5,1473.1,1489.5,-1.1,stop_breakeven,84
1882.T,2025-11-21,2026-03-27,1572.6,1750.0,1572.6,11.28,time,126
1885.T,2025-05-29,2025-10-02,1443.2,1978.9,1443.2,37.12,time,126
1885.T,2025-10-22,2026-02-25,2193.3,4017.8,2193.3,83.18,time,126
1888.T,2025-06-27,2025-10-31,4013.2,4657.8,4013.2,16.06,time,126
1893.T,2025-06-23,2025-10-27,887.7,1447.5,887.7,63.06,time,126
1899.T,2025-09-02,2026-01-06,5889.8,7680.0,5889.8,30.39,time,126
1925.T,2025-01-31,2025-04-07,4662.0,4591.4,4662.0,-1.51,stop_breakeven,66
1925.T,2025-07-17,2025-08-04,4794.5,4895.0,4668.8,2.1,earnings_close,18
1925.T,2025-08-06,2025-11-12,4968.5,5387.0,4968.5,8.42,earnings_close,98
1926.T,2025-05-29,2025-10-02,2766.1,3097.6,2766.1,11.99,time,126
1926.T,2025-10-27,2026-03-02,3274.0,4239.6,3274.0,29.49,time,126
1929.T,2025-07-14,2025-11-17,1112.9,1184.1,1112.9,6.4,time,126
1930.T,2025-07-10,2025-11-13,1179.1,1395.5,1179.1,18.35,time,126
1934.T,2025-05-29,2025-10-02,1916.6,2556.9,1916.6,33.41,time,126
1934.T,2025-10-27,2025-10-29,2789.7,2526.3,2551.5,-9.44,stop_base,2
1938.T,2025-06-19,2025-10-23,1702.7,1976.9,1702.7,16.11,time,126
1938.T,2025-10-27,2026-03-02,2021.5,3052.6,2021.5,51.01,time,126
1941.T,2025-08-01,2025-12-05,3630.2,4260.2,3630.2,17.36,time,126
1942.T,2025-01-31,2025-02-26,2383.6,2383.1,2383.6,-0.02,stop_breakeven,26
1942.T,2025-05-29,2025-10-02,2918.2,3841.5,2918.2,31.64,time,126
1942.T,2025-10-06,2026-02-09,4105.2,5896.1,4105.2,43.63,time,126
1944.T,2025-05-29,2025-10-02,3830.1,4882.5,3830.1,27.48,time,126
1944.T,2025-10-24,2026-02-27,5236.1,8406.3,5236.1,60.54,time,126
1945.T,2025-07-01,2025-11-04,1312.3,1780.0,1312.3,35.64,time,126
1945.T,2025-11-05,2026-01-28,1821.2,1781.0,1821.2,-2.21,stop_breakeven,84
1946.T,2025-06-17,2025-10-21,1144.3,1383.9,1144.3,20.94,time,126
1946.T,2025-10-22,2026-02-25,1427.9,2232.7,1427.9,56.36,time,126
1950.T,2025-06-19,2025-10-23,2490.2,2758.4,2490.2,10.77,time,126
1950.T,2025-11-07,2026-03-13,2894.0,4789.2,2894.0,65.49,time,126
1951.T,2025-02-10,2025-04-04,1709.6,1573.8,1576.7,-7.94,stop_base,53
1951.T,2025-07-04,2025-11-07,1812.7,2256.5,1812.7,24.48,time,126
1951.T,2025-11-12,2026-03-18,2285.2,2746.6,2285.2,20.19,time,126
1952.T,2025-06-16,2025-10-20,2250.7,2893.7,2250.7,28.57,time,126
1952.T,2025-11-13,2025-11-18,3091.6,2787.9,2812.4,-9.83,stop_base,5
1959.T,2025-09-10,2025-10-29,7132.8,7813.0,7132.8,9.54,earnings_close,49
1959.T,2025-10-31,2026-01-29,8048.8,8218.5,6812.6,2.11,earnings_close,90
1961.T,2025-02-13,2025-03-11,998.5,981.3,998.5,-1.72,stop_breakeven,26
1961.T,2025-06-09,2025-10-14,1284.1,1577.5,1284.1,22.85,time,127
1961.T,2025-10-27,2026-03-02,1754.5,2564.6,1754.5,46.17,time,126
1963.T,2025-10-22,2026-02-25,1589.5,2262.0,1589.5,42.31,time,126
1964.T,2025-09-10,2026-01-14,3918.0,4404.1,3918.0,12.41,time,126
1968.T,2025-10-20,2025-12-19,2118.1,2114.2,2118.1,-0.18,stop_breakeven,60
1969.T,2025-06-16,2025-10-20,3354.5,4144.6,3354.5,23.55,time,126
1969.T,2025-10-27,2025-11-18,4387.9,4181.1,4387.9,-4.71,stop_breakeven,22
1975.T,2025-06-30,2025-11-04,2390.7,3135.8,2390.7,31.16,time,127
1975.T,2025-11-06,2025-11-18,3204.1,2815.3,2900.3,-12.13,stop_base,12
1976.T,2025-05-29,2025-10-02,1410.6,1559.6,1410.6,10.56,time,126
1976.T,2025-10-22,2025-11-04,1633.7,1542.0,1551.8,-5.61,stop_base,13
1979.T,2025-07-31,2025-08-06,2639.3,2722.8,2410.2,3.16,earnings_close,6
1979.T,2025-08-08,2025-12-12,2843.1,3232.8,2843.1,13.71,time,126
1980.T,2025-02-10,2025-03-10,1234.8,1092.2,1095.3,-11.55,stop_base,28
1980.T,2025-06-09,2025-10-14,1423.0,2007.7,1423.0,41.09,time,127
1980.T,2025-10-16,2026-02-19,2128.7,3158.6,2128.7,48.39,time,126
1982.T,2025-02-05,2025-02-14,1907.0,1659.6,1707.7,-12.97,stop_base,9
1982.T,2025-11-26,2026-04-01,2322.7,2868.0,2322.7,23.48,time,126
2053.T,2025-07-14,2025-10-14,1598.6,1592.3,1598.6,-0.4,stop_breakeven,92
2053.T,2025-11-20,2026-03-23,1708.0,1682.5,1708.0,-1.49,stop_breakeven,123
2060.T,2025-07-09,2025-11-04,991.1,984.9,991.1,-0.63,stop_breakeven,118
2108.T,2025-09-03,2026-01-07,2739.9,3755.9,2739.9,37.08,time,126
2117.T,2025-08-06,2025-12-10,2277.6,2736.6,2277.6,20.15,time,126
2120.T,2025-07-29,2025-11-13,185.4,176.0,185.4,-5.06,stop_breakeven,107
2121.T,2025-06-11,2025-10-15,3274.1,3048.1,2957.7,-6.9,time,126
2124.T,2025-06-26,2025-10-29,967.2,962.4,967.2,-0.5,stop_breakeven,125
2124.T,2025-11-20,2026-02-16,1042.7,902.0,962.4,-13.49,stop_base,88
2127.T,2025-06-17,2025-10-14,684.4,679.5,684.4,-0.72,stop_breakeven,119
2127.T,2025-10-24,2026-02-27,775.5,706.0,668.3,-8.96,time,126
2130.T,2025-02-04,2025-03-21,1084.5,1081.7,1084.5,-0.26,stop_breakeven,45
2130.T,2025-06-12,2025-10-16,1229.6,1174.3,1056.9,-4.5,time,126
2163.T,2025-06-23,2025-10-27,1876.0,1959.4,1876.0,4.44,time,126
2157.T,2025-09-16,2025-10-02,1467.7,1294.6,1322.9,-11.79,stop_base,16
2181.T,2025-07-17,2025-08-12,277.9,259.5,277.9,-6.61,stop_breakeven,26
2206.T,2025-09-04,2026-01-08,5053.0,5410.0,5053.0,7.07,time,126
2207.T,2025-08-07,2025-10-03,2120.3,2115.4,2120.3,-0.23,stop_breakeven,57
2212.T,2025-08-20,2025-10-28,3477.6,3132.8,3003.1,-9.92,earnings_close,69
2222.T,2025-01-30,2025-03-07,2222.5,2221.5,2222.5,-0.04,stop_breakeven,36
2264.T,2025-11-21,2026-02-10,3759.3,4130.6,3759.3,9.88,earnings_close,81
2270.T,2025-09-05,2025-11-12,2929.2,2836.1,2655.7,-3.18,earnings_close,68
2270.T,2025-11-21,2026-03-27,2943.7,3225.0,2943.7,9.56,time,126
2281.T,2025-07-28,2025-10-31,2474.8,2438.8,2474.8,-1.45,stop_breakeven,95
2282.T,2025-09-03,2026-01-07,5604.2,6502.4,5604.2,16.03,time,126
2288.T,2025-07-25,2025-10-09,1821.5,1794.3,1821.5,-1.49,stop_breakeven,76
2288.T,2025-11-12,2026-03-18,2068.8,2269.6,2068.8,9.7,time,126
2296.T,2025-05-30,2025-10-03,4736.9,5413.8,4736.9,14.29,time,126
2317.T,2025-08-01,2025-12-05,462.7,494.6,462.7,6.88,time,126
2325.T,2025-08-27,2025-09-08,6291.8,6272.0,6291.8,-0.31,stop_breakeven,12
2326.T,2025-02-04,2025-04-03,6406.6,6370.1,6406.6,-0.57,stop_breakeven,58
2326.T,2025-06-24,2025-10-28,7728.8,7537.2,6419.3,-2.48,time,126
2327.T,2025-02-05,2025-04-04,4141.2,3613.6,3653.5,-12.74,stop_base,58
2335.T,2025-06-24,2025-10-01,1099.7,1094.5,1099.7,-0.47,stop_breakeven,99
2337.T,2025-08-26,2025-10-15,418.5,359.1,363.0,-14.19,stop_base,50
2353.T,2025-06-09,2025-10-14,240.5,270.0,240.5,12.26,time,127
