ticker,entry_date,exit_date,entry_px,exit_px,stop_px,ret_pct,reason,hold_days
1333.T,2023-11-13,2024-03-18,865.9,894.5,865.9,3.3,time,126
1333.T,2024-05-09,2024-08-05,1020.0,887.9,914.0,-12.95,stop_base,88
1333.T,2024-09-27,2024-11-06,1001.0,927.9,932.3,-7.3,stop_base,40
1301.T,2022-07-28,2022-12-01,3256.5,3292.2,2935.8,1.09,time,126
1301.T,2023-01-31,2023-02-06,3412.4,3229.8,3256.5,-5.35,stop_base,6
1377.T,2022-08-25,2022-10-11,4748.0,4028.7,4089.8,-15.15,stop_base,47
1332.T,2021-07-27,2021-08-02,501.5,503.3,452.0,0.35,earnings_close,6
1332.T,2021-09-03,2021-10-05,542.4,542.1,542.4,-0.05,stop_breakeven,32
1332.T,2023-06-06,2023-10-10,593.7,675.6,593.7,13.78,time,126
1332.T,2023-11-27,2024-04-01,688.3,890.0,688.3,29.3,time,126
1332.T,2024-07-18,2024-08-02,853.7,785.7,789.6,-7.97,stop_base,15
1332.T,2024-11-11,2024-12-18,911.4,844.3,855.9,-7.36,stop_base,37
1379.T,2020-05-28,2020-10-02,1714.2,1905.3,1714.2,11.15,time,127
1515.T,2020-11-27,2021-02-01,438.2,437.4,438.2,-0.19,stop_breakeven,66
1515.T,2021-02-25,2021-05-17,524.4,507.3,524.4,-3.25,stop_breakeven,81
1515.T,2023-03-01,2023-07-05,657.2,844.3,657.2,28.48,time,126
1515.T,2023-08-31,2023-09-29,927.8,924.6,927.8,-0.35,stop_breakeven,29
1515.T,2023-11-13,2023-12-08,950.4,943.0,950.4,-0.78,stop_breakeven,25
1419.T,2021-03-12,2021-07-16,1633.3,2632.6,1633.3,61.18,time,126
1419.T,2021-09-07,2021-09-30,2270.0,2257.5,2270.0,-0.55,stop_breakeven,23
1419.T,2023-02-27,2023-07-03,2924.3,3071.5,2924.3,5.04,time,126
1419.T,2023-07-12,2023-10-11,3253.8,2916.6,2925.7,-10.36,stop_base,91
1419.T,2023-12-22,2024-04-26,3499.9,3973.9,3499.9,13.54,time,126
1419.T,2024-07-12,2024-10-24,4243.4,3544.1,3563.1,-16.48,stop_base,104
1417.T,2021-03-22,2021-07-26,1599.5,1795.1,1599.5,12.23,time,126
1417.T,2021-07-27,2021-11-11,1828.3,1824.4,1828.3,-0.21,stop_breakeven,107
