ticker,entry_date,exit_date,entry_px,exit_px,stop_px,ret_pct,reason,hold_days
1333.T,2023-11-13,2024-03-18,865.9,894.5,865.9,3.3,time,126
1333.T,2024-05-09,2024-08-02,1020.0,964.6,914.0,-5.42,ma200_breach,85
1333.T,2024-09-27,2024-10-23,1001.0,944.6,932.3,-5.63,ma200_breach,26
1301.T,2022-07-28,2022-09-07,3256.5,3149.6,2935.8,-3.28,ma200_breach,41
1301.T,2022-11-24,2022-12-19,3341.2,3296.6,3180.8,-1.33,ma200_breach,25
1301.T,2023-01-31,2023-02-06,3412.4,3229.8,3256.5,-5.35,stop_base,6
1377.T,2022-08-25,2022-09-07,4748.0,4748.0,4089.8,0.0,ma200_breach,13
1377.T,2022-09-08,2022-09-21,4907.8,4588.2,4451.8,-6.51,ma200_breach,13
1332.T,2021-07-27,2021-07-28,501.5,504.2,452.0,0.52,ma200_breach,1
1332.T,2021-09-03,2021-10-04,542.4,556.2,542.4,2.54,ma200_breach,31
1332.T,2023-06-06,2023-10-10,593.7,675.6,593.7,13.78,time,126
1332.T,2023-11-27,2024-04-01,688.3,890.0,688.3,29.3,time,126
1332.T,2024-07-18,2024-08-02,853.7,785.7,789.6,-7.97,ma200_breach,15
1332.T,2024-11-11,2024-11-18,911.4,877.4,855.9,-3.74,ma200_breach,7
1379.T,2020-05-28,2020-06-15,1714.2,1686.9,1595.9,-1.59,ma200_breach,18
1379.T,2020-06-17,2020-07-31,1735.4,1777.1,1653.8,2.4,ma200_breach,44
1379.T,2020-08-04,2020-11-10,1828.1,1794.3,1828.1,-1.85,stop_breakeven,98
1515.T,2020-11-27,2021-02-01,438.2,437.4,438.2,-0.19,stop_breakeven,66
1515.T,2021-02-25,2021-05-17,524.4,507.3,524.4,-3.25,stop_breakeven,81
1515.T,2023-03-01,2023-03-14,657.2,627.3,578.9,-4.55,ma200_breach,13
1515.T,2023-04-27,2023-06-01,660.9,658.2,660.9,-0.41,stop_breakeven,35
1515.T,2023-06-14,2023-10-18,749.0,869.2,749.0,16.05,time,126
1515.T,2023-11-13,2023-12-08,950.4,943.0,950.4,-0.78,stop_breakeven,25
