datetime,name,importance
2023.12.01 17:00,ISM製造業景況指数,high
2023.12.05 17:00,ISM非製造業景況指数,high
2023.12.08 15:30,雇用統計(NFP),high
2023.12.12 15:30,CPI(消費者物価指数),high
2023.12.12 17:00,ミシガン大消費者信頼感(速報),medium
2023.12.13 21:00,FOMC政策金利発表,high
2023.12.13 21:30,FRB議長記者会見,high
2023.12.14 15:30,PPI(生産者物価指数),medium
2023.12.14 15:30,小売売上高,high
2023.12.19 15:30,住宅着工件数,medium
2023.12.21 15:30,GDP(確定値),medium
2023.12.22 15:30,PCEデフレーター,high
2023.12.22 15:30,耐久財受注(速報),medium
2023.12.29 17:00,消費者信頼感指数(CB),medium
2024.01.02 17:00,ISM製造業景況指数,high
2024.01.03 21:00,FOMC議事録,high
2024.01.05 15:30,雇用統計(NFP),high
2024.01.09 17:00,ミシガン大消費者信頼感(速報),medium
2024.01.10 17:00,ISM非製造業景況指数,high
2024.01.11 15:30,CPI(消費者物価指数),high
2024.01.12 15:30,PPI(生産者物価指数),medium
2024.01.16 15:30,小売売上高,high
2024.01.17 15:30,住宅着工件数,medium
2024.01.19 15:30,耐久財受注(速報),medium
2024.01.25 15:30,GDP(速報値),high
2024.01.26 15:30,PCEデフレーター,high
2024.01.30 17:00,消費者信頼感指数(CB),medium
2024.01.31 21:00,FOMC政策金利発表,high
2024.01.31 21:30,FRB議長記者会見,high
2024.02.01 17:00,ISM製造業景況指数,high
2024.02.02 15:30,雇用統計(NFP),high
2024.02.05 17:00,ISM非製造業景況指数,high
2024.02.09 17:00,ミシガン大消費者信頼感(速報),medium
2024.02.13 15:30,CPI(消費者物価指数),high
2024.02.14 15:30,PPI(生産者物価指数),medium
2024.02.15 15:30,小売売上高,high
2024.02.16 15:30,住宅着工件数,medium
2024.02.21 21:00,FOMC議事録,high
2024.02.22 15:30,GDP(改定値),medium
2024.02.26 15:30,耐久財受注(速報),medium
2024.02.27 15:30,PCEデフレーター,high
2024.02.27 17:00,消費者信頼感指数(CB),medium
2024.03.01 17:00,ISM製造業景況指数,high
2024.03.05 17:00,ISM非製造業景況指数,high
2024.03.06 15:15,ADP民間雇用者数,medium
2024.03.07 15:30,雇用統計(NFP),high
2024.03.08 17:00,ミシガン大消費者信頼感(速報),medium
2024.03.12 14:30,CPI(消費者物価指数),high
2024.03.14 14:30,PPI(生産者物価指数),medium
2024.03.15 14:30,小売売上高,high
2024.03.19 14:30,住宅着工件数,medium
2024.03.20 20:00,FOMC政策金利発表,high
2024.03.20 20:30,FRB議長記者会見,high
2024.03.21 14:30,GDP(確定値),medium
2024.03.26 14:30,耐久財受注(速報),medium
2024.03.26 16:00,消費者信頼感指数(CB),medium
2024.03.29 14:30,PCEデフレーター,high
2024.04.01 17:00,ISM製造業景況指数,high
2024.04.03 17:00,ISM非製造業景況指数,high
2024.04.05 15:30,雇用統計(NFP),high
2024.04.10 15:30,CPI(消費者物価指数),high
2024.04.11 15:30,PPI(生産者物価指数),medium
2024.04.12 17:00,ミシガン大消費者信頼感(速報),medium
2024.04.15 15:30,小売売上高,high
2024.04.16 15:30,住宅着工件数,medium
2024.04.24 15:30,GDP(速報値),high
2024.04.26 15:30,PCEデフレーター,high
2024.04.26 15:30,耐久財受注(速報),medium
2024.04.30 17:00,消費者信頼感指数(CB),medium
2024.05.01 17:00,ISM製造業景況指数,high
2024.05.01 21:00,FOMC政策金利発表,high
2024.05.01 21:30,FRB議長記者会見,high
2024.05.03 15:30,雇用統計(NFP),high
2024.05.03 17:00,ISM非製造業景況指数,high
2024.05.10 17:00,ミシガン大消費者信頼感(速報),medium
2024.05.15 15:30,CPI(消費者物価指数),high
2024.05.15 15:30,小売売上高,high
2024.05.16 15:30,PPI(生産者物価指数),medium
2024.05.16 15:30,住宅着工件数,medium
2024.05.22 21:00,FOMC議事録,high
2024.05.23 15:30,GDP(改定値),medium
2024.05.28 17:00,消費者信頼感指数(CB),medium
2024.05.30 15:30,PCEデフレーター,high
2024.05.31 15:30,耐久財受注(速報),medium
2024.06.03 17:00,ISM製造業景況指数,high
2024.06.05 17:00,ISM非製造業景況指数,high
2024.06.07 15:30,雇用統計(NFP),high
2024.06.11 15:30,CPI(消費者物価指数),high
2024.06.12 15:30,PPI(生産者物価指数),medium
2024.06.12 21:00,FOMC政策金利発表,high
2024.06.12 21:30,FRB議長記者会見,high
2024.06.14 17:00,ミシガン大消費者信頼感(速報),medium
2024.06.18 15:30,小売売上高,high
2024.06.20 15:30,住宅着工件数,medium
2024.06.25 17:00,消費者信頼感指数(CB),medium
2024.06.26 15:30,耐久財受注(速報),medium
2024.06.27 15:30,GDP(確定値),medium
2024.06.28 15:30,PCEデフレーター,high
2024.07.01 17:00,ISM製造業景況指数,high
2024.07.03 17:00,ISM非製造業景況指数,high
2024.07.05 15:30,雇用統計(NFP),high
2024.07.11 15:30,CPI(消費者物価指数),high
