entry_time,exit_time,direction,entry_price,exit_price,stop_price,pnl_pips,exit_reason,hold_bars
2022-01-03 05:00:00+00:00,2022-01-03 05:10:00+00:00,Short,115.2725,115.28375,115.28375,-1.62,stop,2
2022-01-03 05:40:00+00:00,2022-01-03 06:10:00+00:00,Long,115.2965,115.3395,115.282,3.8,tp,6
2022-01-03 06:25:00+00:00,2022-01-03 07:15:00+00:00,Long,115.3495,115.31675,115.31675,-3.78,stop,10
2022-01-03 07:40:00+00:00,2022-01-03 08:10:00+00:00,Short,115.308,115.284,115.32375,1.9,tp,6
2022-01-03 09:10:00+00:00,2022-01-03 09:25:00+00:00,Short,115.21,115.19,115.27525,1.5,tp,3
2022-01-03 10:10:00+00:00,2022-01-03 11:10:00+00:00,Short,115.147,115.047,115.1875,9.5,tp,12
2022-01-03 12:30:00+00:00,2022-01-03 12:50:00+00:00,Long,115.133,115.135,115.07175,-0.3,tp,4
2022-01-03 13:10:00+00:00,2022-01-03 13:25:00+00:00,Short,115.0595,115.028,115.10325,2.65,tp,3
2022-01-03 15:30:00+00:00,2022-01-03 15:50:00+00:00,Long,115.3655,115.296,115.296,-7.45,stop,4
2022-01-03 16:50:00+00:00,2022-01-03 17:30:00+00:00,Short,115.269,115.309,115.309,-4.5,stop,8
2022-01-03 20:00:00+00:00,2022-01-03 20:30:00+00:00,Long,115.337,115.28425,115.28425,-5.77,stop,6
2022-01-03 21:00:00+00:00,2022-01-03 22:45:00+00:00,Long,115.3465,115.3485,115.30375,-0.3,tp,21
2022-01-03 23:50:00+00:00,2022-01-03 23:55:00+00:00,Long,115.354,115.335,115.335,-2.4,stop,1
2022-01-04 00:10:00+00:00,2022-01-04 00:15:00+00:00,Short,115.311,115.3385,115.3385,-3.25,stop,1
2022-01-04 00:45:00+00:00,2022-01-04 01:25:00+00:00,Long,115.3655,115.403,115.3325,3.25,tp,8
2022-01-04 01:40:00+00:00,2022-01-04 03:25:00+00:00,Long,115.476,115.742,115.378,26.1,tp,21
2022-01-04 04:50:00+00:00,2022-01-04 06:00:00+00:00,Long,115.7885,115.732,115.732,-6.15,stop,14
2022-01-04 06:05:00+00:00,2022-01-04 06:20:00+00:00,Short,115.718,115.7715,115.7715,-5.85,stop,3
2022-01-04 06:30:00+00:00,2022-01-04 07:05:00+00:00,Long,115.7985,115.757,115.757,-4.65,stop,7
2022-01-04 07:20:00+00:00,2022-01-04 08:15:00+00:00,Short,115.7175,115.773,115.773,-6.05,stop,11
