window,entry_thr,exit_ratio,trades,win_rate,pf,total_pnl,max_dd,stop_cnt,closed_cnt
6,0.002,0.0,24,0.25,2.0198150223626885,22.27621632707749,-12.262364453260844,18,2
12,0.002,0.0,33,0.21212121212121213,1.6166871712448663,23.145602140899953,-13.568843071157133,25,2
12,0.005,0.0,2,0.5,1.3035163097982274,0.32103325080383716,0.0,1,1
6,0.001,0.0,117,0.08547008547008547,1.2204981287981593,36.55465394106716,-54.412689272914974,106,2
3,0.002,0.0,27,0.25925925925925924,1.160077053472453,3.9956110881522746,-7.2634103073301315,20,5
3,0.001,0.0,137,0.15328467153284672,1.0311992186094059,5.835793374053058,-53.63230868702951,114,18
24,0.003,0.0,13,0.23076923076923078,0.9883973207983604,-0.1321397548152603,-4.84535644879632,10,0
12,0.001,0.0,131,0.07633587786259542,0.9483464709821996,-10.962210653722039,-79.88168597042086,120,2
12,0.003,0.0,11,0.18181818181818182,0.8115265112516866,-1.9234907900156735,-4.643270017512304,9,1
6,0.003,0.0,12,0.16666666666666666,0.7265122590317453,-3.119930829502497,-7.024825754273471,10,1
24,0.002,0.0,46,0.13043478260869565,0.6914657264703311,-17.214548612952797,-23.553573244907255,40,0
24,0.005,0.2,5,0.4,0.6508062907562915,-0.1665722961595506,-0.39573039070999183,0,5
24,0.005,0.1,5,0.4,0.6264456971250337,-0.18750056724203823,-0.36283655724274055,0,5
6,0.001,0.2,531,0.3145009416195857,0.5862746551321026,-110.333283582012,-114.48230557955988,88,443
3,0.0005,0.0,451,0.050997782705099776,0.5487672988152491,-406.5766365996568,-439.3405142855407,427,18
24,0.001,0.0,190,0.042105263157894736,0.5435398121873569,-129.6850468709897,-137.71794919214398,182,0
3,0.001,0.1,344,0.3081395348837209,0.5379460773328358,-89.1278116813432,-97.5300331437953,59,285
3,0.001,0.2,364,0.29945054945054944,0.5272585654468611,-87.13509058764468,-95.53698575234375,47,317
6,0.001,0.1,483,0.31262939958592134,0.5195923623380951,-134.35162730047978,-136.59286635542796,107,376
24,0.005,0.0,4,0.25,0.5177094886777737,-1.5813648778946199,-2.2224210229350616,3,0
6,0.0005,0.0,442,0.029411764705882353,0.5022858682411911,-456.4013359048731,-508.76820101240315,429,2
6,0.002,0.1,45,0.3333333333333333,0.5015118278510451,-7.388395051331765,-8.334500836335023,6,39
12,0.001,0.1,743,0.30551816958277256,0.4875272131664809,-233.40504997836797,-234.83762185092516,190,553
12,0.002,0.1,81,0.3333333333333333,0.4774977969854336,-17.9203658012424,-18.964402960590046,10,71
12,0.0005,0.0,406,0.029556650246305417,0.47680042622301644,-442.28925919659673,-487.2992522026591,393,2
12,0.001,0.2,816,0.2855392156862745,0.4568616838166893,-239.98348189409836,-240.8907956453301,156,660
24,0.0005,0.0,413,0.021791767554479417,0.454203434033686,-467.1526664919561,-499.2027652636283,403,0
12,0.002,0.2,85,0.35294117647058826,0.45347820088827523,-19.001958603386107,-20.091494840255685,10,75
24,0.001,0.1,963,0.28764278296988577,0.43210143866936307,-371.4303607789245,-373.7602394455312,295,668
24,0.001,0.2,1007,0.2840119165839126,0.4293081714280646,-358.1516165497429,-360.28193566567757,255,752
12,0.0005,0.1,3475,0.25697841726618703,0.4239599657195231,-2110.5744250981816,-2111.442133058603,1570,1903
24,0.002,0.1,138,0.2898550724637681,0.41875044427543473,-34.72123805750121,-35.84039423538121,22,116
24,0.002,0.2,140,0.29285714285714287,0.4031478971158614,-32.50606941991852,-33.18680461313496,16,124
24,0.0005,0.1,3956,0.23761375126390294,0.39143011006177303,-2751.6283641827554,-2757.476767925372,2109,1845
6,0.003,0.1,14,0.2857142857142857,0.39078297218275065,-2.680658367608298,-3.1196923225833553,1,13
6,0.0005,0.1,2955,0.23993231810490695,0.37162067283083605,-1966.961678364233,-1968.172627895501,1266,1688
3,0.0005,0.1,2191,0.25148334094020997,0.3703527597585368,-1445.6111373677982,-1447.984831198812,874,1317
